bin,cos_i_lo,cos_i_hi,i_deg_lo,i_deg_hi,n_sdss,frac_sdss_pct,n_frb,frac_frb_pct
1,0.000204124170708743,0.286461714608329,73.35375788077602,89.98830454644056,1080,12.488436632747456,4,12.903225806451612
2,0.286461714608329,0.41893520053313565,65.23261951263207,73.35375788077602,1082,12.511563367252544,3,9.67741935483871
3,0.41893520053313565,0.5228977256020038,58.47317330643455,65.23261951263207,1081,12.5,2,6.451612903225806
4,0.5228977256020038,0.6123375980518195,52.24128087556522,58.47317330643455,1081,12.5,8,25.806451612903224
5,0.6123375980518195,0.696814672947838,45.827999844778915,52.24128087556522,1081,12.5,5,16.129032258064516
6,0.696814672947838,0.7800317658647593,38.73651605334986,45.827999844778915,1081,12.5,2,6.451612903225806
7,0.7800317658647593,0.8623629434637301,30.417061624438208,38.73651605334986,1081,12.5,5,16.129032258064516
8,0.8623629434637301,0.9999996874999981,0.04529629220955797,30.417061624438208,1081,12.5,2,6.451612903225806
