mag_limit,n,median_cosi,cdf_at_cosi_0.5_y,x_at_cdf_0.5
20.0,55679,0.6125757294852834,0.34970096445697657,0.615
21.0,159144,0.5843006118148399,0.38092545116372595,0.585
22.0,342534,0.5229927156103551,0.4657114330256267,0.525
