q,cosi_med,cosi_lo,cosi_hi
0.025,0.946362053554943,0.7951821007416494,0.9896087801727157
0.07500000000000001,0.9278316922880911,0.7908588001324317,0.9772222128413701
0.125,0.8931476386348625,0.778743009572289,0.9659964854427787
0.17500000000000002,0.8363334804222994,0.693113082602673,0.9496173542937821
0.225,0.7048075620845307,0.3379248946156552,0.9130522624395649
0.275,0.45246630926408427,0.12593317624365824,0.8374825160789554
0.32500000000000007,0.5066154103142257,0.18545142815155058,0.853482863095085
0.375,0.6164567391271253,0.2689869121351741,0.8899941972238636
0.42500000000000004,0.6877723658117807,0.3173223751684209,0.9118666548711981
0.475,0.7332745569230043,0.34777511519402926,0.9259123510629704
0.525,0.755859955601128,0.3504301541031154,0.9327181036389529
0.5750000000000001,0.7508158915832199,0.34543887841991183,0.9339108131105737
0.625,0.7253595994464818,0.33017303261615677,0.9283461604158437
0.675,0.6671837483048191,0.3111974326525189,0.9050643996029346
0.7250000000000001,0.5878475212580233,0.2861795106770522,0.837960179038153
0.775,0.5316415956979763,0.2464337522883875,0.7618038408748521
0.8250000000000001,0.49901091380965656,0.2467145194997838,0.6980724686868635
0.875,0.477952634291969,0.2078244565205292,0.6487372516570148
0.925,0.45485515299207857,0.16210927345672602,0.6137435835855003
0.9750000000000001,0.4656879592901571,0.12350296414346952,0.6106930315703065
