frb,n_sersic_components,single_sersic,chi2nu_pipeline,chi2nu_master,chi2nu_delta,re_pipeline,re_master,re_delta,n_pipeline,n_master,n_delta,b_a_pipeline,b_a_master,b_a_delta,pa_pipeline,pa_master,pa_delta,inc_pipeline,inc_master,inc_delta
20221106A,1,True,0.81,7.337,-6.526999999999999,9.38,10.8,-1.42,1.79,4.82,-3.0300000000000002,0.67,0.62,0.050000000000000044,26.55,22.21,4.34,49.2591,53.2047,-3.945600000000006
20230526A,2,False,0.758,5.194,-4.436,1.5,1.5,0.0,2.36,6.0,-3.64,0.7,0.03,0.6699999999999999,-32.12,41.0,-73.12,46.7917,90.0,-43.2083
20230708A,1,True,0.787,0.928,-0.14100000000000001,1.5,1.5,0.0,6.0,3.22,2.78,0.05,0.04,0.010000000000000002,61.76,72.91,-11.149999999999999,90.0,90.0,0.0
20230902A,1,True,0.937,0.773,0.16400000000000003,1.59,1.84,-0.25,0.88,1.3,-0.42000000000000004,0.63,0.5,0.13,24.53,-3.26,27.79,52.43,62.1144,-9.684400000000004
20231226A,2,False,1.071,1.451,-0.3800000000000001,8.11,7.72,0.3899999999999997,0.67,0.85,-0.17999999999999994,0.76,0.76,0.0,-17.49,-18.41,0.9200000000000017,41.5539,41.5539,0.0
20240201A,1,True,1.428,2.023,-0.5950000000000002,18.5,17.46,1.0399999999999991,0.61,0.74,-0.13,0.18,0.18,0.0,62.2,62.18,0.020000000000003126,90.0,90.0,0.0
20240208A,1,True,0.74,0.806,-0.06600000000000006,2.79,1.7,1.09,1.45,1.4,0.050000000000000044,0.28,0.05,0.23000000000000004,66.21,71.92,-5.710000000000008,78.463,90.0,-11.537000000000006
20240210A,7,False,13.272,89.261,-75.98899999999999,27.74,29.36,-1.620000000000001,1.01,1.16,-0.1499999999999999,0.59,0.6,-0.010000000000000009,57.29,56.17,1.1199999999999974,55.4925,54.7356,0.7569000000000017
20240304A,1,True,0.712,0.742,-0.030000000000000027,3.56,3.64,-0.08000000000000007,1.24,1.48,-0.24,0.66,0.68,-0.020000000000000018,20.03,29.95,-9.919999999999998,50.0636,48.4461,1.6174999999999997
20240310A,2,False,0.757,7.14,-6.383,3.45,23.19,-19.740000000000002,0.68,6.0,-5.32,0.11,0.45,-0.34,-14.07,-8.02,-6.050000000000001,90.0,65.7056,24.294399999999996
20240318A,1,True,0.811,0.775,0.03600000000000003,9.64,9.85,-0.20999999999999908,0.7,0.88,-0.18000000000000005,0.43,0.49,-0.06,-6.86,-8.29,1.4299999999999988,67.1384,62.8353,4.303100000000008
