frb,coord_semantics,survey,status,has_published_localization_ref,exclude_class,major_sigma_as,minor_sigma_as,ra_err_as,dec_err_as,has_maj_min_ellipse,redshift,repeater_source,literature_note
20221106A,host,LS,pending,yes,,0.6,0.53,0.58,0.55,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20230521A,signal,LS+PS1,pending,no,no_published_host,,,,,False,,,Shannon+2025: burst width failed voltage-download criteria; multi-beam only
20230526A,host,LS,pending,yes,,0.43,0.42,0.43,0.42,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20230708A,host,LS,pending,yes,,0.47,0.43,0.46,0.44,True,,"Muller et al. 2026, ApJ 1001, 118 (doi:10.3847/1538-4357/ae5060)",
20230718A,host,ASKAP,pending,yes,,0.61,0.6,0.6,0.61,True,,"Glowacki et al. 2024, ApJL 962, L13 (doi:10.3847/2041-8213/ad1f62); Shannon et al. 2025, PASA 42, e036 (doi:10.1017/pasa.2025.8)",
20230731A,signal,unsure,can't find their images for now we'll work on them later,no,precise_loc_no_secure_host,0.56,0.55,0.55,0.56,True,,,Shannon+2025: interferometric loc; VLT R no coincident galaxy; faint K source; no spectroscopy; redshift pending
20230902A,host,LS,pending,yes,,0.69,0.55,0.68,0.57,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20231006A,signal,LS,pending,no,no_published_host,,,,,False,,,Shannon+2025: incomplete voltage download; no further localization attempted
20231226A,host,LS,pending,yes,,0.51,0.48,0.48,0.51,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240201A,host,LS,pending,yes,,0.52,0.46,0.48,0.51,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240208A,host,LS+PS1,pending,yes,,1.37,0.8,0.81,1.36,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240210A,host,LS+PS1,pending,yes,,0.55,0.49,0.53,0.51,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240304A,host,LS+PS1,pending,yes,,0.81,0.56,0.75,0.65,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240310A,host,LS,pending,yes,,0.59,0.55,0.57,0.57,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240318A,host,LS+PS1,pending,yes,,0.82,0.5,0.54,0.79,True,,"Gordon et al. 2025, ApJ 993, 119 (doi:10.3847/1538-4357/ae0298)",
20240304B,host,MeerKAT,pending,yes,,,,,,False,,"Caleb et al. 2025, arXiv:2508.01648 (doi:10.48550/arXiv.2508.01648)",
20230521B,host,DSA-110,pending,yes,,,,,,False,,"Connor et al. 2024, arXiv:2409.16952 (doi:10.48550/arXiv.2409.16952)",
20240104A,host,DSA-110,pending,no,verdi_inprep,,,,,False,,,TeX Verdi+2025 only; not in Law/Sharma/Connor/Hussaini published tables
20221029A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20240123A,host,DSA-110,pending,yes,,,,,,False,,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)",
20220222C,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20190523A,host,DSA-10,pending,yes,,,,,,False,,"Ravi et al. 2019, Nature 572, 352 (doi:10.1038/s41586-019-1389-7)",
20250518,host,DSA-110,pending,no,verdi_inprep,,,,,False,,,TeX Verdi+2025 only; no published host paper found
20220224C,host,MeerKAT,pending,yes,,,,,,False,,"Pastor-Marazuela et al. 2026, MNRAS 545, f2144 (doi:10.1093/mnras/staf2144)",
20220418A,host,DSA-110,pending,yes,,,,,,False,,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)",
20190614D,host,RealFast,pending,yes,,,,,,False,,"Law et al. 2020, ApJ 899, 161 (doi:10.3847/1538-4357/aba4ac)",
20221219A,host,DSA-110,pending,yes,,,,,,False,,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)",
20230814B,host,DSA-110,pending,yes,,,,,,False,,"Ravi, ATel #16191 (2023 Aug 16); DSA designation FRB 20230814A (repeating source)",
