relation,rho,p_value,ci_lo,ci_hi,rho_partial
spearman_mag_cosi,-0.2588803073313516,0.0,-0.26191062150593786,-0.2563204015402836,
spearman_expAB_cosi,1.0,0.0,0.9999999999999999,1.0,
partial_spearman_mag_cosi_given_expAB,,2.7509448016641366e-38,,,0.019615398544204455
ols_slope_cosi_vs_mag,-0.051348163113209576,0.0,1.5875691426496858,-0.23068953143670773,
ols_slope_cosi_vs_expAB,1.140355658340081,0.0,-0.11483626141250902,0.9975692528442556,
ols_cosi_intercept_mag_coef_expAB_coef,-0.0002191838911521117,,1.1400963988487374,-0.11005685233998154,
