null,median_full,median_mag21,observed_mag21
B_isotropic_uniform_cosi,0.49811872612571256,0.49811872612571256,0.5843006118148399
A_shuffled_cosi_vs_mag,0.4949020122421775,0.49376682888050794,0.5843006118148399
observed,0.4949020122421775,0.5843006118148399,0.5843006118148399
