n_subsample,n_bootstrap,mean_median_cosi,std_median_cosi,p16_median_cosi,p84_median_cosi,full_pool_median_cosi,n_pool
2000,500,0.5851154385753541,0.007331940878972751,0.5773848319339705,0.5921528459300193,0.5843006118148399,159144
2463,500,0.5841750239697251,0.0066383860196577195,0.5773501349556568,0.5904701670842953,0.5843006118148399,159144
3034,500,0.584543243522933,0.005896651479766246,0.5775681109272526,0.5904283485373303,0.5843006118148399,159144
3737,500,0.5848473224300578,0.00513722746113132,0.5792204875582729,0.5898595874768358,0.5843006118148399,159144
4603,500,0.5845373950645376,0.004529511790670195,0.5793619264705359,0.5892777106721645,0.5843006118148399,159144
5670,500,0.5842660947204859,0.00399493503924874,0.5800038965306925,0.5883190129858125,0.5843006118148399,159144
6984,500,0.5842001287347329,0.0037533640286563424,0.5803769146879779,0.5881308841190918,0.5843006118148399,159144
8602,500,0.584111404560999,0.0034190866325227325,0.5803520980201193,0.587428563158837,0.5843006118148399,159144
10596,500,0.584149579132115,0.0032353186378327324,0.5809503710337254,0.5874533085673324,0.5843006118148399,159144
13051,500,0.5842431307046048,0.002786802788547085,0.5816179985905874,0.5870856848016607,0.5843006118148399,159144
16075,500,0.5841261910113426,0.002427624874346672,0.5818293708496168,0.5864753678120393,0.5843006118148399,159144
19800,500,0.5844306149983811,0.0021542971877105154,0.5822873952138066,0.5865817242356041,0.5843006118148399,159144
24388,500,0.5842683176359545,0.002036039936777317,0.5822408941474388,0.5862330171039711,0.5843006118148399,159144
30039,500,0.5842983249398731,0.001718609992610398,0.5825924301482271,0.5859650153215088,0.5843006118148399,159144
37000,500,0.5842582758260214,0.001566202456691194,0.5826315310424189,0.5858944013425447,0.5843006118148399,159144
45574,500,0.5842524392475523,0.001293213530171169,0.5829908098495464,0.5855032193739343,0.5843006118148399,159144
56134,500,0.584227499102409,0.0011144603399634594,0.5831497715023423,0.5852932006155983,0.5843006118148399,159144
69142,500,0.5843290276539345,0.0009694564074873427,0.5833773370013795,0.5853019365255528,0.5843006118148399,159144
85163,500,0.5842718627242982,0.0007865276027228139,0.5834610566774867,0.5851228444677021,0.5843006118148399,159144
104898,500,0.5842679099496286,0.0005992786805436752,0.583677712263408,0.584880556351094,0.5843006118148399,159144
129205,500,0.5843041800682119,0.00042680514764385563,0.5838427471356654,0.5847215357660769,0.5843006118148399,159144
159144,500,0.5843006118148398,1.111334915764742e-16,0.5843006118148399,0.5843006118148399,0.5843006118148399,159144
