q_min,hubble_q0,line_label,pool_n,mag_lo,mag_hi,n,median_cosi,mean_cosi,frac_pool
0.15,0.2,"q_min=0.15, q₀=0.2",462993,15.0,15.5,194.0,0.44551117044599065,0.4625080724857945,0.0004190128144485986
0.15,0.2,"q_min=0.15, q₀=0.2",462993,15.5,16.0,177.0,0.6304677253173498,0.5716066277504616,0.0003822951966876389
0.15,0.2,"q_min=0.15, q₀=0.2",462993,16.0,16.5,355.0,0.5696286095286119,0.5406636343275374,0.0007667502532435695
0.15,0.2,"q_min=0.15, q₀=0.2",462993,16.5,17.0,749.0,0.5769675801137736,0.5491279382193951,0.0016177350413505171
0.15,0.2,"q_min=0.15, q₀=0.2",462993,17.0,17.5,1442.0,0.5447630434501376,0.5361749968466988,0.0031145179300766965
0.15,0.2,"q_min=0.15, q₀=0.2",462993,17.5,18.0,2656.0,0.5491980721762274,0.5363736611064762,0.005736587810182875
0.15,0.2,"q_min=0.15, q₀=0.2",462993,18.0,18.5,4280.0,0.6034247255933309,0.5690475102345448,0.00924420023628867
0.15,0.2,"q_min=0.15, q₀=0.2",462993,18.5,19.0,7603.0,0.6185134073949762,0.5869771078076423,0.01642141457862214
0.15,0.2,"q_min=0.15, q₀=0.2",462993,19.0,19.5,14313.0,0.6099070720091981,0.581960903755134,0.03091407429485975
0.15,0.2,"q_min=0.15, q₀=0.2",462993,19.5,20.0,25195.0,0.6062045529873508,0.5783422275406966,0.05441766938161052
0.15,0.2,"q_min=0.15, q₀=0.2",462993,20.0,20.5,41852.0,0.5832436159248857,0.5586511997477075,0.09039445520774612
0.15,0.2,"q_min=0.15, q₀=0.2",462993,20.5,21.0,64591.0,0.5460646696296221,0.5285175337147388,0.1395075087528321
0.15,0.2,"q_min=0.15, q₀=0.2",462993,21.0,21.5,90256.0,0.48873999608001967,0.4833834372631716,0.19494031227253975
0.15,0.2,"q_min=0.15, q₀=0.2",462993,21.5,22.0,103564.0,0.426554053676089,0.43365342822800645,0.2236837273997663
0.15,0.2,"q_min=0.15, q₀=0.2",462993,22.0,22.5,77508.0,0.3651065339462889,0.38515528838186686,0.1674064186715566
0.15,0.2,"q_min=0.15, q₀=0.2",462993,22.5,23.0,25447.0,0.2917796578099788,0.32266721479621535,0.05496195406842004
0.15,0.2,"q_min=0.15, q₀=0.2",462993,23.0,23.5,2442.0,0.22560614223562692,0.2680432420503785,0.005274377798368442
0.15,0.2,"q_min=0.15, q₀=0.2",462993,23.5,24.0,148.0,0.3388443611610338,0.42115453162267663,0.0003196592605071783
0.15,0.2,"q_min=0.15, q₀=0.2",462993,24.0,24.5,61.0,0.6767740884374749,0.5377762196761878,0.00013175145196579646
0.15,0.2,"q_min=0.15, q₀=0.2",462993,25.0,25.5,46.0,0.6425909082824999,0.6075057178488115,9.935355394142028e-05
0.15,0.2,"q_min=0.15, q₀=0.2",462993,25.5,26.0,46.0,0.9936531986792465,0.829606598957611,9.935355394142028e-05
0.2,0.2,"q_min=0.2, q₀=0.2",434962,15.0,15.5,177.0,0.533722460718203,0.5069297517640912,0.0004069320998156161
0.2,0.2,"q_min=0.2, q₀=0.2",434962,15.5,16.0,165.0,0.6609214844790566,0.613178018859586,0.0003793434828789641
0.2,0.2,"q_min=0.2, q₀=0.2",434962,16.0,16.5,338.0,0.5914315441018452,0.5678567756990407,0.0007770793770490295
0.2,0.2,"q_min=0.2, q₀=0.2",434962,16.5,17.0,721.0,0.5932887742114923,0.5704532950434492,0.001657616067610504
0.2,0.2,"q_min=0.2, q₀=0.2",434962,17.0,17.5,1388.0,0.556825934493822,0.5570348310179681,0.003191083359006074
0.2,0.2,"q_min=0.2, q₀=0.2",434962,17.5,18.0,2574.0,0.5595330269987491,0.5534609339156181,0.005917758332911841
0.2,0.2,"q_min=0.2, q₀=0.2",434962,18.0,18.5,4137.0,0.615610869230591,0.588717269471562,0.009511175688910755
0.2,0.2,"q_min=0.2, q₀=0.2",434962,18.5,19.0,7451.0,0.6260065605572174,0.5989514092955985,0.017130232066249466
0.2,0.2,"q_min=0.2, q₀=0.2",434962,19.0,19.5,14014.0,0.6185046480234577,0.5943775093083512,0.03221890647918669
0.2,0.2,"q_min=0.2, q₀=0.2",434962,19.5,20.0,24714.0,0.6127293508006121,0.5895983014844968,0.05681875658103466
0.2,0.2,"q_min=0.2, q₀=0.2",434962,20.0,20.5,40823.0,0.5916849700608653,0.5727327734816415,0.09385417576707851
0.2,0.2,"q_min=0.2, q₀=0.2",434962,20.5,21.0,62642.0,0.5571777447800472,0.544961463876771,0.14401717851214588
0.2,0.2,"q_min=0.2, q₀=0.2",434962,21.0,21.5,86360.0,0.5040100420027148,0.5051905455491527,0.19854607988743844
0.2,0.2,"q_min=0.2, q₀=0.2",434962,21.5,22.0,97030.0,0.45004310514947377,0.46285564919102606,0.22307695844694478
0.2,0.2,"q_min=0.2, q₀=0.2",434962,22.0,22.5,69564.0,0.4103485343225134,0.4291388662512468,0.15993121238177127
0.2,0.2,"q_min=0.2, q₀=0.2",434962,22.5,23.0,20694.0,0.35353459321306613,0.39677745312261004,0.04757656990725627
0.2,0.2,"q_min=0.2, q₀=0.2",434962,23.0,23.5,1833.0,0.29365341195164707,0.35709852541572523,0.004214161237073583
0.2,0.2,"q_min=0.2, q₀=0.2",434962,23.5,24.0,129.0,0.468527550410859,0.483185044032218,0.0002965776320690083
0.2,0.2,"q_min=0.2, q₀=0.2",434962,24.0,24.5,56.0,0.7109784619061337,0.5857919535758477,0.00012874687903770905
0.2,0.2,"q_min=0.2, q₀=0.2",434962,25.0,25.5,43.0,0.7437410755621711,0.6498898376987287,9.885921068966944e-05
0.2,0.2,"q_min=0.2, q₀=0.2",434962,25.5,26.0,46.0,0.9936531986792465,0.829606598957611,0.00010575636492383243
