FRB,Posterior,Host_RA,Host_Dec
20190611B,0.8814564244524467,320.7428868736854,-79.39728581213612
20190711A,0.8225781273504832,329.4192017275844,-80.35814797294535
20200430A,0.9704337565655528,229.7063770513408,12.37660650001851
20220105A,0.9508755595073152,208.8038033684155,22.46647856902548
20220725A,0.9862764426393744,353.3153415320076,-35.99026830421361
20221106A,0.9659234789467672,56.70455120590707,-25.56983074908105
20230526A,0.9799387884239112,22.23261485429746,-52.71737290892279
20230708A,0.9939250028796388,303.1155111011838,-55.3562621673756
20230902A,0.9958273981561996,52.13996109451779,-47.33343399750132
20231226A,0.9329977705389212,155.3638555002169,6.109703529304178
20240201A,0.862366149626621,149.9060285226441,14.08873891497873
20240208A,0.9552522729426776,159.2290009407401,-0.9533965604824464
20240210A,0.8166205293461339,8.776929807980265,-28.27199737790098
20240304A,0.8804752642919643,136.3305236573973,-16.16624241404662
20240310A,0.9419909818241788,17.62184686386698,-44.43933060686356
20240318A,0.9942837452285852,150.3935642798215,37.61643226592607
