objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
1276,22.2408011061389,-52.73285471847704,REX,0.14832862,0.062437873,0.31564224,0.5266839,LS_DR10,25.5113797499344,0.5266839,0.0017494857970134956,0.0
1322,22.242221009988,-52.73247970186402,REX,0.258532,0.3335799,0.62037325,0.3605453,LS_DR10,23.69200031461569,0.3605453,0.007010149126686265,0.0
1472,22.24731701311118,-52.7326627327791,REX,0.19481228,0.24371962,0.34493962,0.37442452,LS_DR10,24.032773769213495,0.37442452,0.005331887510410459,0.0
1372,22.24391303444744,-52.73259111305962,REX,0.1678692,0.19498867,0.22098856,0.24488345,LS_DR10,24.274976557483885,0.24488345,0.004406442862533035,0.0
1337,22.24269366596483,-52.730566128848,EXP,0.29547292,0.28380206,0.3187006,0.77201855,LS_DR10,23.867461141264492,0.77201855,0.006084000681923678,5.701270509207456e-62
828,22.22093992399336,-52.73199582585819,REX,0.1815775,1.2200308,7.8332543,0.52794594,LS_DR10,22.28407301326969,0.52794594,0.02324531047939115,0.0
896,22.22416654926176,-52.73193094129777,REX,0.056807015,0.1584054,0.7492603,0.4269455,LS_DR10,24.50057504376296,0.4269455,0.003700139245497045,0.0
919,22.22530274559568,-52.72982976539894,DEV,0.8155589,4.2239933,14.719085,0.60755837,LS_DR10,20.935691948353778,0.60755837,0.08136189136686078,1.5225845479990877e-172
858,22.22181277312753,-52.72948741916233,REX,0.07082289,0.20404293,0.7308598,0.44608313,LS_DR10,24.225696121868793,0.44608313,0.004579534055349395,0.0
761,22.21870501636318,-52.7291330995349,EXP,0.2963507,0.3783674,0.88433707,0.725361,LS_DR10,23.555215723289358,0.725361,0.007838094423619043,1.3450803603808384e-109
975,22.2274861959457,-52.73181669599672,REX,0.06438295,0.32352367,0.5556989,0.3309437,LS_DR10,23.725234848737596,0.3309437,0.006823619498382976,0.0
1034,22.23046499258196,-52.73186041974282,REX,0.1479468,0.35888386,1.0928719,0.47067025,LS_DR10,23.612615181629664,0.47067025,0.007478436352307052,0.0
998,22.22888110681539,-52.73143840847942,REX,0.09774988,0.69672334,2.362908,0.35986102,LS_DR10,22.892349101252847,0.35986102,0.013662436352618641,0.0
1129,22.23441259014265,-52.72931647456695,REX,0.15475579,0.22590119,0.3657834,0.3020309,LS_DR10,24.115203703253847,0.3020309,0.00499514113022125,0.0
1203,22.23800843923314,-52.73034210247029,REX,0.53430766,1.1748513,1.938685,0.3840111,LS_DR10,22.325042745557592,0.3840111,0.022413313775209717,0.0
1214,22.23846827508684,-52.72774780892791,REX,0.19267917,0.49579388,1.352355,0.878798,LS_DR10,23.261747095991055,0.878798,0.009994086677169143,5.377954894891715e-12
944,22.22625196798072,-52.72497728246837,REX,0.14959842,0.18659227,0.47550768,0.31836542,LS_DR10,24.322765879580466,0.31836542,0.004245375430967452,5.910817226405072e-186
1132,22.23459588015359,-52.72312328961652,EXP,0.3511429,0.8017148,1.2003565,0.42963207,LS_DR10,22.739950247664243,0.42963207,0.015577927561545486,4.085380666830651e-12
1118,22.23395309752866,-52.72242796210298,REX,0.14566812,0.22609359,0.08873317,0.6593476,LS_DR10,24.11427937550647,0.6593476,0.004998786455460816,2.2762044929392452e-08
829,22.22094260441376,-52.72255276811197,REX,0.20172559,0.24170455,0.78604555,1.0506781,LS_DR10,24.04178793520043,1.0506781,0.005293887857576598,3.4520208676850505e-09
