ra,dec,objid,gmag,mag,imag,zmag,gKmag,rKmag,source_catalog,ang_size,prior_O,posterior_O
271.1593859,1.31502123,109572711594038421,22.3868,22.0024,21.5454,,22.0954,21.683,PS1,0.5,0.14749624133505307,0.0
271.16176464,1.31815803,109582711617502253,,21.7944,21.2365,20.9925,,21.6443,PS1,0.5,0.1783285334961754,3.8752348706203577e-140
271.14558805,1.3240432,109582711456029313,,21.4728,21.3865,21.1551,,21.2716,PS1,0.5,0.24032047745469576,8.072420058473012e-205
271.15033836,1.32998375,109592711503426493,,21.7661,21.2401,20.6672,,21.5686,PS1,0.5,0.1830290111827175,9.847525377910128e-08
271.16341682,1.32396719,109582711634209278,,21.9778,21.5332,21.2244,,21.9135,PS1,0.5,0.1508257365313582,1.123651472046266e-09
