objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
5666,155.3540046258122,6.096217286648351,REX,0.17501146,0.2397517,0.08221857,0.4929599,LS_DR10,24.050595761769664,0.4929599,0.0017919047533016157,0.0
5629,155.3524563626768,6.097578893673746,REX,1.0707008,2.4879475,3.7585602,0.5528418,LS_DR10,21.510396970625138,0.5528418,0.016053949986066084,0.0
5677,155.3544099541384,6.095911111080132,REX,0.16230033,0.24708611,0.45800233,0.35271356,LS_DR10,24.01787916967879,0.35271356,0.001839040423497821,0.0
5749,155.356679204198,6.097067286142432,EXP,7.645004,12.636077,18.049025,1.7868818,LS_DR10,19.745969340786086,1.7868818,0.09138752555644117,2.224993059260606e-07
5546,155.3486558100394,6.103628044430203,REX,0.26395032,0.46953508,0.4814836,0.46316457,LS_DR10,23.32082988772104,0.46316457,0.0032426781758507044,0.0
5673,155.3543059781543,6.103804892995992,REX,0.14361462,0.41386688,1.2391708,0.29587767,LS_DR10,23.45784831735618,0.29587767,0.0028944670666537584,0.0
5782,155.3579112867262,6.094789571857717,REX,1.1199528,1.9921137,2.0853386,0.24982063,LS_DR10,21.751714694558157,0.24982063,0.012833408177515888,0.0
5856,155.3605688083974,6.095782509670464,REX,0.12907916,0.13772371,0.24512014,0.57519555,LS_DR10,24.65247821697283,0.57519555,0.0011230020223081442,1.541223e-318
6017,155.3664838610333,6.094221176171758,REX,0.22008012,0.7326804,1.2561389,0.25661558,LS_DR10,22.83771356539194,0.25661558,0.004880506662888418,0.0
6060,155.3680643732242,6.094590618664915,REX,0.15699036,0.22545996,0.54299116,0.6797269,LS_DR10,24.11732643596234,0.6797269,0.0016997839104999591,2.04294454994582e-277
5955,155.3639705439968,6.096125441604466,REX,0.50685406,0.9919317,1.4330264,0.23764522,LS_DR10,22.508795576001393,0.23764522,0.006495142737330563,0.0
6004,155.3657061733021,6.098033848692412,REX,0.17402828,0.28933173,0.35823715,0.40791965,LS_DR10,23.846509840454257,0.40791965,0.0021089788499872994,0.0
5969,155.3646297347896,6.098837813434998,REX,0.2969868,0.40911946,0.4540861,0.34913203,LS_DR10,23.470374656365177,0.34913203,0.0028647110478239087,0.0
5787,155.3581761534062,6.102669640846925,REX,0.12882411,0.30006272,0.5902323,0.66016513,LS_DR10,23.80696989567648,0.66016513,0.0021771855428028763,1.0740389804264098e-12
5774,155.3575950198181,6.103410878893142,DEV,0.86931956,1.6155605,1.8989476,0.98489577,LS_DR10,21.979191934375553,0.98489577,0.010423114446578861,1.521363383796948e-08
5821,155.3594487799639,6.103158305223097,REX,0.06920277,0.36072972,0.0050008525,0.57111216,LS_DR10,23.60704518828308,0.57111216,0.002560709872901451,1.0507195577820372e-12
5883,155.3615682693814,6.102804040164726,SER,2.2751606,6.8585587,14.525963,1.1090306,LS_DR10,20.40941785009264,1.1090306,0.046522504935865024,3.5016872307870324e-06
5850,155.3603202903838,6.104611011830871,REX,0.3942892,0.6363805,0.56553787,1.3201479,LS_DR10,22.990707841231718,1.3201479,0.004281780589627045,8.27492649335341e-06
5907,155.362322506441,6.1047505195736,DEV,0.58066183,1.4175417,2.0935633,3.7372057,LS_DR10,22.121160391381256,3.7372057,0.00916768366789723,0.001128858111613689
6001,155.3656367790034,6.103226087821967,REX,0.23612016,0.38721278,0.5809786,0.38888636,LS_DR10,23.530125792975976,0.38888636,0.0027272543666533424,6.194850524031396e-22
6040,155.3673190699806,6.103048130365015,REX,0.20066866,0.24465066,-0.2646594,0.6380206,LS_DR10,24.02863402073935,0.6380206,0.0018233986229847898,1.862121174062388e-11
6104,155.3696955754062,6.097682996665453,DEV,2.3119478,12.008605,26.990467,1.4709543,LS_DR10,19.80126860055813,1.4709543,0.08630137939380086,4.457368268750471e-08
6166,155.3720804941129,6.098778882989012,REX,0.2768783,0.59522957,0.71191156,0.465095,LS_DR10,23.063288754774238,0.465095,0.004025846318981054,0.0
6264,155.3752140552424,6.094311698111358,REX,0.34621957,1.1650428,2.7534173,0.35281795,LS_DR10,22.33414529933655,0.35281795,0.007578237267954696,0.0
6247,155.3748615108225,6.094888466518221,REX,0.60179776,0.97833496,2.085519,0.6178672,LS_DR10,22.52378106759705,0.6178672,0.006410270579222403,0.0
6378,155.3793208396708,6.094001549308468,REX,0.28764626,0.44171956,0.53642786,0.27939463,LS_DR10,23.3871334227733,0.27939463,0.003068839123349061,0.0
6330,155.3781050087995,6.097229396934258,DEV,0.5739836,2.6841457,6.3953156,0.4485996,LS_DR10,21.427984784047666,0.4485996,0.017342874974141827,0.0
6146,155.371334490662,6.10000793759609,EXP,0.5862708,0.9523369,1.6980444,0.8952608,LS_DR10,22.55302346956451,0.8952608,0.006248059886751204,1.6798895217898511e-12
6103,155.3695670806682,6.105399979119442,REX,0.35555542,0.73578924,0.78024673,0.38162076,LS_DR10,22.83311641868406,0.38162076,0.004899836864122228,4.4599446147950334e-31
6364,155.3788960607171,6.101805586439223,EXP,0.0844473,0.49345157,1.0215874,1.0200535,LS_DR10,23.266888662267345,1.0200535,0.0033919530629507853,2.3428783747777015e-16
5684,155.3544890485484,6.109249511406762,REX,0.3534786,1.3558788,2.8151803,0.34065732,LS_DR10,22.169447824188033,0.34065732,0.008778382445386179,4.402142795419125e-172
5562,155.3493811425785,6.116050721432162,EXP,0.34611553,0.63211644,0.87369394,0.6900181,LS_DR10,22.99800728613109,0.6900181,0.004255265644737984,2.021985289142835e-196
5702,155.3552657899384,6.111608816090092,REX,0.4003115,0.30706003,0.22934647,0.43227908,LS_DR10,23.781941779961905,0.43227908,0.0022215933037970322,3.2366971829817853e-37
5685,155.3545341122733,6.116663215149668,REX,0.10185847,0.14775918,0.72507936,0.7400622,LS_DR10,24.576113819272532,0.7400622,0.0011902967864597573,9.313808330040569e-14
5777,155.3577399019213,6.106444476642186,REX,0.85290205,1.6611083,4.132771,0.50806427,LS_DR10,21.94900512934848,0.50806427,0.01071304710597952,1.5378825938134707e-11
5840,155.3600741265832,6.10690274041553,REX,0.21988231,0.29358682,0.42613292,0.31159046,LS_DR10,23.830658612776784,0.31159046,0.0021360399077982053,2.860207476220143e-13
5845,155.3601707407669,6.107411503655104,REX,0.327898,1.7958752,7.953067,0.42858562,LS_DR10,21.864309617159737,0.42858562,0.011573491807341794,9.655336511822996e-09
5771,155.3575389631501,6.109325450639433,REX,0.17709434,0.3474128,0.5016378,0.33887258,LS_DR10,23.647885461361906,0.33887258,0.00247678517407467,2.2613440714624474e-19
5897,155.3619445420089,6.111036654504803,REX,1.0204242,1.9072421,2.7555873,0.35291007,LS_DR10,21.798985438307213,0.35291007,0.012287482241142,0.00014768940524378805
5940,155.3635153073559,6.106471083199119,DEV,0.24754818,1.3291445,7.1502347,0.5412993,LS_DR10,22.19106950373567,0.5412993,0.00860983367845052,2.933987758386e-06
5949,155.3638326563184,6.106929850818941,EXP,0.5029171,0.69204503,1.9373119,0.79062796,LS_DR10,22.899664114854268,0.79062796,0.004627865320292071,0.00010673808017319756
5991,155.3652005607836,6.108181831353822,REX,0.1550038,0.17702457,0.48446748,0.2419989,LS_DR10,24.379916129648084,0.2419989,0.0013842691471665084,7.53024743470134e-09
5950,155.3638555002169,6.109703529304178,EXP,18.573606,28.839708,38.298897,2.016037,LS_DR10,18.850022852828012,2.016037,0.23701185054270604,0.9329977705389213
5975,155.364786902369,6.109411873143303,EXP,0.98044306,1.0381655,1.3980542,2.0696924,LS_DR10,22.45933351889861,2.0696924,0.006783941438527984,0.013218081182589771
5939,155.3634456507098,6.110290696449741,EXP,1.085667,1.0802459,0.9717086,1.6503145,LS_DR10,22.41619343337209,1.6503145,0.007047083162174502,0.04775531935841057
6039,155.3672968944132,6.11249991695005,REX,0.2739283,0.25891203,0.5265583,0.3302567,LS_DR10,23.967119425465164,0.3302567,0.0019148590891233993,7.514708994292033e-11
6032,155.366935711962,6.11342860163194,REX,0.16809954,0.18370359,0.526633,0.73951185,LS_DR10,24.33970589119036,0.73951185,0.0014281372888014694,1.3107241860049258e-06
6022,155.3666035878773,6.115784267037927,REX,0.32809314,0.4573708,0.25461498,0.75128573,LS_DR10,23.349328913947538,0.75128573,0.0031666879608836886,5.282859851304359e-08
6064,155.3683017323929,6.115679078604684,EXP,0.4489794,0.90222955,1.935084,0.5772745,LS_DR10,22.611707382267305,0.5772745,0.005935672220278592,1.3790171400258184e-10
5502,155.3471391838142,6.117406158617264,REX,0.11689276,0.15751572,0.5427462,0.50614184,LS_DR10,24.506690243280033,0.50614184,0.0012553118914743254,0.0
5507,155.347287298134,6.120887325775406,REX,0.33875558,0.26268193,0.5507932,0.93295985,LS_DR10,23.951424503714357,0.93295985,0.0019389843094417582,1.3299455399544577e-197
5712,155.3554860575101,6.122612144750644,REX,0.22877678,0.42242384,0.545818,0.33076617,LS_DR10,23.435628949621425,0.33076617,0.002948073890009386,0.0
6996,155.350942566437,6.126418012334194,REX,0.178397,0.38008735,1.0421722,0.3040921,LS_DR10,23.550291460671385,0.3040921,0.0026824874506777147,0.0
5655,155.3535587826094,6.123857356356009,EXP,0.16554826,0.2702153,1.6490542,0.9486101,LS_DR10,23.920725160514312,0.9486101,0.0019871330555270156,4.405659997598302e-31
7037,155.352348125031,6.126425778547009,EXP,0.9937208,2.4727068,4.136315,0.96119314,LS_DR10,21.517068442104385,0.96119314,0.015954169654550213,3.882646014780801e-169
5818,155.3593965495292,6.12230730239789,REX,0.32162014,0.7956907,1.6698592,0.3601897,LS_DR10,22.748139294813008,0.3601897,0.005272382931407166,0.0
5851,155.3603255654896,6.121328454406499,EXP,0.3304386,0.7167112,1.3947711,0.50007564,LS_DR10,22.861639521963475,0.50007564,0.004781217747699047,1.3287516351378908e-130
5906,155.3622652014515,6.121685298313749,EXP,0.16319647,0.57867295,1.6213703,0.9237952,LS_DR10,23.09391704551805,0.9237952,0.003922833967148904,2.2087242512635296e-11
6009,155.3659447644301,6.118957510987619,REX,0.08371563,0.19836019,0.595391,0.39260924,LS_DR10,24.25636371097561,0.39260924,0.001523964463553683,1.080628375097983e-81
5957,155.3640011285829,6.123702447988142,REX,0.20672683,0.45949703,0.9862957,0.66827875,LS_DR10,23.344293228424707,0.66827875,0.0031799740532424195,6.150960616236969e-75
6061,155.3681303658843,6.122671448798395,REX,0.9378976,1.7639781,5.2891493,0.57147825,LS_DR10,21.883767027472224,0.57147825,0.011369487105360966,6.729053880941976e-164
7195,155.3590632131198,6.125187331074129,DEV,0.2077365,1.4927689,5.1177464,0.78583175,LS_DR10,22.06501855373383,0.78583175,0.0096436642814048,3.058614838725454e-86
5924,155.3628687162429,6.124248922901675,REX,0.7594114,2.076558,6.973435,0.9255356,LS_DR10,21.70663983544236,0.9255356,0.013378134786473064,6.100813446468091e-13
108,155.3643092686383,6.126408770598049,REX,0.15017198,0.23105308,0.4003702,0.32274988,LS_DR10,24.09072059460969,0.32274988,0.0017358806202053831,0.0
6217,155.3737054581736,6.108024400284981,REX,0.29420534,1.063068,2.7830796,0.47014162,LS_DR10,22.433597386480493,0.47014162,0.006939630306588147,3.3614209111227423e-79
6158,155.3718067814161,6.109926600463341,REX,0.2714429,0.41139925,0.6793387,0.46956024,LS_DR10,23.46434126094912,0.46956024,0.0028790017394812366,3.084400865075395e-15
6160,155.3719163879291,6.111778668496756,REX,0.11816595,0.08994697,0.34759662,0.4618919,LS_DR10,25.115033654849555,0.4618919,0.0007947007555500975,1.1357739678688098e-19
6283,155.3759957301345,6.110666966210252,REX,0.17966738,0.28276905,0.4492518,0.28582057,LS_DR10,23.871420318073554,0.28582057,0.0020672005208722424,0.0
6300,155.3767810163852,6.110877455419058,EXP,0.357533,0.79967076,0.89538,0.8486711,LS_DR10,22.74272195922786,0.8486711,0.005297143898539099,2.276240221197729e-13
6342,155.3783260222239,6.111415843167918,REX,0.22599542,0.29283142,0.536637,0.34252375,LS_DR10,23.833455816297338,0.34252375,0.00213123731126718,0.0
6122,155.3703482142703,6.117871846655238,EXP,0.36730352,0.6935047,1.4853727,0.83682084,LS_DR10,22.897376478231795,0.83682084,0.0046369400802215265,7.36355046178071e-11
6303,155.3769704160183,6.112395610374428,REX,0.09709395,0.31625473,0.92384505,0.34893516,LS_DR10,23.749907425824603,0.34893516,0.0022798708445688257,0.0
6239,155.3745213690221,6.114646766710839,SER,2.18032,4.797299,8.370567,1.4907376,LS_DR10,20.79750803132988,1.4907376,0.03171836492198279,3.246746984616225e-07
6289,155.3761758054995,6.113866712817051,EXP,1.5420043,3.0459414,4.3972325,0.6929382,LS_DR10,21.290696140468956,0.6929382,0.019740964767306083,1.440995180393882e-36
6397,155.379805624618,6.112507652860893,EXP,0.24835432,0.52073103,1.8391098,0.7315554,LS_DR10,23.208466355617528,0.7315554,0.0035620380949649174,6.06703155458072e-205
6093,155.3690782470272,6.12393772581685,REX,0.20734674,0.26908824,1.3406255,0.4581309,LS_DR10,23.92526320463101,0.4581309,0.001979934567275099,0.0
6153,155.3716995157887,6.123927493718609,REX,0.027072709,0.049098074,1.039816,0.40012226,LS_DR10,25.772338859691455,0.40012226,0.0004958483554447799,0.0
6384,155.3794723955301,6.118994194308434,REX,1.1810064,2.8387444,5.8440256,0.7249248,LS_DR10,21.36718427376363,0.7249248,0.018364251702748687,0.0
6404,155.3801512655278,6.120334025829981,REX,0.18798222,0.29327106,0.14946087,0.32503664,LS_DR10,23.83182697775502,0.32503664,0.0021340324833662525,0.0
6297,155.376678149366,6.124764222648248,DEV,0.21831086,1.1119078,4.8036256,0.88211673,LS_DR10,22.384828057989527,0.88211673,0.007245264867730128,9.63437727609519e-274
331,155.3733404125661,6.125127915983944,REX,0.33861327,0.66363865,1.4704208,0.45996577,LS_DR10,22.945170822016543,0.45996577,0.004451261422044936,0.0
