objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
3562,208.7885822430457,22.45018629120223,REX,0.14395176,0.13055411,0.6907399,0.37049526,LS_DR10,24.71052362878635,0.37049526,0.0014121505955120557,0.0
3563,208.7885849996948,22.45550056368263,REX,0.07076463,0.22229917,0.836916,0.62801325,LS_DR10,24.132655397065985,0.62801325,0.002206804353927512,1.7193118288306009e-211
3644,208.7913302525461,22.45516207185558,REX,0.32829115,1.1766392,5.8663635,0.4358312,LS_DR10,22.32339171772265,0.4358312,0.01005396027779413,5.863292842591802e-294
3699,208.7930741539291,22.45245628850389,EXP,0.8760542,2.1001725,3.1917927,0.8147763,LS_DR10,21.694362581354014,0.8147763,0.017780425093015285,1.8856915942331442e-46
3754,208.795277928133,22.45046443005613,REX,0.51679826,1.1665653,1.5426841,0.2917114,LS_DR10,22.332727364987562,0.2917114,0.009970927678136841,0.0
3844,208.7989383096772,22.45005796971855,REX,0.31578046,1.4490943,4.141931,0.25967467,LS_DR10,22.097258379598337,0.25967467,0.012309192612577825,0.0
3689,208.792737627404,22.45787226718316,REX,0.15022843,0.14317898,0.38661036,0.2311279,LS_DR10,24.610301839499147,0.2311279,0.0015238544053660006,0.0
3910,208.8014312057745,22.45333763219735,EXP,0.37341586,0.9360527,1.2861799,0.81147736,LS_DR10,22.571749249215358,0.81147736,0.008076973460039053,3.982686956132921e-13
3930,208.8021471458411,22.4528272168546,REX,0.13324758,0.20274729,0.27608696,0.3586797,LS_DR10,24.23261235507206,0.3586797,0.0020401561767976104,3.175209934421403e-120
3911,208.8014336214179,22.45612052474743,REX,0.10097401,0.30489564,1.5601561,0.5449581,LS_DR10,23.789621964976018,0.5449581,0.0029012996672751145,3.380013012524061e-17
3934,208.8022765723222,22.45507335891116,REX,0.12910889,0.13266627,0.16146114,0.32502976,LS_DR10,24.693098702916483,0.32502976,0.0014309104459379436,8.909779461276811e-78
4116,208.8087090319284,22.45222633196702,REX,0.22132532,0.06058293,0.1956668,0.7382136,LS_DR10,25.544124316280577,0.7382136,0.00076553161993631,5.241137372521159e-24
3534,208.787224415917,22.46121059587711,REX,0.16276918,0.25877902,0.72942024,0.71730244,LS_DR10,23.96767734036739,0.71730244,0.002515151612124236,3.2041617087500846e-72
3558,208.7884230547318,22.46076929535568,REX,0.21857168,0.43765065,0.6585966,0.5490099,LS_DR10,23.397181055451505,0.5490099,0.003999240818000902,7.17724438247091e-148
3542,208.7876215524516,22.46341340865941,REX,0.11598831,0.2280115,0.67098385,0.35284817,LS_DR10,24.105108120869577,0.35284817,0.002255294169253804,7.356238607e-315
3627,208.7904865099051,22.46396655024313,DEV,1.7229173,3.9575837,6.1041822,0.7037501,LS_DR10,21.006424728394755,0.7037501,0.03403688243944571,4.307555885030791e-14
3647,208.7913939105286,22.46803315099417,REX,0.20110309,0.36714923,0.89041644,0.6315035,LS_DR10,23.587893445687275,0.6315035,0.003418071926278763,1.3108386854631598e-15
3654,208.7915694387991,22.46042107237923,EXP,1.3584332,2.171247,2.5722127,0.99951917,LS_DR10,21.6582269215168,0.99951917,0.018384957067167463,3.541904232379564e-10
3771,208.7959823253542,22.46292373303133,EXP,0.2446538,0.74141973,4.2611217,0.9666484,LS_DR10,22.824839652739037,0.9666484,0.006484764845507015,4.5073399090846696e-07
3848,208.7990502108554,22.45866524012565,DEV,0.085579626,0.42707992,3.2197826,1.5992253,LS_DR10,23.423727118249857,1.5992253,0.0039123056098051565,8.760176138781994e-06
3823,208.7979926111893,22.4613551141526,DEV,0.49078342,0.91421634,1.9967964,1.845914,LS_DR10,22.5973775518291,1.845914,0.007898089006116904,0.00021990413794955704
3759,208.7954926198918,22.46352922490895,REX,0.16887201,0.2651425,0.6018998,0.47758988,LS_DR10,23.94130163279747,0.47758988,0.002568650272846851,2.449608509324914e-13
3696,208.7928806077074,22.46635161855269,REX,0.4641278,1.003538,1.7158787,0.38545346,LS_DR10,22.49616544464315,0.38545346,0.008630341449797628,7.619460655514057e-46
3801,208.7969548505084,22.46511973913939,REX,0.25932595,0.88446057,2.7506065,0.57325745,LS_DR10,22.633303808844722,0.57325745,0.0076544496098916595,1.505043987251976e-08
3924,208.8019778755829,22.46361927050154,EXP,0.32523426,1.1464597,3.3277555,0.7787982,LS_DR10,22.35160301713064,0.7787982,0.009805281004090022,0.0019252161802083597
3796,208.7968865632581,22.46593667987176,REX,0.071339324,0.276044,0.6263034,0.32644135,LS_DR10,23.89755422025192,0.32644135,0.0026601285260714103,7.243561929254763e-15
3835,208.7985323956185,22.46597392259696,REX,0.15746544,0.4230959,2.1341395,0.6175359,LS_DR10,23.433902957919713,0.6175359,0.003879524302236219,2.3466840911460644e-06
3909,208.8013477595665,22.46479735949319,EXP,0.42610383,0.69605565,2.6351645,1.8838681,LS_DR10,22.893390092346618,1.8838681,0.006114132602255307,0.014873156112616229
3541,208.7876095862291,22.47091979340596,REX,0.14807352,0.24256904,0.37817046,0.41578904,LS_DR10,24.03791157643113,0.41578904,0.002378506077818473,5.2042925764788474e-167
3557,208.7883292272579,22.47193886069584,REX,0.08499139,0.2121254,0.61164993,0.5178895,LS_DR10,24.18351831433589,0.5178895,0.0021202269347326665,3.661726569354455e-92
