objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
4235,17.61657134256677,-44.4550556051603,SER,1.5875542,3.9623625,6.5434585,1.4725108,LS_DR10,21.005114487977977,1.4725108,0.032572943147663305,6.621412843567189e-10
3958,17.60678376523284,-44.45506382353585,REX,0.08182588,0.5482835,2.7703886,0.20071672,LS_DR10,23.152487058858572,0.20071672,0.004689378195434973,0.0
3973,17.60725184854221,-44.4526241905215,REX,0.1752373,0.26201144,0.48162177,0.2716169,LS_DR10,23.95419936501736,0.2716169,0.0024299196097401507,0.0
4131,17.61308576013849,-44.45200052314224,REX,0.10169773,0.17772299,0.13665706,0.24687162,LS_DR10,24.375640972069117,0.24687162,0.0017443703082212455,0.0
4093,17.61187568800095,-44.45081756163848,REX,0.08715366,0.09380795,0.43231055,0.36759567,LS_DR10,25.069400886599635,0.36759567,0.0010322300996113436,0.0
4146,17.61361042606514,-44.45034156741882,DEV,0.8960656,1.8745935,2.831101,0.51422775,LS_DR10,21.817732232969554,0.51422775,0.015169470911157886,2.706855359731731e-152
4001,17.60830758431029,-44.44934888919961,SER,13.581096,20.433207,28.287737,0.9091848,LS_DR10,19.224158663313784,0.9091848,0.19879195408203254,4.4788669861893826e-12
4130,17.6130395519463,-44.44925115064279,REX,0.03467681,0.19565576,0.6779557,0.41090363,LS_DR10,24.271268405449735,0.41090363,0.001891899616023172,2.503620298337208e-233
4199,17.61537863217405,-44.44867826993743,DEV,0.2501596,0.38990143,0.19569543,0.6899155,LS_DR10,23.52261292998355,0.6899155,0.0034465567892342174,2.167724804193288e-13
4220,17.61613926782599,-44.44757400504434,REX,0.09980402,0.3060496,1.2296584,0.39882648,LS_DR10,23.785520459444058,0.39882648,0.0027822052195635907,1.0251162171157534e-72
3959,17.60681434305451,-44.44715158967551,REX,0.10164802,0.07105526,-0.10004716,0.23557553,LS_DR10,25.371009417690342,0.23557553,0.0008283576890899312,0.0
4019,17.6089256127003,-44.44701260023067,REX,0.05265025,0.14952019,0.14392196,0.3546326,LS_DR10,24.563250399393098,0.3546326,0.001509751936749591,0.0
4139,17.6133682430593,-44.44657742374146,REX,0.103433,0.19994587,0.33329803,0.24928941,LS_DR10,24.2477189051169,0.24928941,0.001927033273404673,4.203401615871751e-271
3933,17.60581830167778,-44.44335361556559,REX,0.33691147,0.36873806,0.72218925,0.2877449,LS_DR10,23.583205083873892,0.2877449,0.003279488437022141,0.0
4039,17.60962895238224,-44.44454564254983,REX,5.094243,9.177614,12.453284,0.98842925,LS_DR10,20.09317553047224,0.98842925,0.08035534565139785,1.2408601096696418e-08
3943,17.6062762171784,-44.44249628176096,REX,0.22132355,0.43282327,1.1063249,0.4104604,LS_DR10,23.40922349544155,0.4104604,0.0037844640757258305,2.148146176768226e-214
4127,17.61301719656922,-44.44295856946657,REX,0.15059899,0.15058409,0.26889807,0.27295503,LS_DR10,24.55555227801116,0.27295503,0.0015186699833531858,1.0013900135655538e-82
4161,17.61410226355777,-44.44183986136404,REX,0.17364223,0.17344745,0.22985257,0.21116175,LS_DR10,24.40208020177835,0.21116175,0.001709022262885829,4.760603905232591e-74
4209,17.6157067155684,-44.44127022429091,REX,0.09414963,0.12203689,0.35656676,0.33077836,LS_DR10,24.783772171228794,0.33077836,0.0012770991609906046,1.26445179587155e-12
3930,17.6057513704784,-44.44037666308409,REX,0.1213488,0.22397973,0.48400414,0.5683925,LS_DR10,24.124478208042667,0.5683925,0.002122867110657966,7.936372890418884e-54
3981,17.60763717976614,-44.43962373124199,REX,0.4035982,0.6506017,1.4823267,0.4873638,LS_DR10,22.966712015640123,0.4873638,0.005488848711508159,8.039598577552098e-52
4122,17.61294211071926,-44.43882744889462,REX,0.10619064,0.18074222,0.8364028,0.61006624,LS_DR10,24.357350969299183,0.61006624,0.0017692894227927635,4.950386730944133e-10
3976,17.6074326205556,-44.43865121747367,EXP,0.38449255,0.82373977,1.0705614,0.65852654,LS_DR10,22.710524914637134,0.65852654,0.006841156353506682,1.3881603468345957e-13
4049,17.61019116321625,-44.4338730636623,REX,0.09956804,0.26779535,0.54827607,0.36444426,LS_DR10,23.93049242087606,0.36444426,0.0024763650522259977,3.7575082468958106e-142
4055,17.61046513742492,-44.43306325658313,REX,0.11373134,0.6679533,2.385167,0.2626569,LS_DR10,22.93813475047761,0.2626569,0.005624343668585536,1.5808494154856614e-302
3948,17.60640776218326,-44.43032137605363,EXP,0.45367742,0.86279386,1.388396,0.51313186,LS_DR10,22.6602323854467,0.51313186,0.00714650141480512,5.2044833534888986e-284
3980,17.6076339033962,-44.42848964266307,REX,0.1340453,0.17350943,0.19928418,0.22764133,LS_DR10,24.40169229230276,0.22764133,0.0017095351978632448,0.0
4632,17.62984371729324,-44.45450754510806,REX,0.46620443,0.6841855,1.7293016,0.32239386,LS_DR10,22.912065335230928,0.32239386,0.005751091609203015,0.0
4877,17.63821908994874,-44.45300745380479,EXP,0.5832589,1.2865276,1.9304924,0.58623606,LS_DR10,22.226452230981298,0.58623606,0.010476601698807202,0.0
4880,17.63833227027126,-44.45091360756305,REX,1.1319801,2.60689,7.3119907,0.60096186,LS_DR10,21.459693234699905,0.60096186,0.02114346457015952,0.0
4510,17.62533266513516,-44.45135195709656,SER,1.6013561,1.8060049,3.2124152,0.9709291,LS_DR10,21.858202689264374,0.9709291,0.014617390035392057,3.7582842453723785e-11
4568,17.6275088629958,-44.45159335921898,REX,0.38479772,0.5632322,1.5767156,0.5487146,LS_DR10,23.123281311322494,0.5487146,0.004806266995266783,1.6951815363346548e-129
