objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog,mag,ang_size,prior_O,posterior_O
5587,294.6925762148168,-60.31122315571044,REX,0.21806157,0.23506603,0.19929066,0.34525746,LS_DR10,24.072025318398783,0.34525746,0.00507887958937948,0.0
5663,294.698182914613,-60.30816967149592,REX,0.18324171,0.14296344,0.31543034,0.3048971,LS_DR10,24.611937525853058,0.3048971,0.0033389257317329264,0.0
5660,294.6978340483897,-60.29505036622941,REX,0.6246331,3.2394753,7.7823353,0.30570197,LS_DR10,21.22381331766876,0.30570197,0.0606409129496236,1.0672653066884265e-17
5761,294.7044700364297,-60.28767835893826,REX,2.1825259,8.546679,19.993486,0.56595856,LS_DR10,20.170506517903323,0.56595856,0.17052572468708532,3.7621088261994376e-10
5708,294.7013691622685,-60.29267291753681,REX,1.1011597,3.755294,8.821982,0.569571,LS_DR10,21.063390141603296,0.569571,0.07068942127064938,2.590284085484681e-05
5715,294.7018319735506,-60.29397254099274,SER,3.1079223,4.7894177,5.2223206,0.99989194,LS_DR10,20.79929321283594,0.99989194,0.09128084658313185,0.12530968743935295
5815,294.708049027099,-60.29025302018086,REX,0.34628478,0.45616308,0.9625478,0.497809,LS_DR10,23.352199669202154,0.497809,0.00910739697230204,1.4838639740963616e-08
5858,294.7108040517445,-60.29275676471546,REX,0.5748358,2.310106,4.376614,0.8572299,LS_DR10,21.590920229751354,0.8572299,0.042933829829080304,0.0637004254569005
5621,294.6953948384611,-60.29829255502551,REX,0.21849225,0.23730654,0.45121133,0.52811843,LS_DR10,24.061725731924277,0.52811843,0.005120470595482154,3.888856870056788e-09
5648,294.6970501574499,-60.2972841453702,REX,1.0842808,5.212981,12.014813,0.4189225,LS_DR10,20.70728464490967,0.4189225,0.09987828018352866,1.697924706430029e-08
5746,294.7035419448313,-60.30028302486226,REX,0.13984719,0.2845501,1.2150939,0.3325028,LS_DR10,23.86460314357667,0.3325028,0.005992175244366175,6.0336941938766315e-09
5867,294.711475563673,-60.29347073759303,REX,0.62579405,3.7081063,9.656783,0.39701942,LS_DR10,21.077119561155886,0.39701942,0.06976384785619018,0.0005073650387187239
5829,294.7092525743987,-60.29988904115213,REX,0.33318335,0.35689217,0.5322786,0.5595359,LS_DR10,23.618657450250215,0.5595359,0.007312514482738272,0.0036970450814227595
5766,294.7046684245355,-60.28270314905502,EXP,1.0551373,3.648847,8.486518,0.7483829,LS_DR10,21.09461086669718,0.7483829,0.06860327841826638,8.488897777668546e-44
5790,294.706406471685,-60.28681894819294,REX,0.049599875,0.41219723,1.1885691,0.5596241,LS_DR10,23.46223732760597,0.5596241,0.00831421112271767,5.743106364064079e-17
5810,294.7076861021324,-60.28648154210885,REX,0.026511744,0.346766,0.66136116,0.078971915,LS_DR10,23.649908727933745,0.078971915,0.007128492948200796,0.0
5912,294.7151829773673,-60.28641244889641,REX,0.16319221,0.6793022,1.1974136,0.8282272,LS_DR10,22.919842447233204,0.8282272,0.013113154733455501,7.650971920632978e-09
5955,294.7183598954612,-60.29002034442912,REX,-0.10375263,0.21459562,1.2231519,0.24009399,LS_DR10,24.170947866098086,0.24009399,0.004697612080733673,2.098625275928436e-198
6036,294.724626300044,-60.29520239608431,DEV,0.46953154,0.92370963,1.4558352,0.4253108,LS_DR10,22.586161321699425,0.4253108,0.017497729331184608,6.750761901768716e-18
6044,294.7251426855939,-60.29909932330614,EXP,0.7369612,1.2526206,3.1155019,1.5189857,LS_DR10,22.255451125940997,1.5189857,0.023432412808951246,0.002587924281181768
6038,294.7246560972641,-60.29651645045335,REX,0.13791424,0.71086735,1.2251633,0.69547063,LS_DR10,22.870528580938284,0.69547063,0.01367889455424594,3.2515162826422007e-07
5781,294.7057245210295,-60.30626239214821,REX,1.627306,3.3205748,5.523982,0.2731348,LS_DR10,21.19696683075426,0.2731348,0.06221060477774588,5.53250965e-316
6009,294.7225676107279,-60.30461763685864,REX,0.5126459,0.96251285,2.6847215,0.55308974,LS_DR10,22.541483659362058,0.55308974,0.01819535996754708,2.8655205591091846e-27
6034,294.7244964232906,-60.30601987804449,REX,0.38637194,0.27735004,1.563714,0.8090679,LS_DR10,23.892429417875718,0.8090679,0.005859906797149155,9.858063468748882e-11
6001,294.7219242922123,-60.31069746287872,REX,0.29358548,0.8182982,1.3737997,0.86601126,LS_DR10,22.717721010337062,0.86601126,0.015605116484511804,2.788085193921688e-23
