mag_limit,n,median_cosi,cdf_at_cosi_0.5_y,x_at_cdf_0.5
20.0,9581,0.6100696933720718,0.3476672581150193,0.615
21.0,27409,0.5793963938788744,0.38447225363931553,0.58
22.0,57867,0.5227612077066613,0.4724454352221473,0.525
