objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
6136,6.939254875428033,-5.840619866680293,PSF,0.6838941,0.78372115,1.4928187,0.0,LS_DR10
6133,6.939198144980129,-5.839535948968184,REX,0.150092,0.200812,0.48739147,0.58048934,LS_DR10
6179,6.94013909625644,-5.839634138492213,EXP,0.09898026,0.27769363,0.89299184,1.3859696,LS_DR10
6264,6.942223012968785,-5.84109997979965,REX,0.19136935,0.16284193,0.45202518,1.0425137,LS_DR10
6324,6.943608875522291,-5.841417180547273,PSF,1.4242127,3.4143403,5.5138845,0.0,LS_DR10
6346,6.944220614628944,-5.839824831462629,REX,0.002027449,0.19331929,1.4254102,0.19692111,LS_DR10
5105,6.913674639080926,-5.838306602204095,REX,0.1151835,0.08297227,0.28518277,0.40571362,LS_DR10
5169,6.914804237298023,-5.838089275809834,SER,1.9411801,6.388309,15.933899,0.9177461,LS_DR10
5224,6.916109928117218,-5.83888203860612,REX,0.11982718,0.1434631,0.18679595,0.30134502,LS_DR10
5309,6.918285200901584,-5.839157795068986,REX,0.19760673,0.24889015,0.15049516,0.33789924,LS_DR10
5308,6.91827532500828,-5.83758852197047,REX,0.10952361,0.06155281,0.22450756,0.58184105,LS_DR10
5245,6.916563594119546,-5.832297969418975,PSF,0.032042123,0.03573563,0.31993335,0.0,LS_DR10
5250,6.916725954985456,-5.832818653279345,REX,0.23162672,0.25857797,0.66418636,0.56503826,LS_DR10
5192,6.915418871000011,-5.830997393862138,REX,0.37754208,0.527411,1.3626605,0.2989181,LS_DR10
5176,6.915064759357688,-5.830222447544145,SER,0.609524,0.8513501,1.9204072,0.95379764,LS_DR10
5173,6.914900283722879,-5.82961912800327,REX,0.07164599,0.14470708,0.35248554,0.1930697,LS_DR10
5261,6.916939669795481,-5.830848806486537,PSF,0.071032315,0.048612602,0.13770041,0.0,LS_DR10
5178,6.915123398720196,-5.827887726071043,REX,0.2397482,0.36569276,0.9207541,0.31212553,LS_DR10
5359,6.919588213978979,-5.839235226915883,SER,3.8413532,12.806516,25.181854,1.3446363,LS_DR10
5362,6.919612909011354,-5.838756232097802,PSF,0.14272134,0.16817647,0.664085,0.0,LS_DR10
5383,6.920180690953571,-5.83822604654178,PSF,0.079485334,0.08314197,-0.045232993,0.0,LS_DR10
5475,6.922667737800449,-5.838376870654902,REX,0.43452138,0.8374138,1.7345884,0.3170946,LS_DR10
5534,6.924062012357748,-5.839334632204585,REX,0.07619931,0.11073601,0.13493212,0.33915174,LS_DR10
5506,6.92340443327942,-5.837919387969888,REX,0.12576415,0.37113503,0.57626253,0.22135861,LS_DR10
5511,6.923567534793936,-5.836958243117436,PSF,0.059179418,0.12823053,0.27036428,0.0,LS_DR10
5434,6.921464296995685,-5.833124321124256,REX,0.5550456,0.7197097,1.0542648,0.42850706,LS_DR10
5450,6.921888586505602,-5.834197509063242,PSF,0.1196102,0.16539694,0.24336699,0.0,LS_DR10
5552,6.924663554034169,-5.834213630949615,PSF,-1.1197292e-06,0.054251414,0.29093558,0.0,LS_DR10
5512,6.923638295594564,-5.833004132563956,PSF,0.08366131,0.05546616,0.14329518,0.0,LS_DR10
5675,6.928032579217553,-5.838638528291924,PSF,0.08803906,0.16984229,0.41528443,0.0,LS_DR10
5670,6.927941358169386,-5.836268127414135,REX,0.09456448,0.11078691,0.1844128,0.43903106,LS_DR10
5783,6.931270807404782,-5.839340215575914,EXP,0.23208852,0.38723764,0.6049454,0.7436856,LS_DR10
5733,6.929813811837001,-5.83784017247494,REX,0.75299746,1.8367777,2.5803523,0.5807742,LS_DR10
5647,6.92752424537162,-5.835315064773378,REX,0.07071988,0.15089393,0.16125512,0.4270233,LS_DR10
5641,6.927203271514948,-5.833126230362862,REX,0.09635486,0.19332659,1.4958603,0.41086736,LS_DR10
