objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
9204,303.1077380008576,-55.34506540065288,EXP,0.19560313,0.2991256,0.8084838,0.5276835,LS_DR10
9467,303.1163767085832,-55.34468027186814,PSF,0.23780279,0.8750088,5.7487726,0.0,LS_DR10
9450,303.1159561955814,-55.34751082108464,REX,0.31804374,0.36969107,0.7997254,0.2376642,LS_DR10
9319,303.1112031478931,-55.35403208290112,REX,0.15664804,0.21915667,1.0205424,0.5807624,LS_DR10
9313,303.1110716345726,-55.35616781490148,REX,4.610306,7.561787,10.960595,0.7104555,LS_DR10
9439,303.1155111011838,-55.3562621673756,REX,0.6812805,0.8703613,1.1341374,0.24546418,LS_DR10
9509,303.1177050829535,-55.35583790842199,REX,0.24461685,0.39811268,0.7634617,0.20678112,LS_DR10
9433,303.11539706017,-55.35917696203404,REX,0.08527784,0.12960543,0.30617076,0.23344657,LS_DR10
9535,303.1184687616789,-55.35842010947768,REX,0.4170954,0.58675843,1.3843876,0.36864468,LS_DR10
9407,303.1145261709167,-55.35990637271361,PSF,0.24037379,0.31643552,0.6189357,0.0,LS_DR10
9521,303.1179818652725,-55.36158060096123,REX,0.11823675,0.11922544,0.3450927,0.3762362,LS_DR10
9513,303.1178291572143,-55.36055649276856,PSF,0.03297046,0.21571435,0.48655823,0.0,LS_DR10
9548,303.1187996428097,-55.35973577655562,PSF,0.31299287,1.1465423,2.6703942,0.0,LS_DR10
9650,303.1221797371156,-55.35753956328178,PSF,0.077863686,0.15081435,0.19911735,0.0,LS_DR10
9512,303.1177954475999,-55.35173624887718,REX,0.18841971,0.25545168,0.4363847,0.4248486,LS_DR10
9656,303.1222996215821,-55.35405264676518,PSF,0.130098,0.12289704,0.25900906,0.0,LS_DR10
9732,303.1245274734538,-55.35023328576019,PSF,0.12146232,0.49002916,3.5970845,0.0,LS_DR10
9644,303.1219299520596,-55.35540068102949,REX,0.11452215,0.18454587,0.6791814,0.5077115,LS_DR10
9758,303.1255710144891,-55.35570528548771,PSF,0.0300162,0.050444715,0.17125778,0.0,LS_DR10
9775,303.1261407857129,-55.35751084454309,PSF,0.06074594,0.3031335,0.80376315,0.0,LS_DR10
9829,303.1275779726661,-55.35644558519437,EXP,1.3615819,2.6434364,4.893549,1.0827813,LS_DR10
9854,303.1284397790642,-55.35416985593022,REX,0.12664852,0.2700849,0.41051266,0.29049695,LS_DR10
9882,303.1296428541593,-55.35405080916664,PSF,0.04743885,0.15113248,0.49740857,0.0,LS_DR10
9906,303.1303373963733,-55.35404350697988,PSF,0.084971964,0.2050318,0.12510306,0.0,LS_DR10
9852,303.1283407322683,-55.35657494422764,REX,0.014290211,0.044749398,0.603526,0.24221706,LS_DR10
9894,303.1299654596933,-55.35677387303249,REX,0.022182303,0.14789003,0.4750239,0.40790603,LS_DR10
9481,303.1167559452282,-55.34000972460854,PSF,0.0039379485,0.13344927,0.40542036,0.0,LS_DR10
9584,303.1198963010089,-55.34350516333262,PSF,0.16922802,0.56338054,1.2122595,0.0,LS_DR10
9688,303.1231064393656,-55.34255193941611,PSF,0.23514515,0.38621557,0.606126,0.0,LS_DR10
9699,303.1235153135674,-55.34497159560703,PSF,1.4063787,3.5168939,5.683608,0.0,LS_DR10
9631,303.1215239594108,-55.34692915693148,PSF,47.51568,86.16617,114.18069,0.0,LS_DR10
9661,303.1224391355254,-55.34726651695217,SER,0.66883934,1.8478917,3.055624,1.1236696,LS_DR10
9718,303.1241130727407,-55.34682953130782,REX,0.11020596,0.2400185,0.31424457,0.2556536,LS_DR10
9789,303.1264985561884,-55.34266291511083,PSF,0.16746664,0.30762163,0.39240673,0.0,LS_DR10
9730,303.1244940269482,-55.3400424708892,REX,0.14235531,0.31983462,0.40892068,0.4342196,LS_DR10
9779,303.1261952707653,-55.34100978986199,PSF,0.73846066,2.6484988,7.780371,0.0,LS_DR10
9868,303.1292172087307,-55.34061037154314,PSF,3.0675645,7.8779545,13.785425,0.0,LS_DR10
9870,303.1292724216367,-55.34353468298123,PSF,1.8722297,5.7381716,11.239419,0.0,LS_DR10
9892,303.1299567316207,-55.34108315826493,PSF,0.08640067,0.10164356,0.10588696,0.0,LS_DR10
9927,303.1311458728293,-55.34536531847607,PSF,0.26484567,1.102083,4.789472,0.0,LS_DR10
9929,303.1313154077314,-55.34152534024372,PSF,0.056797624,0.36954364,1.6384149,0.0,LS_DR10
9745,303.1250282969939,-55.34870773802622,REX,0.09054715,0.3443387,0.63234603,0.29835272,LS_DR10
9799,303.126725008704,-55.34781845811336,PSF,0.05645985,0.13581678,0.28796896,0.0,LS_DR10
9853,303.1283743251776,-55.34857020351487,PSF,0.43386328,0.9421195,1.4660652,0.0,LS_DR10
9815,303.1272894489443,-55.35149419509042,PSF,0.1268057,0.19253013,0.23184891,0.0,LS_DR10
9908,303.1304866686584,-55.35284206031038,PSF,0.05138855,0.27990237,1.45555,0.0,LS_DR10
9543,303.1186692518592,-55.36262565523391,PSF,0.067141,0.0729441,0.05338025,0.0,LS_DR10
9826,303.1275250284486,-55.36565972789223,REX,0.16177204,0.16670106,0.5265414,0.34456325,LS_DR10
9946,303.1317675390179,-55.36851616551421,EXP,0.16266096,0.47921658,0.79496956,1.1535571,LS_DR10
9904,303.1303144911373,-55.37057926315635,PSF,0.10051841,0.16763952,0.07115081,0.0,LS_DR10
9934,303.1315207095454,-55.37150163887507,PSF,0.06939616,0.15560123,0.21791317,0.0,LS_DR10
9930,303.1313751207559,-55.37073805787596,PSF,0.08612034,0.06917975,0.16247661,0.0,LS_DR10
