objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
1276,22.2408011061389,-52.73285471847704,REX,0.14832862,0.062437873,0.31564224,0.5266839,LS_DR10
1322,22.242221009988,-52.73247970186402,REX,0.258532,0.3335799,0.62037325,0.3605453,LS_DR10
1455,22.24661156082005,-52.7335679342594,PSF,0.30007714,0.77498466,1.1553019,0.0,LS_DR10
1472,22.24731701311118,-52.7326627327791,REX,0.19481228,0.24371962,0.34493962,0.37442452,LS_DR10
1372,22.24391303444744,-52.73259111305962,REX,0.1678692,0.19498867,0.22098856,0.24488345,LS_DR10
1337,22.24269366596483,-52.730566128848,EXP,0.29547292,0.28380206,0.3187006,0.77201855,LS_DR10
828,22.22093992399336,-52.73199582585819,REX,0.1815775,1.2200308,7.8332543,0.52794594,LS_DR10
896,22.22416654926176,-52.73193094129777,REX,0.056807015,0.1584054,0.7492603,0.4269455,LS_DR10
841,22.22133420820554,-52.73056870368823,PSF,0.06111172,0.12452019,0.5448171,0.0,LS_DR10
919,22.22530274559568,-52.72982976539894,DEV,0.8155589,4.2239933,14.719085,0.60755837,LS_DR10
858,22.22181277312753,-52.72948741916233,REX,0.07082289,0.20404293,0.7308598,0.44608313,LS_DR10
761,22.21870501636318,-52.7291330995349,EXP,0.2963507,0.3783674,0.88433707,0.725361,LS_DR10
975,22.2274861959457,-52.73181669599672,REX,0.06438295,0.32352367,0.5556989,0.3309437,LS_DR10
1034,22.23046499258196,-52.73186041974282,REX,0.1479468,0.35888386,1.0928719,0.47067025,LS_DR10
998,22.22888110681539,-52.73143840847942,REX,0.09774988,0.69672334,2.362908,0.35986102,LS_DR10
1129,22.23441259014265,-52.72931647456695,REX,0.15475579,0.22590119,0.3657834,0.3020309,LS_DR10
1030,22.23033913741741,-52.72883048883259,PSF,0.15314882,0.19603892,0.28520867,0.0,LS_DR10
1203,22.23800843923314,-52.73034210247029,REX,0.53430766,1.1748513,1.938685,0.3840111,LS_DR10
1214,22.23846827508684,-52.72774780892791,REX,0.19267917,0.49579388,1.352355,0.878798,LS_DR10
1259,22.24022348855219,-52.72696840682657,PSF,0.07510175,0.13450447,0.27112725,0.0,LS_DR10
944,22.22625196798072,-52.72497728246837,REX,0.14959842,0.18659227,0.47550768,0.31836542,LS_DR10
1069,22.23161082133642,-52.72348398232949,PSF,0.065895565,0.057329137,0.21355014,0.0,LS_DR10
1132,22.23459588015359,-52.72312328961652,EXP,0.3511429,0.8017148,1.2003565,0.42963207,LS_DR10
1118,22.23395309752866,-52.72242796210298,REX,0.14566812,0.22609359,0.08873317,0.6593476,LS_DR10
869,22.22248521030205,-52.72403862393256,PSF,0.09032672,0.10980345,0.12045205,0.0,LS_DR10
829,22.22094260441376,-52.72255276811197,REX,0.20172559,0.24170455,0.78604555,1.0506781,LS_DR10
890,22.22375288771883,-52.72056066677596,DEV,0.36009663,0.81964326,1.2335389,0.39611042,LS_DR10
958,22.22699606430387,-52.72103237823602,REX,0.6010488,1.0700438,2.92398,0.87183493,LS_DR10
874,22.22261234953016,-52.72000140021085,REX,0.24668829,0.35871935,0.9481725,0.38117754,LS_DR10
908,22.22475677804579,-52.71994770276824,REX,0.18423004,0.22097817,0.29823112,0.27323318,LS_DR10
923,22.22555725332147,-52.71959417138849,REX,0.09219824,0.35337028,1.5105841,0.29027706,LS_DR10
918,22.22518861464768,-52.71917714338186,REX,0.12583461,0.14431077,0.34165064,0.2039228,LS_DR10
1084,22.23220479403941,-52.72215540708548,PSF,0.0930111,0.19003598,0.22880194,0.0,LS_DR10
1002,22.2290219391136,-52.7213530319787,REX,0.032765105,0.1227368,0.8771383,0.21476914,LS_DR10
1016,22.22981742851403,-52.72043763258198,REX,0.26864043,0.29387355,0.41531828,0.3822373,LS_DR10
1018,22.22985205187848,-52.71913127632507,PSF,0.01898751,0.13074838,0.14718439,0.0,LS_DR10
1071,22.23172389030297,-52.71883386162178,PSF,0.0668208,0.09430664,0.02605749,0.0,LS_DR10
1056,22.23107373786734,-52.71845127034037,SER,0.6976035,4.2556906,13.329895,1.0886157,LS_DR10
1101,22.23304571430722,-52.7177367671575,REX,0.039870106,0.08483096,0.12227459,0.30147558,LS_DR10
735,22.21793514693265,-52.71908256108137,PSF,0.14989942,0.2611406,0.37571084,0.0,LS_DR10
758,22.21849098303332,-52.71700689478998,REX,0.17181137,0.35035482,0.8629496,0.32544383,LS_DR10
855,22.22180331348402,-52.71497302228627,PSF,0.09756177,0.12155051,0.25044686,0.0,LS_DR10
1093,22.23261485429746,-52.71737290892279,REX,3.4231532,6.5664935,10.622082,0.4253833,LS_DR10
1112,22.23370360948891,-52.71607874638144,PSF,0.06600676,0.079941824,0.14614826,0.0,LS_DR10
914,22.2248772067244,-52.71533025333527,PSF,2.5712135,4.083285,5.00931,0.0,LS_DR10
1088,22.23237428983901,-52.71499537847344,REX,0.14848696,0.24041899,0.27861115,0.483639,LS_DR10
739,22.21798223021125,-52.7145350150529,REX,0.06113476,0.13770673,0.5061168,0.47365388,LS_DR10
743,22.21808745121834,-52.71331069053891,PSF,0.14738028,0.10352322,0.25119784,0.0,LS_DR10
796,22.21976814772066,-52.71319120959726,REX,0.2519966,0.4460392,1.4834514,0.7230916,LS_DR10
760,22.21864963264485,-52.7128519903176,REX,0.12189557,0.15194999,0.36665076,0.2915321,LS_DR10
795,22.21975866830583,-52.71234021690753,PSF,0.051617425,0.13988672,0.08644214,0.0,LS_DR10
708,22.21672238828921,-52.71218586476635,EXP,0.46771193,0.6150455,1.437004,0.5179741,LS_DR10
851,22.22155394950338,-52.71302439031221,REX,0.38969994,0.5404207,0.84088945,0.44133952,LS_DR10
997,22.22875097171238,-52.71246149236411,REX,0.21004069,0.29484606,0.623821,1.0075518,LS_DR10
834,22.2211274627223,-52.71192079014417,EXP,0.5681831,0.687749,0.91189134,0.47268003,LS_DR10
849,22.22154811738156,-52.71145244073809,PSF,0.06931983,0.078210935,0.1928723,0.0,LS_DR10
887,22.22350203147457,-52.70946819332029,REX,0.014856614,0.07583209,0.83680433,0.32698816,LS_DR10
876,22.22273790458409,-52.70868573069607,REX,0.027742563,0.219131,0.5647896,0.5043426,LS_DR10
744,22.21809416446546,-52.70794203516196,REX,0.13800612,0.07140657,0.25477767,0.4977158,LS_DR10
870,22.22249729211041,-52.70735756354237,PSF,0.3022529,0.46948245,0.42598724,0.0,LS_DR10
837,22.22123009021898,-52.70636479065134,PSF,0.031223288,0.21119763,1.8340801,0.0,LS_DR10
824,22.22075680903335,-52.70591396842589,REX,0.31972408,0.3903059,0.8426211,0.2530217,LS_DR10
881,22.22311702711253,-52.7054030082204,PSF,0.135438,0.1692713,0.13408057,0.0,LS_DR10
1466,22.24711673557924,-52.7315679088756,REX,0.12915607,0.47428262,1.2513723,0.34866628,LS_DR10
1520,22.24900736336976,-52.72914345290854,REX,0.14541109,0.26681438,0.69912064,0.21242301,LS_DR10
1363,22.24363661661124,-52.72733003102406,REX,0.10937107,0.12584059,0.27619404,0.27212608,LS_DR10
1425,22.24575811598983,-52.72504497603315,REX,0.12276275,0.18706729,0.4089768,0.2556469,LS_DR10
1324,22.24231510017717,-52.72504120956165,PSF,0.06063955,0.14501107,0.12660046,0.0,LS_DR10
1269,22.24051924368261,-52.72393752896771,EXP,0.2149753,0.6943526,1.2507937,0.63560843,LS_DR10
1301,22.24149811533167,-52.72385694263989,REX,0.29253381,0.8074522,1.0913543,0.51318645,LS_DR10
1369,22.24370792642725,-52.72220038574955,PSF,0.13682833,0.1973916,0.33626646,0.0,LS_DR10
1316,22.24195132425959,-52.72190765573216,REX,0.093328014,0.1489279,-0.049876355,0.5370411,LS_DR10
1279,22.24086728224725,-52.72099727177521,REX,0.10959028,0.17888206,0.15990297,0.4022755,LS_DR10
1247,22.24001112568508,-52.72040935857244,REX,0.19551855,0.42991808,0.56323874,1.4021412,LS_DR10
1277,22.2408196319197,-52.71847690396934,PSF,0.054093614,0.0907569,0.16443574,0.0,LS_DR10
1238,22.23952925491871,-52.71827881081886,REX,0.10655428,0.16486892,0.2619852,0.47024468,LS_DR10
1303,22.24157722602947,-52.71705252296201,REX,0.08059543,0.20818043,0.43519226,0.28534904,LS_DR10
1305,22.24161799280353,-52.71631396101159,REX,0.022275914,0.18120904,0.5848833,0.44552538,LS_DR10
1501,22.24848875272115,-52.7182351682126,PSF,0.081003524,0.13141985,0.22115521,0.0,LS_DR10
1413,22.2454532887533,-52.71712396007796,PSF,0.86718667,1.0587943,1.0838693,0.0,LS_DR10
