objid,ra,dec,type,flux_g,flux_r,flux_z,shape_r,source_catalog
7679,327.7490477689912,-2.401110829148451,REX,0.68119574,1.1148454,1.703905,0.29512173,LS_DR10
70,327.7500766038864,-2.401556734220013,REX,1.0787654,2.2849665,3.7465053,0.46364272,LS_DR10
120,327.7518400753974,-2.400282580765822,REX,0.34622133,0.69394815,1.4319032,0.30021277,LS_DR10
7343,327.7370780370231,-2.397393932759425,REX,0.199337,0.37349668,0.46399394,0.43169996,LS_DR10
7316,327.7362077490111,-2.396348448955811,REX,0.13590308,0.26319277,0.6448795,0.40138528,LS_DR10
7504,327.7431046329945,-2.399044427800818,DEV,0.4469737,2.773846,9.534611,0.6550792,LS_DR10
7503,327.7429597456657,-2.397527287279053,REX,0.4566844,0.5479386,0.7890643,0.4566217,LS_DR10
7412,327.7395997346333,-2.39684928857439,REX,0.22882992,0.38424984,0.65288204,0.38913748,LS_DR10
7439,327.7406239037053,-2.396699351641615,REX,0.2472111,0.5045231,0.9410046,0.5221505,LS_DR10
7278,327.7352400251128,-2.392866314618791,REX,0.16650094,0.2409481,0.58366674,0.3862329,LS_DR10
7314,327.7361307807539,-2.391732572612817,REX,0.19432382,0.24593979,0.2040445,0.28296188,LS_DR10
7349,327.7372786856176,-2.39368670792381,PSF,56.932407,90.81975,108.47507,0.0,LS_DR10
7300,327.7357688408754,-2.390278710654689,EXP,0.35666335,0.5039179,0.30214944,1.7459548,LS_DR10
7456,327.7409773553651,-2.392399896627181,REX,0.14401454,0.14806378,0.21567918,0.28913698,LS_DR10
7519,327.7434812352045,-2.392213403273634,EXP,0.9674867,2.1442091,3.688799,1.1251111,LS_DR10
7502,327.7429231331479,-2.391105559016592,REX,0.27980325,0.31193325,0.49490738,0.4165354,LS_DR10
7408,327.7394079995971,-2.390638987265211,PSF,0.58098555,2.1283727,6.7866306,0.0,LS_DR10
7491,327.7425707114438,-2.389256307964042,REX,0.06264241,0.34854865,1.0292351,0.25225368,LS_DR10
7543,327.7442285974307,-2.397692351881088,REX,0.5901484,0.7383781,1.5158298,0.2932403,LS_DR10
7555,327.7447763815468,-2.396822494887465,REX,0.31114286,0.5223062,1.5177236,0.60569465,LS_DR10
7582,327.7456784483013,-2.396750118201626,REX,0.32191885,0.42284483,0.47805116,0.7275554,LS_DR10
7557,327.7448073382603,-2.395175492325574,REX,0.40802282,0.8474509,1.321778,0.30578786,LS_DR10
7602,327.7464231399418,-2.395581759635288,PSF,0.13623768,0.34873042,2.1568232,0.0,LS_DR10
7614,327.7467891704202,-2.394515004212221,PSF,0.11880584,0.44179663,1.3608683,0.0,LS_DR10
7678,327.7490465487944,-2.399029347044671,PSF,1.8910637,3.6840198,5.55927,0.0,LS_DR10
142,327.7526217196025,-2.399231531073308,SER,0.61856776,2.22112,5.6201925,1.0937704,LS_DR10
173,327.7535537275216,-2.399167721164194,DEV,0.19244614,0.81673205,1.5056436,0.69626224,LS_DR10
147,327.7527962585095,-2.398568539540291,REX,0.19595921,0.36221397,0.23684178,0.39089838,LS_DR10
165,327.7532751213113,-2.398281901699103,REX,0.43358916,0.74186665,2.063399,1.5709423,LS_DR10
7690,327.749388368168,-2.395315515498077,REX,0.092777506,0.415883,2.0378215,0.8097081,LS_DR10
145,327.7527226196577,-2.396702195622541,REX,0.14682154,0.24050467,0.68804556,0.5306646,LS_DR10
7597,327.746193457675,-2.391950893085181,REX,0.11452291,0.28080156,0.42943653,0.40272483,LS_DR10
7625,327.7471826988656,-2.389091829997667,PSF,0.19231741,0.17066921,0.17213176,0.0,LS_DR10
7713,327.7499737637388,-2.393611495756744,REX,0.18829271,0.2724831,0.29238063,0.5691952,LS_DR10
7700,327.7496643175265,-2.389661581391199,REX,0.057316,0.23029661,0.23564395,0.311842,LS_DR10
7670,327.7488398416586,-2.388621204453711,PSF,0.024562657,0.037797514,0.46835864,0.0,LS_DR10
7468,327.7416332075751,-2.387718066457152,PSF,0.076313436,0.2440864,1.168142,0.0,LS_DR10
7467,327.7416199356266,-2.386897671347793,REX,0.21944894,0.3856554,0.9205432,0.18869731,LS_DR10
7528,327.7438061546202,-2.387258344569692,PSF,0.095843196,0.22891599,0.2208102,0.0,LS_DR10
7521,327.743607992219,-2.385655219093719,EXP,0.59380865,2.0664208,5.713514,1.0180843,LS_DR10
7480,327.7421024834432,-2.383152432450496,REX,0.09564021,0.25519186,0.46141905,0.30234486,LS_DR10
7274,327.7350376260096,-2.377492251233034,REX,0.15157898,0.29251516,0.4783133,0.36684775,LS_DR10
7290,327.7355709032996,-2.377040854744667,REX,0.042918004,0.15937655,0.8938528,0.1950919,LS_DR10
7445,327.7407662522953,-2.38047502750023,PSF,695.49585,1085.0491,1231.143,0.0,LS_DR10
7398,327.7390514338588,-2.378914961722845,REX,1.1634502,2.422501,3.8012283,0.57647645,LS_DR10
7474,327.741859929797,-2.377309859895339,PSF,266.863,463.2102,561.7875,0.0,LS_DR10
134,327.7523783410622,-2.386032066577942,PSF,0.23968358,0.3097371,0.9077051,0.0,LS_DR10
7587,327.7457974922173,-2.381844739210275,REX,0.48567307,1.2018116,1.994762,0.39481968,LS_DR10
7571,327.7454145445276,-2.377607129487108,PSF,-0.008306193,-0.03783064,1.1556296,0.0,LS_DR10
7619,327.7469571322244,-2.378689876913892,REX,0.18116665,0.36197272,0.55003345,0.44914111,LS_DR10
7680,327.7490640448071,-2.379907957411658,PSF,0.03964524,0.26474655,0.5791066,0.0,LS_DR10
168,327.7534033178874,-2.382091053658315,PSF,0.026401732,0.08049756,0.46160105,0.0,LS_DR10
7272,327.73797068695,-2.371119990320547,PSF,0.0025785114,0.14692141,1.1407982,0.0,LS_DR10
7309,327.739095573406,-2.373645138861639,PSF,0.5375442,2.0542998,9.63202,0.0,LS_DR10
7475,327.7418705293361,-2.375739893259027,EXP,0.44185054,1.2454975,2.0663648,0.83798116,LS_DR10
7336,327.7400680897618,-2.370490879395887,PSF,-0.006475507,0.16278365,0.10517913,0.0,LS_DR10
7385,327.7420042048099,-2.372747425577427,PSF,0.22491315,0.6682969,1.1310966,0.0,LS_DR10
7476,327.7451758060984,-2.37438842885047,PSF,0.080221385,0.38389054,2.0486102,0.0,LS_DR10
7447,327.7443070689741,-2.371258303462572,REX,0.09142377,0.3826643,0.491857,0.32325932,LS_DR10
158,327.7532038076318,-2.376493494556712,REX,0.83263266,4.053344,9.52956,0.32641718,LS_DR10
151,327.7529502543932,-2.376398952409936,PSF,0.024260592,0.17662835,0.32229716,0.0,LS_DR10
84,327.7508220203537,-2.372988494648852,PSF,0.008242475,0.07153924,0.42393005,0.0,LS_DR10
101,327.7513786656889,-2.372685018671199,PSF,0.16491702,0.20168109,0.196918,0.0,LS_DR10
113,327.7517017299046,-2.369457736282657,PSF,2.0109794,7.4152684,27.03914,0.0,LS_DR10
317,327.7585913686659,-2.402517511130248,PSF,0.10696578,0.20817024,0.24404375,0.0,LS_DR10
422,327.7624507535656,-2.401010653088501,REX,0.09568639,0.10376431,0.18940242,0.23503731,LS_DR10
556,327.7670555026164,-2.401911037463127,PSF,2.6466274,3.6109006,3.8729339,0.0,LS_DR10
242,327.7561094473818,-2.398657238525326,PSF,0.15684128,0.18405926,0.7460551,0.0,LS_DR10
283,327.757558816832,-2.399874051854062,REX,0.077605605,0.24088344,0.28426012,0.36545914,LS_DR10
286,327.7576821078639,-2.399127199373877,REX,0.19097903,0.24879558,0.5267904,0.2995742,LS_DR10
308,327.7583756934177,-2.396138994802524,REX,0.1996498,0.47642335,0.44741708,1.0859381,LS_DR10
395,327.7615587709199,-2.399575861038531,REX,0.12881473,0.23545925,0.3175376,0.12908351,LS_DR10
402,327.7618143526696,-2.395672667331841,REX,0.33357966,0.43265122,0.4952062,0.38979885,LS_DR10
321,327.7588152760777,-2.39273385403766,REX,0.055610187,0.15761325,0.33304852,0.2521187,LS_DR10
240,327.7559852326098,-2.390851584556577,PSF,15.881873,49.315792,93.73819,0.0,LS_DR10
215,327.7551359576636,-2.389944156437728,PSF,0.10785846,0.12417515,0.09379638,0.0,LS_DR10
189,327.7543991863942,-2.388878827847418,PSF,0.002304628,0.16985703,0.5215056,0.0,LS_DR10
257,327.7565102633458,-2.390569196273603,PSF,0.2235827,1.1565933,5.9966693,0.0,LS_DR10
300,327.7580816046883,-2.390714618982024,PSF,0.13135311,0.06029691,0.20304301,0.0,LS_DR10
280,327.7573592833552,-2.388834192366482,REX,0.2111537,0.34134793,0.37775278,0.50165975,LS_DR10
343,327.7597002610047,-2.392212680843087,PSF,10.610309,40.99817,132.90042,0.0,LS_DR10
449,327.7632130927212,-2.390085830343986,PSF,0.12027553,0.23875973,0.46714923,0.0,LS_DR10
430,327.7626720240791,-2.389294206803649,PSF,0.08100001,0.12338823,0.5179749,0.0,LS_DR10
527,327.765969872458,-2.396118709248888,PSF,0.08554608,0.11912059,0.52871394,0.0,LS_DR10
476,327.7643947286126,-2.391897236347143,REX,0.28743184,0.6433624,1.3402872,0.20835687,LS_DR10
541,327.7665261940553,-2.393955297962703,PSF,0.13900346,0.18905541,0.061250575,0.0,LS_DR10
566,327.767389720851,-2.393502791223635,PSF,0.09475922,0.24788927,0.37041554,0.0,LS_DR10
482,327.7645773170663,-2.389972841309953,PSF,0.14888503,0.37276638,0.51305544,0.0,LS_DR10
545,327.7666780279132,-2.390750552687963,PSF,0.035141245,0.25590953,1.1398011,0.0,LS_DR10
241,327.7560743375698,-2.387391012157246,PSF,-0.023684423,0.10010094,3.508069,0.0,LS_DR10
220,327.7552640807928,-2.385806577185588,PSF,67.144516,138.6187,196.61716,0.0,LS_DR10
281,327.7573987798082,-2.387611215862605,PSF,6.2254786,6.0247984,5.044422,0.0,LS_DR10
180,327.7539047753164,-2.383436928062019,REX,0.42881003,0.64242154,1.1800475,0.83462304,LS_DR10
237,327.7559307524523,-2.383657027523736,REX,0.16571659,0.63297486,1.3330301,0.24649456,LS_DR10
255,327.7564494837141,-2.384167303101877,PSF,0.08136238,0.14037974,0.12311276,0.0,LS_DR10
315,327.7585610938348,-2.384250947590512,REX,0.1128513,0.21175396,0.046662465,0.2724675,LS_DR10
351,327.7598784546159,-2.387055284935627,REX,0.29616606,0.43466902,0.8580845,0.49060214,LS_DR10
359,327.7603406109092,-2.38347065225723,EXP,0.2477596,0.47322077,2.308523,0.78956413,LS_DR10
367,327.7606356835846,-2.383669830787576,REX,0.018358579,0.30961737,1.7905115,0.20368694,LS_DR10
368,327.7606561473271,-2.382783369388076,PSF,2.294772,9.026051,57.483097,0.0,LS_DR10
296,327.7578999116826,-2.379256727799496,PSF,1317.7979,2697.0154,3522.2593,0.0,LS_DR10
352,327.7600358502708,-2.37859820398387,PSF,-0.0003463916,0.17693669,0.9348606,0.0,LS_DR10
411,327.7622054200908,-2.378728052366979,PSF,0.33970436,0.8553552,1.3435186,0.0,LS_DR10
431,327.762674476324,-2.378811452782206,PSF,0.085423246,0.19898564,0.3368516,0.0,LS_DR10
493,327.764829509727,-2.38756511192347,EXP,0.5832466,1.2385902,2.5035434,0.94338924,LS_DR10
498,327.7650050989158,-2.380619135973236,REX,0.11482488,0.27237797,0.39821744,0.22284722,LS_DR10
508,327.7654985967349,-2.378727614097259,PSF,56.569973,185.77025,356.72314,0.0,LS_DR10
489,327.7647249195566,-2.377381613137918,PSF,0.60042405,1.0755615,1.5476719,0.0,LS_DR10
548,327.7667728230862,-2.377417390034493,PSF,0.07763163,0.15596682,0.22049901,0.0,LS_DR10
223,327.7553885215489,-2.37442595092216,REX,0.11103756,0.16157669,0.24919686,0.26099628,LS_DR10
370,327.7607842505458,-2.375294154172371,PSF,0.021073079,0.13385904,0.3956206,0.0,LS_DR10
457,327.7625260897725,-2.372747990068798,PSF,0.16327584,0.25201178,0.13867778,0.0,LS_DR10
279,327.7571618435907,-2.369944343639142,EXP,0.18185994,0.38080972,0.95685184,0.4364562,LS_DR10
453,327.7623824739435,-2.370815784673349,REX,0.7946892,1.2866127,2.904915,0.30881238,LS_DR10
487,327.764708068671,-2.375533702638253,EXP,0.5584964,0.9713224,1.2939005,0.43816045,LS_DR10
632,327.7674447728514,-2.369776027717649,REX,0.21593715,0.28413805,0.787249,0.62247455,LS_DR10
