variant,label,mag_cut,mag_sql,n_sql,n_strict,median_cosi,top_truncated,top_n,q0,frac_v2_with_fracDev0
v1_fracDev0_and_lnL,V1: fracDeV=0 AND lnLExp wins (historical),model,p.r BETWEEN 12 AND 21,9120,8445,0.5458,False,,0.2,
v2_lnL_exp,V2: lnLExp wins only,model,p.r BETWEEN 12 AND 21,17657,16551,0.5484,False,,0.2,0.5165
