frb_name,q_psf,inclination_angle_psf,n_psf,Re_psf,chi2_nu_psf,q_nopsf,inclination_angle_nopsf,n_nopsf,Re_nopsf,chi2_nu_nopsf,delta_q,delta_inclination_angle,delta_n,delta_Re,delta_chi2_nu
20171020A,0.3918840185028071,66.92822056594513,0.5591154881854311,11.703323600118384,7985.50099097937,0.3993248817781045,66.46401963821648,0.5562053840360419,11.743434165881805,7979.72799416652,-0.007440863275297416,0.4642009277286405,0.002910104149389192,-0.040110565763420425,5.772996812849669
20180924B,0.6551203363846526,49.07122487380214,5.47576741251372,0.9847351948622164,0.0002287925770783,0.8344359279614775,33.44285123350842,0.949587533328543,1.1209381144348236,0.0002608805154809,-0.17931559157682486,15.628373640293717,4.526179879185177,-0.13620291957260722,-3.208793840259999e-05
20190102C,0.4053497859399413,66.08695161758351,0.4018568174804847,1.0225131519228925,0.0003356665784846,0.7121530140578148,44.58963843926286,0.5479778328992584,1.348847560088534,0.0003358383869761,-0.3068032281178735,21.497313178320645,-0.1461210154187737,-0.3263344081656414,-1.7180849150002153e-07
20190608B,0.6957938529180691,45.9094891716795,3.183915074303697,1.9146898264926944,0.0001787897787755,0.8077386508740229,36.12442375299975,1.1280533262259729,1.8673400160026747,0.0002299932084901,-0.1119447979559538,9.78506541867975,2.055861748077724,0.04734981049001963,-5.1203429714599994e-05
20190714A,0.3720375577016386,68.15866625879674,0.4739762477295149,1.0373298646147455,0.0005658810392996,0.5939197809918788,53.56433601167971,0.5489402804172472,1.2216542930955792,0.0005743396077586,-0.2218822232902402,14.594330247117036,-0.07496403268773227,-0.18432442848083364,-8.458568458999957e-06
20191001A,0.5321611157852845,57.84841066356888,0.5113874350184296,1.5652504077495046,0.0036271731224555,0.6269328523872003,51.175805280547934,0.5745848200808045,1.74185649042906,0.0037063139708854,-0.09477173660191585,6.672605383020944,-0.06319738506237482,-0.17660608267955547,-7.91408484298998e-05
20200906A,0.3220748542290416,71.2115502217082,0.6800416012203827,1.5660975201961342,0.0001352679209358,0.4876967249778426,60.81069391321618,0.6128193631806991,1.7418177118661604,0.0001345731731288,-0.16562187074880103,10.400856308492017,0.06722223803968363,-0.17572019167002617,6.947478070000023e-07
20210320C,0.6771340949473509,47.37990499615114,1.2017637747665844,0.9584837290218772,0.0002821070092614,0.827717748001012,34.134995637234375,0.7377368867622283,1.1657756622473436,0.0002833651202832,-0.15058365305366117,13.244909358916765,0.4640268880043561,-0.20729193322546646,-1.2581110218000098e-06
20210410D,0.4062819613363062,66.02851358929523,7.999054048503798,2.483141600204613,0.0011684906262153,0.7569101512558439,40.807444358864494,0.9093725529019764,1.5097781449366183,0.0012260918125126,-0.35062818991953776,25.221069230430736,7.089681495601822,0.9733634552679946,-5.7601186297300076e-05
20210807D,0.6835498226496056,46.878334624298645,2.502991180318054,8.03073695424466,45072.51877557063,0.7363502595358797,42.57856525676619,1.4947490306281064,5.461765917555858,41243.99446217674,-0.052800436886274116,4.2997693675324555,1.0082421496899476,2.5689710366888017,3828.5243133938857
20211127I,0.9999919634105682,0.2297067789898828,1.7977728819558343,8.535165737612434,65455.67837386873,0.9999959596377314,0.1628725627204732,1.4896553200316132,7.867470264363876,60729.87537419281,-3.9962271631832635e-06,0.06683421626940958,0.30811756192422113,0.6676954732485587,4725.8029996759215
