comparison,N,pearson_r,spearman_rho,mean_abs_diff,median_abs_diff
q vs b_a_psf,23,0.9564990990771961,0.9705812310894368,0.028864028802804968,0.01565695217178309
inclination vs inc_psf,23,0.9127974696706348,0.9705812310894368,4.168342824204305,2.5365621179936824
n vs n_psf,23,0.16454610369281453,0.22498852128662877,1.7630233492761644,0.6040837148178584
Re vs re_psf,23,0.09988312973620936,0.6274703557312253,8.287042593633327,4.191152812666537
