frb_name,fit_mode,q,inclination_angle,error_q,error_i,n,PA,Re,chi2,ndf,chi2_nu,fit_message
20171020A,no_psf,0.39932488177810455,66.46401963821648,0.03,1.0024005215907152,0.5562053840360419,2.253604912397614,11.743434165881805,170040023.8276944,21309,7979.72799416652,success
20180924B,no_psf,0.8344359279614775,33.44285123350842,0.03,1.0106107745620077,0.949587533328543,2.7723761662345145,1.1209381144348236,0.8457746311893459,3242,0.0002608805154809827,success
20190102C,no_psf,0.7121530140578148,44.58963843926286,0.03,1.007695353707197,0.5479778328992584,0.05035776043358098,1.3488475600885341,0.7395161281215609,2202,0.00033583838697618567,success
20190608B,no_psf,0.8077386508740229,36.12442375299975,0.03,1.0099326772056154,1.1280533262259727,2.6262141372316985,1.8673400160026747,1.469426609043299,6389,0.00022999320849010783,success
20190714A,no_psf,0.5939197809918788,53.56433601167971,0.03,1.0053334781556003,0.5489402804172472,2.3273998042531505,1.2216542930955792,0.6995456422500808,1218,0.000574339607758687,success
20191001A,no_psf,0.6269328523872003,51.175805280547934,0.03,1.0059483281048205,0.5745848200808045,2.412756983264142,1.7418564904290599,6.508287332874823,1756,0.0037063139708854347,success
20200906A,no_psf,0.48769672497784267,60.81069391321618,0.03,1.0035869286316323,0.6128193631806991,0.5756125424437212,1.7418177118661604,0.881992576686753,6554,0.00013457317312889122,success
20210320C,no_psf,0.827717748001012,34.134995637234375,0.03,1.0104379305206352,0.7377368867622283,2.7407661790582587,1.1657756622473436,0.7350491220146746,2594,0.00028336512028322077,fail. Could not find step to improve Chi^2
20210410D,no_psf,0.7569101512558439,40.807444358864494,0.03,1.0087060829193797,0.9093725529019763,0.9031172054079614,1.5097781449366185,0.9416385120096943,768,0.0012260918125126228,success
20210807D,no_psf,0.7363502595358797,42.57856525676619,0.03,1.0082337628102767,1.4947490306281064,1.6498898195078602,5.461765917555858,165759613.74348834,4019,41243.99446217674,success
20211127I,no_psf,0.9999959596377314,0.16287256272047324,0.03,1.0153460382565898,1.4896553200316132,3.0481064141731444,7.8674702643638765,718130776.29983,11825,60729.87537419281,fail. Maximum iterations
20211203C,no_psf,0.7130645746513627,44.51519224899051,0.03,1.0077152952444743,0.9689844855596725,2.896899869403067,1.130893740135956,0.7565660510354156,2109,0.0003587321247204436,success
20211212A,no_psf,0.8459332088549805,32.22794023890008,0.03,1.0109100256473043,0.9193360070150635,2.1961276573113677,3.3423861482443398,13.4325614294812,4218,0.003184580708743765,success
20220207C,no_psf,0.26337981485958856,74.72929666408865,0.03,1.001042160790969,0.5350606754525187,0.7650061005271634,6.309295505942897,127640679.64743696,7364,17333.063504540598,success
20220307B,no_psf,0.7387779111752031,42.37258384977043,0.03,1.0082888216006973,0.579494908414327,1.426543017451329,1.6693158905751653,116390891.26110661,1826,63740.90430509672,success
20220310F,no_psf,0.8101132150289077,35.893005694571315,0.03,1.0099920420706912,0.8145682442782544,2.085691311671708,1.537488702509338,0.7553716817909686,10194,7.409963525514701e-05,success
20220319D,no_psf,0.8682032915950266,29.749483045617268,0.03,1.0115021015877008,3.9851012432224624,1.1716558434458282,23.06847310515149,232284666.641348,21163,10975.980089843028,success
20220509G,no_psf,0.6666116542852406,48.19391378592445,0.03,1.0067329602441106,1.9583975895187788,2.084299663538004,3.0743294614749836,137.41738204348528,8342,0.016472953973086225,success
20220825A,no_psf,0.7266481038642991,43.393876132823266,0.03,1.0080156173992318,0.7078687643667474,0.7738838108832697,1.7880736188375392,258228280.88927925,6554,39400.10388911798,success
20220912A,no_psf,0.7387145018585068,42.3779743157071,0.03,1.0082873810666801,0.6548974620625347,0.6372399901283091,1.4813943482591918,298576165.9789371,1920,155508.4197806964,success
20220914A,no_psf,0.7952307001564044,37.32294871300338,0.03,1.0096230207507804,0.77649463560655,2.119371804141124,1.6990189622691532,1.143827198281236,1362,0.0008398143893401145,success
20220920A,no_psf,0.8993207432987024,25.931074879456187,0.03,1.0123569936563046,0.7923896191695855,0.7428516928043356,2.135098211763842,1.206403974416372,4349,0.0002773980166512697,success
20221012A,no_psf,0.715891999157171,44.283650502267264,0.03,1.007777318556332,0.7901840580228495,0.15398501709004542,1.7499846610190513,0.7570940747410718,6554,0.00011551633731172899,success
