comparison,N,pearson_r,spearman_rho,mean_abs_diff,median_abs_diff
q vs b_a_psf,23,0.965394712406358,0.976020045935073,0.02567379228111202,0.01457871305797187
inclination vs inc_psf,23,0.962642224962215,0.976020045935073,2.9105254736821045,1.3846096463729793
Re vs re_psf,23,0.9842425244229212,0.9822134387351777,6.384594639969113,4.146257371222098
