frb_name,fit_mode,q,inclination_angle,error_q,error_i,n,PA,Re,chi2,ndf,chi2_nu,fit_message
20171020A,with_psf,0.39188401850280713,66.92822056594513,0.03,1.0023115867770735,0.5591154881854311,2.2543385863401855,11.703323600118384,170163040.6167794,21309,7985.50099097937,success
20180924B,with_psf,0.6551203363846526,49.07122487380214,0.03,1.0065005811932919,5.47576741251372,2.7302602500715882,0.9847351948622164,0.741745534888099,3242,0.00022879257707837723,success
20190102C,with_psf,0.40534978593994136,66.08695161758351,0.03,1.002473775901711,0.4018568174804847,0.066065818964963,1.0225131519228925,0.7391378058231435,2202,0.00033566657848462466,success
20190608B,with_psf,0.6957938529180691,45.9094891716795,0.03,1.0073420096012002,3.1839150743036972,2.630139013013514,1.9146898264926944,1.1422878965968097,6389,0.00017878977877552196,success
20190714A,with_psf,0.3720375577016386,68.15866625879674,0.03,1.0020826674001215,0.47397624772951497,2.3239660642128817,1.0373298646147455,0.6892431058669453,1218,0.0005658810392996267,success
20191001A,with_psf,0.5321611157852845,57.84841066356888,0.03,1.0042751922537243,0.5113874350184296,2.4135843025550145,1.5652504077495046,6.369316003031958,1756,0.003627173122455557,success
20200906A,with_psf,0.32207485422904164,71.2115502217082,0.03,1.0015596242449956,0.6800416012203827,0.5721723252838721,1.5660975201961342,0.886545953813453,6554,0.00013526792093583354,success
20210320C,with_psf,0.6771340949473509,47.37990499615114,0.03,1.0069494352552595,1.2017637747665844,2.720416232021472,0.9584837290218771,0.7317855820242062,2594,0.0002821070092614519,success
20210410D,with_psf,0.4062819613363062,66.02851358929523,0.03,1.002485209275785,7.999054048503798,0.9287007770804657,2.483141600204613,0.8974008009334041,768,0.00116849062621537,success
20210807D,with_psf,0.6835498226496056,46.878334624298645,0.03,1.0070831575825607,2.502991180318054,1.6365046639056977,8.03073695424466,181146452.95901835,4019,45072.51877557063,success by immobility. Convergence not guaranteed
20211127I,with_psf,0.9999919634105682,0.22970677898988287,0.03,1.0153459127660593,1.7977728819558343,2.5057170003256743,8.535165737612434,774013396.7709978,11825,65455.67837386873,fail. Maximum iterations
20211203C,with_psf,0.4372963228661639,64.06849727209922,0.03,1.002880822169365,2.1301790250169437,2.885216716594543,0.7351302128187891,0.7602062892012788,2109,0.0003604581741115594,success
20211212A,with_psf,0.8266791292063991,34.2408996910663,0.03,1.0104113417095935,1.023940029405286,2.1838285438237444,3.218936437777457,15.048064697481465,4218,0.003567582905993709,success
20220207C,with_psf,0.224483079622153,77.02751674347755,0.03,1.0007567479307853,0.5433431284297461,0.7651494513662528,6.224184677395404,127668301.95784754,7364,17336.81449726338,success
20220307B,with_psf,0.6361331466827412,50.49592140582726,0.03,1.0061258128240975,0.5792171147389131,1.4074445640082995,1.4149752731219671,116400052.482183,1826,63745.92140316703,success
20220310F,with_psf,0.6729997063176842,47.700992105765096,0.03,1.0068639586917758,1.950021618186904,2.0659683915754106,1.2313583983222571,0.7553442975118637,10194,7.409694894171706e-05,success
20220319D,with_psf,0.8332629124923487,33.56460831969208,0.03,1.0105804883558152,7.9999998244106205,1.0888791552730432,56.55648766871681,232449385.98135898,21163,10983.763454205877,success
20220509G,with_psf,0.4001248350275049,66.41401725045166,0.03,1.0024101838157948,7.999955178692079,2.079254931715167,5.8408800155779135,120.61860061496688,8342,0.014459194511504061,success
20220825A,with_psf,0.6143430478282169,52.095799528349936,0.03,1.0057097936623627,1.6040837148178584,0.7727953515576913,1.8473730578503555,258147011.77615803,6554,39387.703963405256,success
20220912A,with_psf,0.620031459698975,51.68156813610314,0.03,1.005816949708471,0.6517959485598708,0.6383000888329402,1.2288471873334619,299312810.58993834,1920,155892.0888489262,success
20220914A,with_psf,0.47397773966624074,61.70718839104671,0.03,1.0033869532652253,4.18848432323753,2.0374199012263716,1.6116349091964561,0.9218031880912627,1362,0.0006768011659994586,success
20220920A,with_psf,0.8589219552566679,30.804245274851155,0.03,1.0112533500674648,1.2271012007402786,0.8259804924044101,1.9224681720743897,1.0927164279313502,4349,0.00025125693905066686,success
20221012A,with_psf,0.5176188911101087,58.82733347479547,0.03,1.0040433309947696,2.0870105514745068,0.18021403139098258,1.4372520866416705,0.7041572029458222,6554,0.00010743930469115383,success
