frb_name,sigma_scale,chi2_nu_old,chi2_nu_new,chi2_nu_ratio_new_over_old,q,inclination_angle,n,PA,Re,chi2,ndf,fit_message,sigma_median_original,sigma_median_scaled,scaled_sigma_path,sigma_from_inv_med_large,ratio_sig_to_invmed,edge_ratio
20220912A,394.8317221917791,155892.0888489262,1.0000000000000238,6.414693698595032e-06,0.6200314600215249,51.68156811254809,0.6517959496003667,0.6383000888570081,1.2288471871113835,1920.0000000000457,1920,success,0.0080703133717179,3.186415727182734,cropped_host_galaxies_sigma_scaled_highchi2\20220912A_sigma_scaled.fits,0.0081173006151765,0.994211469343548,17242.508244705554
20211127I,255.8430737265888,65455.67837386873,0.8622973429634873,1.317375916629006e-05,0.9999110010619986,0.7644221512570928,2.259727665810896,1.8971845920524704,11.905272426391203,10196.666080543237,11825,fail. Maximum iterations,0.0087953684851527,2.2502341077994434,cropped_host_galaxies_sigma_scaled_highchi2\20211127I_sigma_scaled.fits,0.0094232132019796,0.9333725446544008,19372.913582041463
20220307B,252.47954650459712,63745.92140316703,0.999999999154812,1.5687278137062583e-05,0.6361258052304763,50.49646656376399,0.5791603945113228,1.4074447043508256,1.4149695653097485,1825.9999984566864,1826,success,0.0102574462071061,2.5897953666654514,cropped_host_galaxies_sigma_scaled_highchi2\20220307B_sigma_scaled.fits,0.0102785260590875,0.9979491366894176,10440.032170351167
20210807D,212.30289394064,45072.51877557063,1.0000000000002411,2.218646809998652e-05,0.683549822639612,46.87833462508313,2.5029911807571263,1.6365046640135366,8.030736954498341,4019.000000000969,4019,success by immobility. Convergence not guaranteed,0.0101810321211814,2.1614625826294427,cropped_host_galaxies_sigma_scaled_highchi2\20210807D_sigma_scaled.fits,0.0110264669003597,0.9233267748574422,11754.96749840044
20220825A,198.4633567271431,39387.703963405256,0.9999999999964182,2.5388633999217337e-05,0.614343048898241,52.09579945065054,1.6040836548527486,0.7727953535244789,1.847373023366396,6553.999999976525,6554,success,0.0091985035687685,1.8255658951244016,cropped_host_galaxies_sigma_scaled_highchi2\20220825A_sigma_scaled.fits,0.0101300843245019,0.9080382032477048,13512.583343774431
20220207C,131.6693377262276,17336.81449726338,0.9999999999999932,5.768072330460958e-05,0.2244830796315937,77.02751674292247,0.5433431281408593,0.7651494513475829,6.224184676935328,7363.99999999995,7364,success,0.0108735878020524,1.431718104604239,cropped_host_galaxies_sigma_scaled_highchi2\20220207C_sigma_scaled.fits,0.0090491998439509,1.201607654771939,10514.04644388598
20220319D,104.80345153765631,10983.763454205877,1.000000337518938,9.104350632533152e-05,0.8332538465577076,33.565547829607475,7.999992740206214,1.0888814871969406,56.56779303107712,21163.007142913284,21163,success,0.0112659931182861,1.1807149637958705,cropped_host_galaxies_sigma_scaled_highchi2\20220319D_sigma_scaled.fits,0.0116535352998108,0.966744668329872,8030.34772318066
20171020A,89.36163041809034,7985.50099097937,1.0000000000000002,0.0001252269583498,0.391884018502732,66.9282205659498,0.559115488185504,2.254338586340205,11.70332360012002,21309.000000000004,21309,success,0.0119844106957316,1.07094647937058,cropped_host_galaxies_sigma_scaled_highchi2\20171020A_sigma_scaled.fits,0.0129224707795055,0.9274086125029872,9259.950613068077
