FRB,status,q0,b_a_photutils,b_a_err_photutils,inc_photutils,inc_err_photutils,pa_photutils,pa_err_photutils,n_isophotes,sma_rep_pix,half_light_flux_proxy,fit_strategy_index,bkg_median,bkg_std,source_flux,source_sigma
20171020A,ok,0.2,0.409056227237589,0.0185197211893044,68.6424322035524,1.3336936609575003,34.713415978276394,1.3089306197844734,36,36.37201059759695,2011311.8675422668,0,107.03144073486328,208.05893899347967,cropped_host_galaxies\20171020A_flux.fits,cropped_host_galaxies\20171020A_sigma.fits
20180924B,ok,0.2,0.8085299922920779,0.0086359101146471,36.91211758869337,0.8680243106134213,69.86809878342027,1.4412088690302995,27,4.740383628404549,3.359837260434233,0,0.0005466097791213,0.0019953109551401,cropped_host_galaxies\20180924B_flux.fits,cropped_host_galaxies\20180924B_sigma.fits
20190102C,ok,0.2,0.7175459911892743,0.0260440053661547,45.3060458876234,2.2330454568151232,94.16603814434022,3.107467355509115,24,5.627694330935504,1.0114767403355245,0,0.0002204474003519,0.0020770187598406,cropped_host_galaxies\20190102C_flux.fits,cropped_host_galaxies\20190102C_sigma.fits
20190608B,ok,0.2,0.7545768971976379,0.0047459647664904,42.04724737563201,0.4297731791307271,63.76172507576752,0.641798378583689,30,7.062991952400052,43.34181361766014,0,0.0024727206910029,0.0051377102973191,cropped_host_galaxies\20190608B_flux.fits,cropped_host_galaxies\20190608B_sigma.fits
20190714A,ok,0.2,0.5735100648364954,0.0129643747631437,56.72961020960309,0.9676075211013392,41.28097231179819,1.1489130886587078,35,4.973317016238418,4.2351837489459285,1,0.0012340757530182,0.0069481944748495,cropped_host_galaxies\20190714A_flux.fits,cropped_host_galaxies\20190714A_sigma.fits
20191001A,ok,0.2,0.5321793347989292,0.0172233537245914,59.77893566891178,1.2580794585837332,44.90018643815564,1.4034880967002703,23,7.5415255715228815,20.54603939970548,0,0.0013108325656503,0.0030249999046142,cropped_host_galaxies\20191001A_flux.fits,cropped_host_galaxies\20191001A_sigma.fits
20200906A,ok,0.2,0.559000944273628,0.0132763541725463,57.80772930038463,0.9825668080519528,3536.8278754308617,1.1386610452255417,25,6.845961457977921,4.838387507639254,2,0.0002784325770335,0.002498546047184,cropped_host_galaxies\20200906A_flux.fits,cropped_host_galaxies\20200906A_sigma.fits
20210320C,ok,0.2,0.8499505609499999,0.031688525423535,32.52902179138648,3.564761504372692,1674.4430392266524,6.615889891151587,21,4.274054414530942,6.104023688589223,2,0.0013271883362904,0.0083361753746062,cropped_host_galaxies\20210320C_flux.fits,cropped_host_galaxies\20210320C_sigma.fits
20210410D,ok,0.2,0.9069369619708072,0.0435213756137087,25.46458882631602,6.246553342033751,151.30390597754706,14.483445795866883,29,4.196899922084834,0.9574148678266284,1,0.0017895582132041,0.002796699665692,cropped_host_galaxies\20210410D_flux.fits,cropped_host_galaxies\20210410D_sigma.fits
20210807D,ok,0.2,0.6658060392559576,0.025307986262047,49.59754216224409,2.03893841178332,18.563096092981866,2.593389460586965,27,13.263647637526567,300281.2131358385,0,163.08346557617188,215.8991003414492,cropped_host_galaxies\20210807D_flux.fits,cropped_host_galaxies\20210807D_sigma.fits
20211127I,ok,0.2,0.7527414837622128,0.0197784202069466,42.213195980295886,1.786905792658299,49.39464447509222,2.630786146668868,33,19.0940449078315,1633320.1508865356,0,411.3629150390625,359.98778349700234,cropped_host_galaxies\20211127I_flux.fits,cropped_host_galaxies\20211127I_sigma.fits
20211203C,ok,0.2,0.6360641686367945,0.0428036184787773,51.95694250051757,3.353883229338301,75.55196413088127,4.21649899458304,79,4.75402071005033,0.6928567097234009,59,0.0003371255879756,0.0043049313185122,cropped_host_galaxies\20211203C_flux.fits,cropped_host_galaxies\20211203C_sigma.fits
