FRB,inc_photutils,inc_galfit,delta_inc_phot_minus_galfit,chi2nu_psf,n_isophotes,fit_strategy_index,sma_rep_pix
20211127I,42.213195980295886,25.034111980900132,17.179083999395754,982681086.052,33,0,19.0940449078315
20211212A,43.06200953213276,34.69897927515612,8.363030256976643,14.855,28,0,12.920142770207084
20210807D,49.59754216224409,46.79166084923599,2.8058813130081006,217383562.096,27,0,13.263647637526567
20220319D,28.98341577174029,26.415550172000277,2.5678655997400135,266664770.73,31,2,18.145606692700444
