FRB,RA_deg,DEC_deg,galfit_inc_psf_deg,match_found,objid,ra_ls,dec_ls,type_ls,flux_r_ls,sersic_ls_fit,shape_e1,shape_e2,shape_e1_ivar,shape_e2_ivar,sep_arcsec,n_candidates,ellipticity_abs,q_ls_from_e,shape_e1_sigma,shape_e2_sigma,ls_inc_deg,ls_inc_err_deg,delta_deg_ls_minus_galfit,re_psf_arcsec,shape_r_ls_arcsec,sep_arcsec_reff,tractor_objid_reff,delta_reff_arcsec,tractor_objid,sersic_n_ls_fit,query_error,galfit_chi2nu_local,ls_chi2nu_local,chi2_superior_model,fit_region_found,fit_region_pixels,galfit_chi2nu_fitregion,legacy_chi2nu_fitregion,chi2nu_ratio_legacy_over_galfit_fitregion,chi2nu_ratio_assessment_fitregion,chi2nu_functionally_equivalent_fitregion,sersic_n_fit
20220207C,310.19767916805,72.8826580623927,84.63,False,,,,,,,,,,,,,,,,,,,,7.80498,,,,,,0.51,,,,,False,,,,,,False,0.51
20220307B,350.874524294566,72.1918502235676,51.65,False,,,,,,,,,,,,,,,,,,,,1.6506,,,,,,0.65,,,,,False,,,,,,False,0.63
20220310F,134.72115983246,73.491023493673,48.45,True,649.0,134.72115983246024,73.49102349367304,EXP,4.333199977874756,1.0,-0.1652330011129379,-0.1180749982595443,2568.904052734375,1958.982177734375,3.0336522137151727e-10,3.0,0.203085326576736,0.662392480249766,0.0197299533344769,0.022593564720457,49.871877685030114,2.315425420567556,1.4199999999999946,1.1266,0.9910320043563844,3.0336522137151727e-10,649.0,-0.1355679956436156,649.0,0.5,,0.7595555530680048,0.2285491624074417,LS_better,True,10000.0,0.7595555524960934,0.2183581805876216,0.2874815145120603,Legacy,False,1.87
20220319D,32.17791666666667,71.03525,34.7,False,,,,,,,,,,,,,,,,,,,,0.8488800000000001,,,,,,17.26,,,,,False,,,,,,False,6.0
20220509G,282.67480644498,70.2427258540453,71.48,True,3587.0,282.6748064449803,70.24272585404539,SER,233.32745361328125,2.466068983078003,-0.0615440011024475,-0.2939760088920593,778237.3125,1449673.75,4.6243784650104255e-10,5.0,0.3003490600548005,0.5380485605270589,0.0011335585980603,0.0008305482404708,59.34975965734881,0.0736158048284046,-12.130000000000003,2.91344,4.925990104675293,4.6243784650104255e-10,3587.0,2.012550104675293,3587.0,1.26,,167.8219425453453,6.196155285031486,LS_better,True,8160.0,167.82194117220325,4.457807084779507,0.0265627191155256,Legacy,False,0.5
20220825A,311.9815,72.585,52.43,False,,,,,,,,,,,,,,,,,,,,1.54318,,,,,,0.83,,,,,False,,,,,,False,0.75
20220912A,347.270174036462,48.7066182681479,51.65,False,,,,,,,,,,,,,,,,,,,,1.42004,,,,,,0.77,,,,,False,,,,,,False,0.78
20220914A,282.058506825248,73.3362822052,63.55,True,354.0,282.0585068252482,73.3362822052,SER,14.432353973388672,2.032114028930664,-0.1781419962644577,-0.295881986618042,10754.26953125,13989.7099609375,1.760407946803823e-10,7.0,0.3453704110634338,0.4865794457447009,0.0096429417106698,0.0084546502141747,63.08149375226626,0.7036264876358556,-0.46999999999999886,1.02704,1.0738459825515747,1.760407946803823e-10,354.0,0.0468059825515747,354.0,1.05,,0.9013137034902844,0.243297025541626,LS_better,True,1296.0,0.9013137022617608,0.1984298830029612,0.2201562924262887,Legacy,False,2.0
20220920A,240.25679384725,70.9180072111693,31.39,True,32.0,240.25679384725032,70.91800721116931,REX,61.22817611694336,1.0,0.0,0.0,0.0,0.0,3.714888848723488e-10,5.0,0.0,1.0,,,0.0,,-31.39,1.79994,1.6488510370254517,3.714888848723488e-10,32.0,-0.1510889629745484,32.0,1.01,,1.0852711770300054,,,False,,,,,,False,1.1
20221012A,280.801416813252,70.5241745429962,59.94,True,2258.0,280.8014168132527,70.52417454299625,SER,26.968950271606445,2.2670769691467285,0.2820889949798584,0.1090250015258789,69031.9765625,42324.39453125,8.32992317734874e-10,2.0,0.3024246220903061,0.5355975048983111,0.0038060531236523,0.0048607649767352,59.52912541944941,0.3445910633575009,-0.4099999999999966,1.30476,1.2647240161895752,8.32992317734874e-10,2258.0,-0.0400359838104247,2258.0,0.99,,0.7935871970075142,0.247279905906845,LS_better,True,6400.0,0.7935871958212267,0.2301005295440799,0.2899499018579367,Legacy,False,1.98
20200430A,229.7063770513408,12.37660650001851,90.0,True,2181.0,229.7063770513408,12.37660650001851,EXP,3.5041394233703613,1.0,0.3580222725868225,0.2336678355932235,84503.9375,84557.078125,0.0,2.0,0.4275284845002199,0.4010228319193247,0.0034400244332043,0.0034389433068052,69.22136827062823,0.2457942301038893,-20.78,0.393,0.156453463435173,0.0,2181.0,0.2365,2181.0,1.0,,0.667,,,,,,,,,,4.13
20220105A,208.8038033684155,22.46647856902548,90.0,True,3978.0,208.8038033684155,22.46647856902548,EXP,3.306699275970459,1.0,0.0878037810325622,-0.6386901140213013,1741.7860107421875,1041.625,0.0,4.0,0.6446972667168342,0.2160292598968232,0.0239608709946355,0.0309844864655856,85.21909868389285,3.153141799589246,-4.780000000000001,0.7074,0.2288953043222427,0.0,3978.0,0.4785,3978.0,1.0,,0.858,,,,,,,,,,2.99
20220725A,353.3153415320076,-35.99026830421361,56.99,True,5502.0,353.3153415320076,-35.99026830421361,SER,75.4870834350586,1.2096147537231443,-0.122836172580719,-0.1996582001447677,8473704.0,10990232.0,0.0,8.0,0.2344186899104427,0.6201958187664027,0.0003435289605757,0.0003016453048388,53.18962612786058,0.0319996480856762,-3.8000000000000043,1.593,0.4511177761554718,0.0,5502.0,1.1419,5502.0,1.2096147537231443,,24.373,,,,,,,,,,1.25
20221106A,56.70455120590707,-25.56983074908105,53.2,True,878.0,56.70455120590707,-25.56983074908105,SER,48.78855895996094,1.9520105123519895,0.1692631393671035,0.1477183997631073,1029155.3125,949833.5625,0.0,8.0,0.2246569295102661,0.6331104261172879,0.0009857335536931,0.0010260682382498,52.18767950337973,0.1052538839907594,-1.0100000000000051,2.8296,0.4584101431369781,0.0,878.0,2.3712,878.0,1.9520105123519895,,7.337,,,,,,,,,,4.88
20230708A,303.1155111011838,-55.3562621673756,90.0,True,9439.0,303.1155111011838,-55.3562621673756,REX,0.870361328125,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,,0.0,,-90.0,0.393,0.0643116140961647,0.0,9439.0,0.3287,9439.0,1.0,,0.928,,,,,,,,,,1.89
20230902A,52.13996109451779,-47.33343399750132,62.11,True,10482.0,52.13996109451779,-47.33343399750132,REX,2.529564142227173,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,,,0.0,,-62.11,0.4821,0.1079903262257576,0.0,10482.0,0.3741,10482.0,1.0,,0.773,,,,,,,,,,1.32
20231226A,155.3638555002169,6.109703529304178,41.55,True,5950.0,155.3638555002169,6.109703529304178,EXP,28.83970832824707,1.0,0.1224648430943489,-0.0617629438638687,211345.578125,119108.921875,0.0,8.0,0.1371579346186537,0.7587706501566122,0.0021752211490989,0.0028975294129235,41.66616787847675,0.3318436006059611,0.12000000000000455,2.0226,0.5282016906738282,0.0,5950.0,1.4944,5950.0,1.0,,1.451,,,,,,,,,,0.86
20240201A,149.9060285226441,14.08873891497873,90.0,True,750.0,149.9060285226441,14.08873891497873,SER,167.4417266845703,0.8582352995872498,-0.391972929239273,0.5774120688438416,6749613.0,8215585.5,0.0,2.0,0.697887866711366,0.1779340904731206,0.0003849112137393,0.0003488837487152,90.0,0.0,0.0,4.5745,1.2263026266098025,0.0,750.0,3.3482,750.0,0.8582352995872498,,2.023,,,,,,,,,,0.74
20240208A,159.2290009407401,-0.9533965604824464,90.0,True,11859.0,159.2290009407401,-0.9533965604824464,EXP,2.0637757778167725,1.0,-0.2641927897930145,0.2656303346157074,6076.4658203125,6248.0322265625,0.0,5.0,0.3746429031046346,0.4549233080700412,0.0128284584033301,0.0126511023577097,65.35295619929497,0.97184585294555,-24.650000000000006,0.4454,0.1732527614831924,0.0,11859.0,0.2721,11859.0,1.0,,0.806,,,,,,,,,,1.44
20240210A,8.776929807980265,-28.27199737790098,54.74,True,9347.0,8.776929807980265,-28.27199737790098,SER,1102.5736083984375,1.1013977527618408,-0.105343721807003,0.2307337373495102,87964504.0,149664464.0,0.0,3.0,0.2536441548221129,0.5953490408797798,0.000106621864038,8.174113291915809e-05,55.08832388634562,0.0083719833412093,0.3500000000000014,7.6923,1.968720829963684,0.0,9347.0,5.7236,9347.0,1.1013977527618408,,89.261,,,,,,,,,,1.16
20240304A,136.3305236573973,-16.16624241404662,48.45,True,620.0,136.3305236573973,-16.16624241404662,EXP,4.7769060134887695,1.0,0.1088062673807144,0.1265550106763839,6483.6396484375,7221.5029296875,0.0,2.0,0.166898096300177,0.7139457218597713,0.0124191126173963,0.0117675541138393,45.613679135506814,1.5200905467776176,-2.8400000000000034,0.9537,0.2441802471876144,0.0,620.0,0.7095,620.0,1.0,,0.742,,,,,,,,,,1.51
20240318A,150.3935642798215,37.61643226592607,62.84,True,3350.0,150.3935642798215,37.61643226592607,EXP,30.234682083129883,1.0,0.382420003414154,-0.1110000014305114,89910.7734375,49977.484375,0.0,2.0,0.3982035400757446,0.4304069062016924,0.0033349869067071,0.004473143224563,67.10921274281617,0.2538734781233296,4.269999999999996,2.5807,0.65426509141922,0.0,3350.0,1.9264,3350.0,1.0,,0.775,,,,,,,,,,0.88
