DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r,b_a,b_a_err,q_lt_q0,inclination_deg_q0_0p2,tractor_objid,RA_ICRS,tractor_type,brick_primary,shape_e1,shape_e2,shape_e1_ivar,shape_e2_ivar,ellipticity_abs,flux_r_nmgy
43.79147067244151,26.490826297044045,0.01,1.0,0.4655367743529718,,22.151763483025313,26.490826297044045,,,,,0.5344632256470282,0.5344632256470282,244.74163737544998,False,59.612063819114844,360,286.59385838887084,EXP,1,0.3012309968471527,-0.036107998341321945,2.300000051036477e-05,3.9999998989515007e-05,0.30338737779569247,0.025332
43.79923179678458,22.252505152525362,0.96822,1.0,0.0,,22.827742614837085,22.252505152525362,,,,,1.0,1.0,,False,0.0,377,286.596599319532,REX,1,0.0,0.0,0.0,0.0,0.0,1.256024
43.80341708259984,20.696419329624618,0.981804,1.0,0.0,,21.580910981545355,20.696419329624618,,,,,1.0,1.0,,False,0.0,417,286.60180506806995,REX,1,0.0,0.0,0.0,0.0,0.0,5.265411
43.790507186530135,21.420957795005496,0.7806,1.0,0.0,,22.042665796264135,21.420957795005496,,,,,1.0,1.0,,False,0.0,263,286.58058645065614,REX,1,0.0,0.0,0.0,0.0,0.0,2.701574
43.79004915658773,21.246757420394104,0.479409,1.0,0.0,,22.307976654538777,21.246757420394104,,,,,1.0,1.0,,False,0.0,302,286.58578722034247,REX,1,0.0,0.0,0.0,0.0,0.0,3.171736
43.79056554058032,19.080100520166674,1.392706,6.0,0.6711130018208451,,20.420949681642135,19.080100520166674,,,,,0.3288869981791549,0.3288869981791549,0.021495646706773702,False,74.54560606398177,230,286.5764702711622,SER,1,0.21238599717617035,-0.458187997341156,1418.9268798828125,1758.7691650390625,0.5050188637110652,23.33242
43.791089383653485,20.08368229810985,1.920102,1.0,0.8458201764610098,,20.773590846127696,20.08368229810985,,,,,0.15417982353899023,0.15417982353899023,0.01685875215800422,True,90.0,227,286.576158421651,EXP,1,-0.05171800032258034,0.7310050129890442,1983.6826171875,1559.265380859375,0.7328322322144947,9.258211
43.791538768702125,22.0923165309421,0.986878,1.0,0.0,,23.00765225738944,22.0923165309421,,,,,1.0,1.0,,False,0.0,211,286.57424312039507,REX,1,0.0,0.0,0.0,0.0,0.0,1.455705
43.79717525138869,21.317119375100912,1.399998,1.0,0.5585490435472311,,21.813689843043132,21.317119375100912,,,,,0.44145095645276883,0.44145095645276883,0.06538257548041818,False,66.31789048598117,207,286.57384500588586,EXP,1,-0.24244999885559082,-0.30226999521255493,234.2503662109375,265.77496337890625,0.3874908411186953,2.972708
43.7983177458745,21.55325054518213,1.07458,1.0,0.5575532577941643,,21.995072745593358,21.55325054518213,,,,,0.4424467422058357,0.4424467422058357,0.07271115398931312,False,66.24656631369538,180,286.57021381242356,EXP,1,-0.3850640058517456,0.03366699814796448,205.60057067871094,130.6188507080078,0.38653299389170936,2.391662
