DE_ICRS,petroMag_r,rPrad,rdVrad,rdVell,umag,gmag,rmag,imag,zmag,<zph>,u_r,expAB_r
1.313323,21.021,1.633,0.386,0.743,22.16,22.22,20.999,20.688,20.329,0.4421,1.16,0.257
1.302924,21.255,7.36,1.162,0.24,23.81,23.458,21.602,20.999,19.939,0.477,2.21,0.76
1.310819,21.629,4.585,2.357,0.321,22.112,22.388,21.439,20.823,20.509,0.5766,0.67,0.679
1.298899,21.903,1.81,1.603,0.05,22.138,22.608,21.612,21.694,21.829,0.3694,0.53,0.95
1.298805,21.962,1.469,0.366,0.402,23.686,22.441,21.733,21.031,20.635,0.6345,1.95,0.598
1.315642,21.93,1.563,0.528,0.525,24.892,22.605,21.837,21.55,20.602,0.4038,3.06,0.475
1.297095,20.98,2.078,0.82,0.167,22.282,21.648,20.93,20.648,20.03,0.3663,1.35,0.833
1.316189,19.537,27.924,29.677,0.29,27.358,21.123,18.578,17.577,27.083,0.2655,8.78,0.71
1.322454,21.402,2.97,3.205,0.05,21.938,22.693,21.187,20.531,20.912,0.4394,0.75,0.95
1.224732,19.458,3.389,4.103,0.35,21.445,20.188,19.39,19.106,18.615,0.2737,2.05,0.65
1.222002,21.351,1.494,0.479,0.376,22.886,22.171,21.115,20.623,20.061,0.4659,1.77,0.624
1.223178,20.481,1.909,1.043,0.85,25.788,21.652,20.472,19.72,19.259,0.4794,5.32,0.15000000000000002
1.220474,20.557,2.145,1.705,0.2,22.511,21.278,20.523,20.108,19.738,0.3301,1.99,0.8
1.223553,21.069,1.914,0.481,0.893,24.945,22.889,21.085,20.219,20.125,0.4782,3.86,0.10699999999999998
1.225676,21.814,1.641,0.473,0.05,23.499,23.414,21.582,20.686,20.014,0.5312,1.92,0.95
1.225303,21.007,1.696,0.68,0.926,24.903,22.103,20.933,20.364,21.917,0.2765,3.97,0.07399999999999995
1.231303,21.559,7.361,1.074,0.619,24.076,22.708,21.861,21.312,21.082,0.4895,2.22,0.381
1.240381,21.886,1.426,0.723,0.119,25.066,21.78,21.55,21.263,22.598,0.1585,3.52,0.881
1.220027,21.578,1.347,0.26,0.605,24.334,22.846,21.464,20.406,19.795,0.5807,2.87,0.395
1.241548,21.59,2.969,0.913,0.05,22.219,22.235,21.75,21.41,21.034,0.5916,0.47,0.95
1.229499,20.495,11.304,3.125,0.489,25.606,21.85,20.497,19.876,19.344,0.4185,5.11,0.511
1.239663,20.654,2.614,0.778,0.638,23.277,22.276,20.738,20.179,19.801,0.3722,2.54,0.362
1.220615,20.655,1.651,0.599,0.581,23.59,22.06,20.661,20.124,19.906,0.355,2.93,0.41900000000000004
1.225474,21.688,1.643,0.456,0.05,23.207,22.89,21.699,21.627,22.148,0.2378,1.51,0.95
1.233854,21.426,2.889,2.122,0.506,22.83,22.467,21.363,20.67,21.042,0.4278,1.47,0.494
1.23858,19.401,2.535,2.351,0.34,20.604,19.656,19.297,19.003,18.964,0.111,1.31,0.6599999999999999
1.267861,21.962,1.771,2.107,0.2,25.522,22.14,21.528,21.82,20.559,0.3292,3.99,0.8
1.241214,21.808,1.37,0.285,0.65,22.878,22.149,21.638,21.553,21.873,0.2444,1.24,0.35
1.256711,19.165,68.324,4.0,0.626,22.267,21.485,20.833,21.063,21.669,0.1508,1.43,0.374
1.261685,21.612,1.534,0.603,0.3,25.573,22.608,21.397,21.06,20.994,0.3256,4.18,0.7
1.243367,20.248,1.774,0.516,0.734,24.126,21.987,20.203,19.482,19.189,0.4399,3.92,0.266
1.249108,21.833,2.971,1.261,0.05,23.479,22.43,21.801,21.352,20.782,0.5207,1.68,0.95
1.2448,21.711,1.654,0.366,0.99,22.993,22.342,21.382,20.951,20.293,0.4611,1.61,0.010000000000000009
1.251688,19.21,3.061,1.632,0.661,23.786,20.932,19.051,18.426,18.002,0.367,4.74,0.33899999999999997
1.250906,18.819,5.712,2.363,0.779,24.153,20.483,18.743,18.151,17.677,0.3569,5.41,0.22099999999999997
1.249011,20.398,2.909,0.847,0.606,23.03,21.137,20.377,19.999,19.473,0.3385,2.65,0.394
1.25419,21.507,1.49,0.506,0.304,24.477,22.34,21.392,21.369,21.513,0.2411,3.09,0.696
1.261466,21.289,2.337,1.163,0.401,26.647,21.978,21.121,20.616,20.203,0.3977,5.53,0.599
1.262379,20.415,2.848,0.667,0.912,22.553,22.08,20.454,19.674,19.344,0.4648,2.1,0.08799999999999997
1.25679,21.848,1.488,0.293,0.388,23.345,22.507,21.843,21.745,21.484,0.2889,1.5,0.612
1.255184,21.298,2.094,0.707,0.473,23.29,22.207,21.13,20.839,20.253,0.3859,2.16,0.527
1.247779,21.187,2.125,1.416,0.55,23.793,22.043,21.008,20.79,20.33,0.3636,2.78,0.44999999999999996
1.252881,21.855,1.807,1.457,0.138,26.32,22.882,21.609,21.639,20.727,0.3756,4.71,0.862
1.262713,21.431,1.553,0.516,0.721,25.721,23.338,21.329,21.016,20.947,0.3587,4.39,0.279
1.258361,21.86,1.532,0.438,0.327,25.199,23.367,21.768,21.252,20.959,0.3703,3.43,0.673
