source_file,row_id,column,value
nonparam_parametric_outliers.csv,7,outlier_score_astrophot,0.9582601658658793
nonparam_parametric_outliers.csv,8,frb_name,20211127I
nonparam_parametric_outliers.csv,8,concentration,2.691892085194816
nonparam_parametric_outliers.csv,8,gini,0.5207111020391303
nonparam_parametric_outliers.csv,8,m20,-1.938287810626576
nonparam_parametric_outliers.csv,8,n_psf,1.0
nonparam_parametric_outliers.csv,8,n,1.4896553200316132
nonparam_parametric_outliers.csv,8,outlier_score_galfit,2.317301229296619
nonparam_parametric_outliers.csv,8,outlier_score_astrophot,1.2142037272172992
nonparam_parametric_outliers.csv,9,frb_name,20190714A
nonparam_parametric_outliers.csv,9,concentration,2.286244967357668
nonparam_parametric_outliers.csv,9,gini,0.4232621352361957
nonparam_parametric_outliers.csv,9,m20,-1.4910157114754288
nonparam_parametric_outliers.csv,9,n_psf,1.0
nonparam_parametric_outliers.csv,9,n,0.5489402804172472
nonparam_parametric_outliers.csv,9,outlier_score_galfit,2.1879113136795096
nonparam_parametric_outliers.csv,9,outlier_score_astrophot,0.4074607042390848
nonparam_parametric_outliers.csv,10,frb_name,20180924B
nonparam_parametric_outliers.csv,10,concentration,2.8335230264785167
nonparam_parametric_outliers.csv,10,gini,0.5305044686601453
nonparam_parametric_outliers.csv,10,m20,-1.7226129194623574
nonparam_parametric_outliers.csv,10,n_psf,1.0
nonparam_parametric_outliers.csv,10,n,0.949587533328543
nonparam_parametric_outliers.csv,10,outlier_score_galfit,2.097153946557391
nonparam_parametric_outliers.csv,10,outlier_score_astrophot,2.950912597758981
nonparam_parametric_outliers.csv,11,frb_name,20191001A
nonparam_parametric_outliers.csv,11,concentration,2.2354298716328485
nonparam_parametric_outliers.csv,11,gini,0.4288202276287269
nonparam_parametric_outliers.csv,11,m20,-1.535871120343508
nonparam_parametric_outliers.csv,11,n_psf,1.0
nonparam_parametric_outliers.csv,11,n,0.5745848200808045
nonparam_parametric_outliers.csv,11,outlier_score_galfit,2.0479687758798253
nonparam_parametric_outliers.csv,11,outlier_score_astrophot,0.4027230911072979
nonparam_parametric_outliers.csv,12,frb_name,20200906A
nonparam_parametric_outliers.csv,12,concentration,2.483160915553782
nonparam_parametric_outliers.csv,12,gini,0.4292937550306985
nonparam_parametric_outliers.csv,12,m20,-1.4378320211636353
nonparam_parametric_outliers.csv,12,n_psf,1.0
nonparam_parametric_outliers.csv,12,n,0.6128193631806991
nonparam_parametric_outliers.csv,12,outlier_score_galfit,1.7648813018060832
