FRB,status,q0,b_a_photutils,b_a_err_photutils,inc_photutils,inc_err_photutils,pa_photutils,pa_err_photutils,n_isophotes,sma_rep_pix,half_light_flux_proxy,fit_strategy_index,bkg_median,bkg_std,source_flux,source_sigma,b_a_psf,b_a_err_psf,inc_galfit,inc_err_galfit,chi2nu_psf,re_psf,delta_inc_phot_minus_galfit,delta_inc_galfit_minus_photutils,delta_ba_phot_minus_galfit,pix_scale_arcsec,re_psf_arcsec,sma_rep_arcsec
20211212A,ok,0.2,0.746305465560211,0.0110791993392112,42.79121764061077,0.990136725848476,65.62698751135501,1.5988347973363004,28,12.920142770207084,101.21366271152785,0,0.0054943677969276,0.0081988603669867,cropped_host_galaxies\20211212A_flux.fits,cropped_host_galaxies\20211212A_sigma.fits,0.83,0.0,34.69897927515612,0.0,14.855,13.01,8.092238365454648,-8.092238365454648,-0.08369453443978891,0.26200000000000007,3.408620000000001,3.3850774057942568
20220207C,ok,0.2,0.2922277827545769,0.0214094391203459,77.44014076572991,1.7671728772424655,134.2861619158071,1.414170223647436,97,20.35304799808649,186719.8349270821,77,37.54248428344727,144.94225824539632,cropped_host_galaxies\20220207C_flux.fits,cropped_host_galaxies\20220207C_sigma.fits,0.21,0.0,86.25295798574673,0.0,130395015.263,29.79,-8.812817220016825,8.812817220016825,0.0822277827545769,0.2500000060535957,7.447500180336615,5.088262122730746
20220307B,ok,0.2,0.6949024345846193,0.0617383515964973,47.21708866569038,5.161727266311537,162.3627677681704,7.0147536556701695,74,6.7503237761633335,42767.8033407554,11,21.388202667236328,126.9459860797133,cropped_host_galaxies\20220307B_flux.fits,cropped_host_galaxies\20220307B_sigma.fits,0.65,0.03,50.859880152894384,2.3793416913510264,116517862.264,6.3,-3.6427914872040006,3.6427914872040006,0.04490243458461929,0.2500000060535957,1.5750000381376528,1.6875809849045642
20220310F,ok,0.2,0.8248667212991756,0.0336544601930695,35.2387408751554,3.531306844142229,37.96425267147979,5.748114487052675,104,6.296131311817031,2.513612292996413,95,0.0001323894539382,0.0030118042350269,cropped_host_galaxies\20220310F_flux.fits,cropped_host_galaxies\20220310F_sigma.fits,0.69,0.02,47.62375474517796,1.6550033027989386,0.76,4.3,-12.385013870022561,12.385013870022561,0.13486672129917565,0.26200000000000007,1.1266000000000003,1.6495864036960626
20220319D,ok,0.2,0.8818479852331593,0.0265823377387843,28.76754241135097,3.336965657168289,148.9991944658191,6.570715932656601,36,17.715395812400022,966474.0732875466,0,184.66180419921875,144.45701580123227,cropped_host_galaxies\20220319D_flux.fits,cropped_host_galaxies\20220319D_sigma.fits,0.9,0.01,26.415550172000277,1.3497949543933139,266664770.73,3.24,2.351992239350693,-2.351992239350693,-0.018152014766840696,0.2500000060535957,0.8100000196136501,4.428849060341849
20220509G,ok,0.2,0.5347173259550981,0.0968836605076342,59.59348766987208,7.135824125590098,31.84703817390608,7.879386096497861,43,12.215266885775256,141.82910341303796,1,0.0029117653612047,0.0053717132939386,cropped_host_galaxies\20220509G_flux.fits,cropped_host_galaxies\20220509G_sigma.fits,0.4,0.0,69.29518894536457,0.0,167.822,11.12,-9.70170127549249,9.70170127549249,0.1347173259550981,0.26200000000000007,2.9134400000000005,3.2003999240731176
20220825A,ok,0.2,0.9324816340327972,0.1208439409657386,21.63336671495925,18.299361522509532,90.0,60.84023318750808,98,5.880759853611176,35623.06037661061,468,10.682448387145996,136.77082260168626,cropped_host_galaxies\20220825A_flux.fits,cropped_host_galaxies\20220825A_sigma.fits,0.63,0.05,52.430007722821564,3.8991305135391556,259015598.311,5.89,-30.796641007862313,30.796641007862313,0.30248163403279715,0.2500000060535957,1.4725000356556786,1.4701899990025364
20220912A,ok,0.2,0.6300950360092625,0.0467888631234811,52.42261335033507,3.647967646436985,124.3760316885362,4.515379210508149,39,6.809417083888532,58710.77088452876,1,8.361897468566895,154.88759764580664,cropped_host_galaxies\20220912A_flux.fits,cropped_host_galaxies\20220912A_sigma.fits,0.64,0.03,51.64853587360453,2.3569968479332424,299588253.795,5.42,0.7740774767305396,-0.7740774767305396,-0.009904963990737481,0.2500000060535957,1.3550000328104885,1.702354312193591
20220914A,ok,0.2,0.8184657607416908,0.0104020348638598,35.90217120632505,1.0701540229584836,34.64804118013902,1.890254599131156,23,5.7309125108227335,5.7937485005641065,0,0.0032807860989123,0.003853014567035,cropped_host_galaxies\20220914A_flux.fits,cropped_host_galaxies\20220914A_sigma.fits,0.49,0.01,62.83532000423217,0.7200346544989848,0.901,3.92,-26.933148797907123,26.933148797907123,0.32846576074169076,0.26200000000000007,1.0270400000000002,1.5014990778355566
20220920A,ok,0.2,0.8982109265585585,0.0110043292182828,26.655746380754184,1.4733940979751343,130.95460795896088,2.556297528636829,29,7.796557121905681,28.602913385387183,0,0.0025482752826064,0.0045954210861205,cropped_host_galaxies\20220920A_flux.fits,cropped_host_galaxies\20220920A_sigma.fits,0.86,0.0,31.387047821028517,0.0,1.085,6.87,-4.731301440274333,4.731301440274333,0.03821092655855851,0.26200000000000007,1.7999400000000005,2.042697965939289
20221012A,ok,0.2,0.6389444160971475,0.0115516929004974,51.7313581013304,0.9060370761905324,88.73652913605883,1.149476038376288,31,7.879813240891134,13.211785532283216,0,0.0005631098756566,0.0030036757440653,cropped_host_galaxies\20221012A_flux.fits,cropped_host_galaxies\20221012A_sigma.fits,0.55,0.0,58.472179090237866,0.0,0.794,4.98,-6.7408209889074655,6.7408209889074655,0.08894441609714743,0.26200000000000007,1.3047600000000004,2.0645110691134776
