objID,ra,dec,modelMag_r,modelMag_u,modelMag_g,expAB_r,expRad_r,lnLExp_r,lnLDeV_r,type,clean,mode,u_r,g_r
1237651753460236835,149.800750934606,1.69636761745492,21.11379,24.18452,22.50933,0.3317718,0.7984375,-0.01020635,-0.03260586,3,1,1,3.0707299999999975,1.395539999999997
1237651753460236941,149.837057169007,1.80165615211417,20.25367,21.77266,21.11594,0.614034,2.018294,-0.1653319,-1.189703,3,1,1,1.5189899999999987,0.8622699999999988
1237651753460302171,149.877903661465,1.80048439294812,21.5244,23.18918,22.03747,0.6593703,0.5539863,-0.2436121,-0.356432,3,1,1,1.6647800000000004,0.513069999999999
1237651753460302174,149.880318514414,1.80339777761644,22.3641,22.76501,22.71939,0.3460403,0.1100236,-0.6486311,-0.6777549,3,1,1,0.40090999999999966,0.3552900000000001
1237651753460302326,149.953516150105,1.76380958329645,22.132,24.46475,22.81976,0.3999925,0.6968911,-0.0004063169,-0.0006773074,3,1,1,2.332749999999997,0.6877599999999973
1237651753460302330,149.953453410369,1.8352571878546,20.86816,23.33966,21.73538,0.3367668,0.3697718,-0.409981,-0.5335708,3,1,1,2.471499999999999,0.8672199999999997
1237651753460302468,149.99849544649,1.78325329143889,21.16231,22.85193,22.45183,0.4052978,1.198964,-0.2533912,-0.5080259,3,1,1,1.689619999999998,1.2895199999999996
1237651753460367985,150.140867223258,1.83266081027899,19.96955,23.19265,21.16117,0.5560741,1.416517,-0.1370192,-4.941837,3,1,1,3.2230999999999987,1.1916199999999968
1237651753460367976,150.141473785084,1.74486860340011,20.49238,22.38608,20.99176,0.6481724,1.644325,-0.1393964,-0.3675719,3,1,1,1.893699999999999,0.4993799999999986
1237651753460367940,150.124567204267,1.8364711326822,21.49996,22.57621,22.04674,0.9060971,0.7387597,-0.1053392,-0.1914489,3,1,1,1.0762499999999982,0.5467799999999983
1237651753460367889,150.102661905633,1.8097874619765,21.45934,23.38823,22.69044,0.2906213,0.6203424,-0.5433665,-0.5876816,3,1,1,1.928889999999999,1.2310999999999979
1237651753460367887,150.101523227725,1.81378861536277,19.87683,22.36874,21.29697,0.4192489,1.07757,-0.7788168,-3.349109,3,1,1,2.491909999999997,1.42014
1237651753460367847,150.085307400331,1.73467854862285,21.46921,23.8386,22.34829,0.4227476,0.7649162,-1.060279,-1.27003,3,1,1,2.369389999999999,0.8790799999999983
1237651753460367841,150.084938509758,1.6498628743454,20.79871,22.85293,21.61596,0.5662723,1.145325,-0.8756592,-2.287456,3,1,1,2.054220000000001,0.8172500000000014
1237651753460367809,150.065180770731,1.78379093535522,20.65158,21.67918,21.66752,0.8000008,1.269333,-0.2751679,-2.672566,3,1,1,1.0275999999999996,1.0159400000000005
1237651753460237117,149.798825043457,1.73166234682543,21.81492,23.61377,23.27866,0.956583,0.3228573,-0.8360997,-0.9480782,3,1,1,1.798849999999998,1.4637399999999978
1237651753460237062,149.752767962273,1.62456852047109,22.3418,23.30616,23.90113,0.4550775,0.3789558,-0.09586687,-0.1068905,3,1,1,0.9643599999999992,1.5593299999999992
1237651753460236975,149.857582947716,1.79253474429666,21.79288,24.93786,22.30398,0.3335063,0.1068883,-0.9636696,-0.9639435,3,1,1,3.1449800000000003,0.511099999999999
1237651753460236937,149.837643369253,1.70970105489765,21.92035,24.53794,22.60638,0.5749763,0.5734689,-3.263249,-3.619163,3,1,1,2.61759,0.6860300000000024
