SequentialID,ra,dec,ACS_MAG_AUTO,b_a,Re_arcsec,ELL_GIM2D,TYPE,STELLARITY
367.0,150.7679138,1.754464,20.9868317,0.74657,0.547,0.25343,1.0,0.0
374.0,150.7726746,1.789981,22.4801464,0.72773,0.232,0.27227,3.0,0.0
376.0,150.7724152,1.793983,22.3666935,0.32592,0.702,0.67408,2.0,0.0
385.0,150.7595825,1.744087,20.6373234,0.58309,0.693,0.41691,2.0,0.0
390.0,150.7589417,1.752002,22.0191975,0.54261,0.1995,0.45739,2.0,0.0
394.0,150.7616272,1.771093,21.4204617,0.1885,1.1390001,0.8115,2.0,0.0
395.0,150.7653656,1.793366,22.374094,0.87602,0.4635,0.12398,1.0,0.0
403.0,150.7614594,1.783408,21.9458523,0.900452,0.678,0.099548,2.0,0.0
404.0,150.761322,1.7837681,21.9505558,0.82038,0.7505,0.17962,2.0,0.0
405.0,150.7590942,1.7718,21.1361237,0.82162,0.38,0.17838,2.0,0.0
408.0,150.7591858,1.776152,20.7413826,0.83718,0.661,0.16282,2.0,0.0
410.0,150.7605743,1.783697,21.9162006,0.40758000000000005,0.4665,0.59242,2.0,0.0
411.0,150.7596588,1.779384,22.1072865,0.4736,0.601,0.5264,2.0,0.0
426.0,150.7516937,1.7633801,21.7127285,0.73979,0.2865,0.26021,2.0,0.0
429.0,150.7511444,1.761518,21.7126732,0.39615999999999996,0.3035,0.60384,3.0,0.0
431.0,150.7481842,1.7500809,21.5068378,0.912879,0.77,0.087121,2.0,0.0
445.0,150.7503052,1.793753,22.3912983,0.84478,0.2985,0.15522,3.0,0.0
453.0,150.7459412,1.789942,20.7883701,0.64169,0.8985,0.35831,2.0,0.0
454.0,150.7385101,1.7481951,22.4415836,0.36519,0.536,0.63481,2.0,0.0
466.0,150.7424622,1.795081,20.8454819,0.69818,0.6335,0.30182,1.0,0.0
472.0,150.7400818,1.7965159,21.351017,0.41290000000000004,0.5685,0.5871,2.0,0.0
474.0,150.7380524,1.795289,20.365036,0.36695999999999995,0.9535,0.63304,2.0,0.0
476.0,150.7383575,1.796739,21.7783489,0.44003000000000003,0.701,0.55997,2.0,0.0
483.0,150.7311859,1.766301,20.744772,0.83431,0.5465,0.16569,2.0,0.0
487.0,150.7314758,1.769044,22.2473049,0.50249,0.367,0.49751,2.0,0.0
