q,cosi_med,cosi_lo,cosi_hi
0.025,0.917457770673296,0.7475599567306409,0.9861699316888453
0.07500000000000001,0.8961015823450627,0.681806114574371,0.9712710164208547
0.125,0.8038539350312041,0.24401872017733042,0.9397268929081876
0.17500000000000002,0.5825558239267059,0.1023831849034663,0.8785159567133927
0.225,0.36794931896355504,0.0938148874944796,0.7836359832140427
0.275,0.3560937574789681,0.10796585965695689,0.736827636480653
0.32500000000000007,0.4071176790561364,0.13310755447713138,0.7553017093004188
0.375,0.48416388580944786,0.1698914669546622,0.8098424713981561
0.42500000000000004,0.556938297099819,0.1991079923423368,0.8506175245380642
0.475,0.6181398786735196,0.22432523530180312,0.8823828356836135
0.525,0.643668518331109,0.2329024822677056,0.8959832955256416
0.5750000000000001,0.6350609938541016,0.233427438452351,0.8975475808463883
0.625,0.6028938653487437,0.2382408772745703,0.8889073214497819
0.675,0.5514281574988329,0.22823648730975635,0.8567585105952533
0.7250000000000001,0.5086923288647673,0.21708658166054165,0.7846288486143154
0.775,0.4730586139655134,0.1930559856628921,0.7178404363839306
0.8250000000000001,0.45451828296116537,0.18090842516676553,0.6619597217049024
0.875,0.44088013067281073,0.16092243044659124,0.626829789495297
0.925,0.4315360288104053,0.12059106136838114,0.6103967254900671
0.9750000000000001,0.39667381188372575,0.07013731668365629,0.58768558146769
