FRB,status,sma_rep_pix,b_over_a,pa
MOCK_0130,failed,,,
MOCK_0131,failed,,,
MOCK_0132,failed,,,
MOCK_0133,failed,,,
MOCK_0134,failed,,,
MOCK_0135,failed,,,
MOCK_0136,failed,,,
MOCK_0137,failed,,,
MOCK_0138,failed,,,
MOCK_0139,failed,,,
