mag_lo,mag_hi,n,median_cosi,mean_cosi,frac_pool
15.0,15.5,177,0.533722460718203,0.5069297517640912,0.0004069320998156161
15.5,16.0,165,0.6609214844790566,0.613178018859586,0.0003793434828789641
16.0,16.5,338,0.5914315441018452,0.5678567756990407,0.0007770793770490295
16.5,17.0,721,0.5932887742114923,0.5704532950434492,0.001657616067610504
17.0,17.5,1388,0.556825934493822,0.5570348310179681,0.003191083359006074
17.5,18.0,2574,0.5595330269987491,0.5534609339156181,0.005917758332911841
18.0,18.5,4137,0.615610869230591,0.588717269471562,0.009511175688910755
18.5,19.0,7451,0.6260065605572174,0.5989514092955985,0.017130232066249466
19.0,19.5,14014,0.6185046480234577,0.5943775093083512,0.03221890647918669
19.5,20.0,24714,0.6127293508006121,0.5895983014844968,0.05681875658103466
20.0,20.5,40823,0.5916849700608653,0.5727327734816415,0.09385417576707851
20.5,21.0,62642,0.5571777447800472,0.544961463876771,0.14401717851214588
21.0,21.5,86360,0.5040100420027148,0.5051905455491527,0.19854607988743844
21.5,22.0,97030,0.45004310514947377,0.46285564919102606,0.22307695844694478
22.0,22.5,69564,0.4103485343225134,0.4291388662512468,0.15993121238177127
22.5,23.0,20694,0.35353459321306613,0.39677745312261004,0.04757656990725627
23.0,23.5,1833,0.29365341195164707,0.35709852541572523,0.004214161237073583
23.5,24.0,129,0.468527550410859,0.483185044032218,0.0002965776320690083
24.0,24.5,56,0.7109784619061337,0.5857919535758477,0.00012874687903770905
25.0,25.5,43,0.7437410755621711,0.6498898376987287,9.885921068966944e-05
25.5,26.0,46,0.9936531986792465,0.829606598957611,0.00010575636492383243
