frb,ra_deg,dec_deg,ra_hms,dec_dms,coord_semantics,xmin,xmax,ymin,ymax,survey,ra_err_as,dec_err_as,major_sigma_as,minor_sigma_as,pa_deg,z,DM,DM_MW,DM_exgal,status,repeater,repeater_source
20230913,305.037,70.793,20:20:08.88,+70:47:34.8,host,,,,,DSA-110,,,,,,0.3024,518.6,74.5,444.1,pending,,
20230501A,340.027,70.922,22:40:06.48,+70:55:19.2,host,,,,,DSA-110,,,,,,0.301,532.5,125.57,406.93,pending,no,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)"
20220506D,318.045,72.827,21:12:10.80,+72:49:37.2,host,,,,,DSA-110,,,,,,0.3004,396.97,84.49,312.48,pending,no,"Law et al. 2024, ApJ 967, 29 (doi:10.3847/1538-4357/ad3736)"
20221116A,21.211,72.654,01:24:50.64,+72:39:14.4,host,,,,,DSA-110,,,,,,0.2764,640.6,132.34,508.26,pending,no,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)"
20221113A,71.411,70.307,04:45:38.64,+70:18:25.2,host,,,,,DSA-110,,,,,,0.2505,411.4,91.67,319.73,pending,no,"Sharma et al. 2024, Nature 635, 61 (doi:10.1038/s41586-024-08074-9)"
20121102A,82.99454166666665,33.14789722222222,05:31:58.69,+33:08:52.4,host,,,,,VLBI,,,,,,0.1927,557.0,188.4,368.6,pending,yes,"Chatterjee et al. 2017, Nature 541, 58 (doi:10.1038/nature20797)"
20201124A,77.015,26.061,05:08:03.60,+26:03:39.6,host,,,,,DSA-110,,,,,,0.098,413.52,139.94,273.58,pending,yes,"Fong et al. 2021, ApJL 919, L23 (doi:10.3847/2041-8213/ac242b)"
20230930A,10.507,41.417,00:42:01.68,+41:25:01.2,host,,,,,RealFAST,,,,,,0.0925,456.0,68.09,387.91,pending,no,"Anna-Thomas et al. 2025, ApJ 993, 221 (doi:10.3847/1538-4357/ae1014)"
20240203,312.621,73.9,20:50:29.04,+73:54:00.0,host,,,,,DSA-110,,,,,,0.074,272.4,76.22,196.18,pending,no,"Hussaini et al. 2025, ApJL 993, L27 (doi:10.3847/2041-8213/ae0a49)"
20201123A,263.66,-50.764,17:34:38.40,-50:45:50.4,host,,,,,MeerKAT,,,,,,0.0507,433.55,252.56,180.99,pending,no,"Rajwade et al. 2022, MNRAS 514, 1961 (doi:10.1093/mnras/stac1450)"
