objid,ra,dec,modelmag_r,modelmag_u,expab_r,devab_r,lnlexp_r,lnldev_r,lnlstar_r,fracdev_r,score,nnavgz
1237651754534371789,150.618142530012,2.55124349225132,20.88532,24.2497,0.6725009,0.5973046,-0.2033498,-0.06821977,-2.192904,1.0,0.827616,0.299121
1237651754534371792,150.617001292406,2.57499034181982,18.94216,20.28109,0.5954387,0.5906504,-0.3232003,-16.28515,-357.9857,0.0,0.827616,0.084703
1237651754534371798,150.617330221825,2.68770361484158,19.35468,21.90715,0.823172,0.7742674,-1.647198,-0.3679992,-123.5921,0.7937256,0.827616,0.246112
1237651754534371804,150.619532689348,2.66895116981342,20.13546,23.88686,0.501223,0.4662783,-0.0929675,-0.02042302,-18.14776,0.8591889,0.827616,0.270506
1237651754534437516,150.846049381845,2.57857142923026,20.97513,21.71138,0.734393,0.6082165,-0.005787654,-0.008160142,-2.727689,0.4363821,0.822781,0.304962
1237651754534437522,150.846572401238,2.68414874632074,20.54972,24.02036,0.5813122,0.5079334,-0.04526362,-0.03806028,-5.145338,0.6299582,0.822781,0.394392
1237651754534503010,150.958308942354,2.51625655960794,20.73198,22.54759,0.8703732,0.8094501,-0.2228799,-0.2895378,-6.65127,0.4936177,0.8210613,0.360316
1237651754534503019,150.959538175513,2.5621992550588,20.91109,21.82842,0.5127097,0.3499967,-1.289449,-0.8432464,-2.783404,1.0,0.8210613,0.57223
1237651754534503399,150.958694406824,2.5373955161751,20.9955,23.0155,0.2832192,0.1880334,-0.02485894,-0.06058718,-4.632829,0.04261407,0.8210613,0.602555
1237651754534568220,151.077126649208,2.63221152674407,20.37107,22.40211,0.4732211,0.4014527,-0.01450223,-0.643716,-33.25031,0.0,0.8250403,0.25773
1237651754534568367,151.076326203937,2.59426562345509,20.07652,21.46851,0.3108988,0.2438029,-0.2730741,-1.465824,-81.00565,0.1547038,0.8250403,0.146834
1237651754534568371,151.078017563011,2.62774591235153,20.70085,21.78092,0.4582266,0.302267,-0.1134417,-0.08131067,-5.292148,0.7756101,0.8250403,0.353683
1237651754534568372,151.076634971721,2.68065954228994,20.0666,21.99868,0.507338,0.4586605,-0.3092633,-0.3623369,-52.58706,0.4240692,0.8250403,0.466344
