objid,ra,dec,mag,ang_size,source,posterior_O,posterior_U
0,64.39882258168548,7.915059787528167,22.472436566339532,0.9119897537231446,mag_auto,0.0,0.02361111524490899
1,64.3955392941506,7.915648255208615,23.180888791070977,0.74206658411026,mag_auto,0.0,0.02361111524490899
2,64.39753979486575,7.917989180019694,20.923604626642266,1.4175241527557374,mag_auto,9.132709719335741e-156,0.02361111524490899
5,64.39328512985134,7.921012755203649,23.200051922784844,1.117523663520813,mag_auto,2.7659600598642167e-150,0.02361111524490899
6,64.40892433409407,7.922524386972526,22.817151684747735,1.0141404848098756,mag_auto,3.444129264850561e-201,0.02361111524490899
7,64.39502773770047,7.924424331836667,24.289514203058282,0.6785491819381714,mag_auto,5.647798263959626e-81,0.02361111524490899
8,64.40804195099555,7.9260450195980905,22.157014508234063,1.0156168608665466,mag_auto,1.311904483057047e-89,0.02361111524490899
9,64.41130648424385,7.927654505865978,23.90818562029461,0.8079549331665039,mag_auto,1.728947604249744e-218,0.02361111524490899
12,64.40001543181748,7.9308018408433725,23.48895134447674,0.7652415342330933,mag_auto,0.12608311037089695,0.02361111524490899
13,64.40988715035475,7.9309767177323875,23.082033772455254,1.0117955861091614,mag_auto,1.8427829374487616e-104,0.02361111524490899
14,64.39632069972708,7.932122601184739,21.23538174151043,1.1603811082839965,mag_auto,0.40437317230126096,0.02361111524490899
16,64.39652849996513,7.933273495352785,21.019620556818047,1.8799065189361572,mag_auto,0.18938926343639811,0.02361111524490899
17,64.39429371734117,7.93207298464391,23.706694264398614,0.7569419083595276,mag_auto,1.2408372767464895e-16,0.02361111524490899
18,64.40970312764514,7.93280578204615,22.846446652399102,1.3451139507293701,mag_auto,8.095043612535822e-62,0.02361111524490899
19,64.39290441492982,7.932847610982286,22.109186787591973,1.9935289449691773,mag_auto,0.0610261236967482,0.02361111524490899
20,64.40273464273433,7.932561333067248,24.179358143793145,0.6862490749359131,mag_auto,0.0015845365193395584,0.02361111524490899
21,64.3969822119309,7.933467615889188,22.785608906732598,1.3009732112884522,mag_auto,0.07892861917950765,0.02361111524490899
22,64.40037436166375,7.935242755723552,22.594176907526055,1.16414066696167,mag_auto,0.11500405925093936,0.02361111524490899
23,64.4122995721821,7.936376744403322,23.09379066942791,0.7337577133178711,mag_auto,5.8794e-319,0.02361111524490899
24,64.3903133632659,7.936739036431139,23.874399800287286,0.7401180925369263,mag_auto,6.181097023020879e-171,0.02361111524490899
25,64.39130514668233,7.93802372163267,21.852029461847344,1.5335505075454712,mag_auto,1.0773557783710746e-56,0.02361111524490899
26,64.39632479561912,7.938419813501085,23.699141163812676,0.8774217529296875,mag_auto,7.20268029229164e-57,0.02361111524490899
28,64.4058999940773,7.946417494385587,23.624052662836114,0.8559356870651246,mag_auto,0.0,0.02361111524490899
