obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-31,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-08-01 03:11:23,2026-08-01 05:01:23,1.375,101.96,46.67,0.936,-131.05
2026-07-31,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-07-31 22:16:23,2026-08-01 01:01:23,1.191,82.24,57.1,0.945,100.35
2026-07-31,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-07-31 21:31:23,2026-08-01 03:16:23,1.075,69.55,68.53,0.943,142.35
2026-07-31,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-07-31 21:31:23,2026-07-31 22:16:23,1.399,111.76,45.62,0.948,96.04
2026-07-31,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-07-31 21:31:23,2026-08-01 03:51:23,1.167,78.6,58.97,0.943,167.43
2026-07-31,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20191106C,199.580125,42.999714,host,True,True,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-08-01 01:26:23,2026-08-01 03:41:23,1.19,72.74,57.15,0.939,-80.88
2026-07-31,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-07-31 23:51:23,2026-08-01 05:01:23,1.102,74.36,65.13,0.939,-137.23
2026-07-31,20240114A,321.915979,4.329343,host,True,True,False,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-31 21:31:23,2026-08-01 05:04:41,,,,,,0.942,
2026-07-31,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-31 21:31:23,2026-08-01 05:04:41,2026-08-01 02:11:23,2026-08-01 04:36:23,1.189,34.19,57.28,0.937,61.54
