obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-23,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-24 03:43:08,2026-07-24 04:58:08,1.402,106.86,45.49,0.752,-126.69
2026-07-23,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 22:48:08,2026-07-24 01:33:08,1.192,78.83,57.05,0.738,100.29
2026-07-23,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 21:38:08,2026-07-24 03:48:08,1.065,69.16,69.91,0.74,150.57
2026-07-23,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 21:38:08,2026-07-23 22:48:08,1.344,107.77,48.07,0.731,99.13
2026-07-23,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 21:38:08,2026-07-24 04:23:08,1.164,79.65,59.2,0.741,171.56
2026-07-23,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 21:38:08,2026-07-23 22:13:08,1.408,112.84,45.25,0.73,90.15
2026-07-23,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-24 01:58:08,2026-07-24 04:13:08,1.19,79.88,57.21,0.748,-80.9
2026-07-23,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-24 00:23:08,2026-07-24 04:58:08,1.119,79.38,63.38,0.747,-130.91
2026-07-23,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 23:38:08,2026-07-24 04:58:08,1.1,30.83,65.43,0.745,-7.23
2026-07-23,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-23 21:38:08,2026-07-24 04:58:13,,,,,,0.742,
2026-07-23,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-23 21:38:08,2026-07-24 04:58:13,2026-07-23 22:28:08,2026-07-24 00:48:08,1.183,36.89,57.73,0.736,-61.02
