obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-29,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-30 03:18:13,2026-07-30 04:58:13,1.386,103.21,46.19,0.997,-129.25
2026-07-29,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-29 22:23:13,2026-07-30 01:08:13,1.188,81.37,57.29,0.998,100.58
2026-07-29,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-29 21:33:13,2026-07-30 03:28:13,1.074,69.42,68.64,0.998,142.9
2026-07-29,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-29 21:33:13,2026-07-29 22:23:13,1.376,110.79,46.63,0.999,97.29
2026-07-29,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-29 21:33:13,2026-07-30 03:58:13,1.167,78.85,59.0,0.998,167.86
2026-07-29,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20191106C,199.580125,42.999714,host,True,True,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-30 01:33:13,2026-07-30 03:48:13,1.193,74.53,56.92,0.997,-80.81
2026-07-29,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-30 00:03:13,2026-07-30 04:58:13,1.103,75.61,65.01,0.997,-136.77
2026-07-29,20240114A,321.915979,4.329343,host,True,True,False,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-29 21:33:13,2026-07-30 05:03:03,,,,,,0.998,
2026-07-29,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-29 21:33:13,2026-07-30 05:03:03,2026-07-29 22:03:13,2026-07-30 00:23:13,1.186,34.78,57.45,0.999,-61.17
