obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-10,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20180916B,29.501167,65.714722,host,True,True,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 23:40:34,2026-07-11 02:25:34,1.195,73.86,56.81,0.163,100.01
2026-07-10,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 21:45:34,2026-07-11 04:40:34,1.057,69.32,71.16,0.162,162.28
2026-07-10,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 21:45:34,2026-07-10 23:40:34,1.284,101.09,51.14,0.172,103.33
2026-07-10,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 21:55:34,2026-07-11 04:45:34,1.163,81.59,59.27,0.162,-173.92
2026-07-10,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 21:45:34,2026-07-10 23:05:34,1.313,105.03,49.59,0.173,94.39
2026-07-10,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-11 02:50:34,2026-07-11 04:45:34,1.216,91.0,55.33,0.153,-80.32
2026-07-10,20201124A,77.014488,26.060536,host,True,False,False,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-11 01:15:34,2026-07-11 04:45:34,1.169,87.34,58.8,0.156,-118.74
2026-07-10,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-11 00:30:34,2026-07-11 04:45:34,1.117,41.0,63.56,0.157,-21.28
2026-07-10,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-10 21:45:34,2026-07-11 04:48:34,,,,,,0.162,
2026-07-10,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-10 21:45:34,2026-07-11 04:48:34,2026-07-10 23:20:34,2026-07-11 01:40:34,1.179,43.16,58.01,0.165,-60.86
