obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-24,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-25 03:42:22,2026-07-25 04:57:22,1.396,106.26,45.75,0.829,-127.62
2026-07-24,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 22:42:23,2026-07-25 01:27:22,1.187,79.25,57.39,0.816,100.69
2026-07-24,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 21:37:23,2026-07-25 03:47:22,1.067,69.19,69.63,0.818,148.71
2026-07-24,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 21:37:23,2026-07-24 22:42:23,1.355,108.28,47.54,0.81,98.45
2026-07-24,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 21:37:23,2026-07-25 04:17:22,1.164,79.51,59.23,0.819,172.35
2026-07-24,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 21:37:23,2026-07-24 22:12:23,1.423,113.43,44.66,0.81,89.61
2026-07-24,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-25 01:57:22,2026-07-25 04:07:22,1.195,79.0,56.81,0.825,-80.78
2026-07-24,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-25 00:22:22,2026-07-25 04:57:22,1.115,78.75,63.77,0.824,-132.22
2026-07-24,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 23:37:22,2026-07-25 04:57:22,1.099,30.07,65.52,0.823,-5.57
2026-07-24,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-24 21:37:23,2026-07-25 04:59:00,,,,,,0.82,
2026-07-24,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-24 21:37:23,2026-07-25 04:59:00,2026-07-24 22:22:23,2026-07-25 00:47:22,1.174,36.49,58.4,0.815,-60.63
