obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-08-04,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20180916B,29.501167,65.714722,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-05 02:57:31,2026-08-05 05:07:31,1.355,99.48,47.57,0.604,-134.66
2026-08-04,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 22:02:31,2026-08-05 00:42:31,1.183,83.98,57.68,0.625,101.05
2026-08-04,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 21:27:31,2026-08-05 03:02:31,1.08,69.88,67.79,0.621,138.84
2026-08-04,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 21:27:31,2026-08-04 22:02:31,1.427,113.63,44.48,0.632,94.66
2026-08-04,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 21:27:31,2026-08-05 03:37:31,1.17,78.16,58.76,0.62,164.54
2026-08-04,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20191106C,199.580125,42.999714,host,True,True,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20200223B,8.2695,28.831278,host,True,True,False,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20201124A,77.014488,26.060536,host,True,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 23:37:31,2026-08-05 05:07:31,1.091,71.93,66.39,0.612,-142.84
2026-08-04,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 22:52:31,2026-08-05 04:37:31,1.097,22.62,65.69,0.615,1.53
2026-08-04,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-08-04 21:27:31,2026-08-05 05:07:56,,,,,,0.617,
2026-08-04,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-08-04 21:27:31,2026-08-05 05:07:56,2026-08-04 21:37:31,2026-08-05 00:02:31,1.178,33.43,58.06,0.628,-60.83
