obs_date,frb,ra_deg,dec_deg,coord_semantics,gate1_mechanical_pass,gate2_airmass_pass,gate3_moon_pass,gate4_dark_pass,gate5_dome_pass,duration_pass,rigorous_science_pass,obs_window_start_utc,obs_window_end_utc,best_start_utc,best_end_utc,min_airmass,min_moon_sep_deg,max_target_alt_deg,moon_illumination_frac,parallactic_angle_deg
2026-07-11,20180814A,65.733375,73.661306,host,True,False,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20180916B,29.501167,65.714722,host,True,True,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20181030A,158.594,73.763767,host,True,False,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20190110C,249.318458,41.443389,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 23:35:10,2026-07-12 02:20:10,1.191,74.22,57.08,0.085,100.32
2026-07-11,20190208A,283.546958,46.922686,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 21:45:10,2026-07-12 04:35:10,1.056,69.27,71.23,0.084,163.25
2026-07-11,20190303A,207.999417,48.120567,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 21:45:10,2026-07-11 23:35:10,1.28,101.61,51.38,0.091,103.67
2026-07-11,20190417A,294.77425,59.326861,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 21:50:10,2026-07-12 04:45:10,1.163,81.43,59.31,0.084,-175.44
2026-07-11,20190711A,329.419,-80.358,host,False,False,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20191106C,199.580125,42.999714,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 21:45:10,2026-07-11 23:00:10,1.326,105.64,48.94,0.092,93.73
2026-07-11,20200120E,149.477973,68.816879,host,True,False,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20200223B,8.2695,28.831278,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-12 02:45:10,2026-07-12 04:45:10,1.221,90.15,55.02,0.077,-80.23
2026-07-11,20201124A,77.014488,26.060536,host,True,False,False,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20220912A,347.270174,48.706618,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-12 01:10:10,2026-07-12 04:45:10,1.163,86.72,59.31,0.079,-119.89
2026-07-11,20240114A,321.915979,4.329343,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-12 00:25:10,2026-07-12 04:45:10,1.118,40.2,63.42,0.08,-21.94
2026-07-11,20240209A,289.85036,86.0609,host,True,False,True,True,True,False,False,2026-07-11 21:45:10,2026-07-12 04:49:14,,,,,,0.084,
2026-07-11,20251229A,310.346792,16.024039,host,True,True,True,True,True,True,True,2026-07-11 21:45:10,2026-07-12 04:49:14,2026-07-11 23:15:10,2026-07-12 01:35:10,1.183,42.61,57.7,0.086,-61.03
