FRB,RA_deg,DEC_deg,galfit_inc_psf_deg,match_found,objid,ra_ls,dec_ls,type_ls,flux_r_ls,sersic_ls_fit,shape_e1,shape_e2,shape_e1_ivar,shape_e2_ivar,sep_arcsec,n_candidates,ellipticity_abs,q_ls_from_e,shape_e1_sigma,shape_e2_sigma,ls_inc_deg,ls_inc_err_deg,delta_deg_ls_minus_galfit,re_psf_arcsec,shape_r_ls_arcsec,sep_arcsec_reff,tractor_objid_reff,delta_reff_arcsec,abs_delta_i_deg
20191001A,323.352187199872,-54.7477484912365,46.79,True,1406.0,323.352187199873,-54.74774849123656,SER,0.6917429566383362,0.5,-0.5697069764137268,-0.2205739915370941,1538.055908203125,1591.410400390625,2.1358315121666606e-09,7.0,0.6109164629612438,0.2415293070650783,0.0254984592472127,0.0250673776563411,82.05605101232584,2.307568704313368,35.26605101232584,1.73182,1.1012290716171265,2.1358315121666606e-09,1406.0,-0.6305909283828735,35.26605101232584
20190608B,334.02040578312,-7.89886810526581,32.52,True,5826.0,334.0204057831204,-7.898868105265814,SER,94.8233413696289,3.487734794616699,0.1343396455049514,-0.2058077007532119,661397.6875,803254.6875,1.418953351725555e-09,5.0,0.2457721506674824,0.605430012966981,0.001229613616867,0.0011157666227241,54.32229704490156,0.1135987982733795,21.80229704490156,1.29428,1.5951251983642578,1.418953351725555e-09,5826.0,0.3008451983642577,21.80229704490156
20220310F,134.72115983246,73.491023493673,70.02,True,649.0,134.72115983246024,73.49102349367304,EXP,4.333199977874756,1.0,-0.1652330011129379,-0.1180749982595443,2568.904052734375,1958.982177734375,3.0336522137151727e-10,3.0,0.203085326576736,0.662392480249766,0.0197299533344769,0.022593564720457,49.871877685030114,2.315425420567556,-20.14812231496988,1.1266,0.9910320043563844,3.0336522137151727e-10,649.0,-0.1355679956436156,20.14812231496988
20190102C,322.415208643486,-79.4757580984851,80.24,True,2531.0,322.4152086434868,-79.47575809848519,SER,2.2401440143585205,0.5,0.3648677766323089,0.0312008373439311,3464.650634765625,2629.223876953125,6.06665366492977e-10,4.0,0.3661993810420314,0.4639151706206706,0.0169890962151936,0.0195023172156607,64.70865680540318,1.3196354503021612,-15.531343194596817,0.98774,0.9823504686355592,6.06665366492977e-10,2531.0,-0.0053895313644407,15.531343194596817
20210410D,326.087266796551,-79.3180613840662,90.0,True,3440.0,326.0872667965519,-79.31806138406623,EXP,2.313594102859497,1.0,0.0291085168719291,0.5108329057693481,1941.525146484375,1462.5360107421875,6.15456549032428e-10,8.0,0.5116615711300186,0.3230474586351571,0.0226949113191058,0.0261484960967304,74.99381150093153,1.7827006424612637,-15.006188499068472,0.7833800000000001,0.7306411266326904,6.15456549032428e-10,3440.0,-0.0527388733673096,15.006188499068472
20180924B,326.105235868384,-40.9002526146074,33.63,True,4485.0,326.1052358683841,-40.90025261460747,SER,6.914794445037842,3.3241782188415527,0.1292556971311569,-0.1360640525817871,76714.6171875,73060.828125,3.856113402327359e-10,4.0,0.1876711529400315,0.6839678180690687,0.0036104467073189,0.003699624993512,48.12091274655155,0.427701859068637,14.490912746551544,0.6288,0.7392469048500061,3.856113402327359e-10,4485.0,0.110446904850006,14.490912746551544
