frb_name,gini,m20,concentration,asymmetry,smoothness,rpetro,r20,r80,sn_per_pixel,gini_m20_merger,gini_m20_bulge
20171020A,0.4195508357792418,-1.2022451728338004,2.159032390140315,-0.02559883826467195,0.0018093921217779724,50.87555547448019,13.837960369909126,37.400599233509176,57395.37046225755,-0.07875675160244891,-1.0500674581189293
20180924B,0.5305044686601453,-1.7226129194623574,2.8335230264785167,0.005942456368676292,0.05705187511477949,8.622597686532236,1.9553987681332634,7.210077660015877,9.956142160703003,-0.04124377183172384,-0.14023212694486675
20190102C,0.3954846748545192,-1.540427000132341,2.1715893204696513,-0.1414428900027639,0.019753033876718583,8.353203171381304,2.3730448988034127,6.450952133117469,3.92456301434375,-0.1495895249124214,-0.9348349483784175
20190608B,0.5444710521437124,-1.8420036661670725,2.9929661340989853,0.014580983517776168,-0.002526796216470046,15.000966934438202,2.98061372566115,11.82766250908152,16.941843933973374,-0.044012167974947836,0.01164024876515768
20190714A,0.42326213523619577,-1.4910157114754288,2.286244967357668,0.0027634289804329185,0.0,7.8615811361185015,2.0170835319607767,5.78059944913875,5.873450536685332,-0.11522167001125083,-0.8315785425283586
20191001A,0.4288202276287269,-1.535871120343508,2.2354298716328485,0.13523458656701492,0.041361317786023775,10.681760402856517,2.893508286813154,8.100479081063753,34.942172738188404,-0.11595406037530803,-0.7729811868397505
20200906A,0.42929375503069855,-1.4378320211636353,2.483160915553782,0.14594274467573823,0.07464528890252667,10.52180464774138,2.5719639931161833,8.07043729255605,10.688288375952478,-0.10185783346135374,-0.8385783219316432
20210320C,0.4411343068116614,-1.6934746409174624,2.4394165144658877,-0.0378463839797047,0.042498419401702583,8.48756706549475,2.117391907286588,6.51155257960936,5.277550580744338,-0.12567001134398256,-0.6028072551264749
20210410D,0.47294604390578954,-1.5974215869745685,2.3054969874714133,-0.08806328407004513,0.0,7.805178189664075,2.0070321223547265,5.803015370402232,4.161535979450815,-0.08082501712273343,-0.5119039228929658
20210807D,0.46735748697926743,-1.801945488645444,2.5534158442195194,-0.2103466772671022,0.0121275341311966,21.85035427807927,4.179410988492695,13.545600071009723,44938.058378542824,-0.114786510812242,-0.39783221582133343
20211127I,0.5207111020391303,-1.938287810626576,2.691892085194816,-0.26230903691112334,-0.04235824659589413,40.199956043958956,6.326970494108227,21.856178361875134,87221.0069427679,-0.08091801465835508,-0.0392465921420877
20211203C,0.4681885111736827,-1.811439111928176,2.7241089016334152,-0.1947695327571828,0.0,7.855266725481294,1.7921741041093746,6.283505188853858,1.7065642791495064,-0.11528341049607066,-0.3871395651240448
20211212A,0.4064454325252205,-1.6876446948242885,2.4660396163528944,0.16588035651011876,0.0035508481866772957,21.224283185227375,5.168518991609352,16.09066672510714,28.849899914855826,-0.15920163438060786,-0.7785573354869268
20220207C,0.4161500795661097,-1.3247765441586883,2.402062001896286,-0.1251487061835531,0.008986884866401135,24.986101936174393,6.038755046811157,18.254074296339436,29246.978151112788,-0.09915536086760907,-0.9819869610457856
20220307B,0.3790256710575846,-1.4099972329847756,2.1822568028581864,-0.20138799671951854,-0.012743702417125375,9.847849976637672,2.943615033459563,8.04141309550357,29119.566725102257,-0.1477542010378751,-1.1066948458065067
20220310F,0.4296306185790459,-1.657674943365005,2.493049737347885,-0.038849715330700016,0.033746892298881934,10.275069369570073,2.669717640117365,8.415409977629517,3.63658126682934,-0.13208250473448033,-0.6845597022817742
20220319D,0.5812202251564846,-2.413966043425497,3.946886368524001,-0.0851488372600462,-0.015787537776484686,46.88371323850994,4.569911766414097,28.137472834310245,32335.107801498696,-0.08713325713122433,0.5899185826184681
20220509G,0.5376312395121328,-1.0219133158923446,1.823336068799074,0.5961829745791931,0.05321675876146696,19.22203860886422,6.673522545308647,15.453339495559064,48.969561097220314,0.06320897620797544,-0.5905394365015479
20220825A,0.4262290077405736,-1.1567089728769844,2.3278090167251726,-0.11369703821428705,0.05699749456052585,11.670011806310166,3.1186959070885236,9.110345211083565,25699.098492801284,-0.06581582956673299,-1.0485670934804108
20220912A,0.4446498801239087,-1.5797730411138065,2.2084909379561997,-0.14717746990512923,0.03022549612373798,11.128633812272222,2.654148767240211,7.338772913552992,51968.66240334342,-0.1063850713921495,-0.6642003758947839
20220914A,0.4292968389982881,-1.61273707879112,2.285884550471595,0.01444765923323862,0.036867052111372575,10.305501426446398,2.6838631871634107,7.6901937816048465,10.813810687941176,-0.12616658334366052,-0.7173538513562274
20220920A,0.46645829948894646,-1.6951434765124882,2.447707470146679,0.01189856640338906,-0.0015881302143762842,15.435967960807933,3.852848229986674,11.893875708928478,16.62186742333995,-0.10083122674117892,-0.47629698830656064
20221012A,0.46393627899501666,-1.694912480457667,2.5545937277286117,-0.0009329745580376761,-0.0022103914770485416,12.189502413291496,2.9181001285457224,9.462784182765313,13.80000022448341,-0.10329591857854928,-0.4889410700175043
