obs_date,n_pass,n_targets,moon_illumination_frac
2026-06-24,36,99,0.792
2026-06-25,36,99,0.864
2026-06-26,36,99,0.922
2026-06-27,36,99,0.964
2026-06-28,35,99,0.99
2026-06-29,35,99,0.999
2026-06-30,33,99,0.989
2026-07-01,32,99,0.961
2026-07-02,30,99,0.916
2026-07-03,32,99,0.853
2026-07-04,32,99,0.775
2026-07-05,32,99,0.684
2026-07-06,35,99,0.583
2026-07-07,35,99,0.475
2026-07-08,36,99,0.365
2026-07-09,36,99,0.258
2026-07-10,36,99,0.162
2026-07-11,36,99,0.084
2026-07-12,36,99,0.029
2026-07-13,35,99,0.003
2026-07-14,35,99,0.007
2026-07-15,35,99,0.039
2026-07-16,35,99,0.097
2026-07-17,36,99,0.173
2026-07-18,35,99,0.263
2026-07-19,35,99,0.361
2026-07-20,35,99,0.461
2026-07-21,35,99,0.56
2026-07-22,35,99,0.654
2026-07-23,36,99,0.742
2026-07-24,36,99,0.82
