bin,cos_i_lo,cos_i_hi,i_deg_lo,i_deg_hi,n_sdss,frac_sdss_pct,n_frb,frac_frb_pct
1,0.000204124170708743,0.27091137402142623,74.28149389578417,89.98830454644056,3127,12.499500339768957,4,9.75609756097561
2,0.27091137402142623,0.39229290050977855,66.90275419697973,74.28149389578417,3127,12.499500339768957,5,12.195121951219512
3,0.39229290050977855,0.49334475792057253,60.43933908888859,66.90275419697973,3127,12.499500339768957,1,2.4390243902439024
4,0.49334475792057253,0.5812633476775769,54.46055107334643,60.43933908888859,3127,12.499500339768957,7,17.073170731707318
5,0.5812633476775769,0.6620781385281703,48.541443316581656,54.46055107334643,3127,12.499500339768957,5,12.195121951219512
6,0.6620781385281703,0.7451680759119884,41.826462593038805,48.541443316581656,3127,12.499500339768957,9,21.951219512195124
7,0.7451680759119884,0.8383513023083423,33.03357145713017,41.826462593038805,3127,12.499500339768957,6,14.634146341463415
8,0.8383513023083423,0.9999996874999981,0.04529629220955797,33.03357145713017,3128,12.503497621617301,4,9.75609756097561
