mag_lo,mag_hi,n_full,frac_pool_pct_full,median_expAB_r_full,mean_expAB_r_full,n_re_cut,frac_pool_pct_re_cut,median_expAB_r_re_cut,mean_expAB_r_re_cut,re_min_arcsec,re_column,n_full_catalog
15.0,15.5,1137.0,0.05984953920592242,0.5334739,0.5137570184872472,508499,0.14886951596758302,0.6536289,0.6445543645442537,1.0,expRad_r,1899764
15.5,16.0,962.0,0.050637868703691614,0.58293525,0.550595028960499,508499,0.1472962582030643,0.6675596,0.6465499462216288,1.0,expRad_r,1899764
16.0,16.5,1746.0,0.09190615255368562,0.6002194999999999,0.5611874405784651,508499,0.2822031115105438,0.6632574,0.6395239649616724,1.0,expRad_r,1899764
16.5,17.0,3237.0,0.17038958523269207,0.6115577,0.5698661694748224,508499,0.5423806143178256,0.655416,0.628070164981871,1.0,expRad_r,1899764
17.0,17.5,5879.0,0.3094594907577994,0.6016514,0.5734535332658615,508499,0.958113978591895,0.62429685,0.608060558840312,1.0,expRad_r,1899764
17.5,18.0,10284.0,0.5413303968282376,0.6115686,0.577258756579152,508499,1.564801504034423,0.6077392,0.5885476979364082,1.0,expRad_r,1899764
18.0,18.5,17447.0,0.9183772300138333,0.6252937,0.5851479683682008,508499,2.2912532768009375,0.5904689,0.5747555385142906,1.0,expRad_r,1899764
18.5,19.0,30295.0,1.5946717592290411,0.6246821,0.5888150143155637,508499,3.5463196584457393,0.5714712,0.5594361297859479,1.0,expRad_r,1899764
19.0,19.5,51588.0,2.7154951878233295,0.6191202499999999,0.5875158629995347,508499,5.451928125719028,0.5399418,0.5372186834393825,1.0,expRad_r,1899764
19.5,20.0,83564.0,4.398651621990942,0.60973135,0.5825760369421042,508499,7.881038114135918,0.5206442,0.5219935580858391,1.0,expRad_r,1899764
20.0,20.5,133789.0,7.042401056131182,0.5805135,0.5628677962530552,508499,11.185862705728034,0.47864565000000003,0.48800784075597753,1.0,expRad_r,1899764
20.5,21.0,211940.0,11.156122549958837,0.52188355,0.512797027437152,508499,15.728054529114118,0.4142784,0.427969973937382,1.0,expRad_r,1899764
21.0,21.5,322640.0,16.983162119084266,0.42693595,0.431660532260569,508499,20.80672725020108,0.3232321,0.34629031032608076,1.0,expRad_r,1899764
21.5,22.0,440588.0,23.191722761353514,0.27818160000000003,0.3225876934855465,508499,21.244486223178413,0.20004005,0.2424524799071537,1.0,expRad_r,1899764
22.0,22.5,416560.0,21.926934082338647,0.10073285000000001,0.22560534972520163,508499,7.593525257670123,0.05,0.14879542672260637,1.0,expRad_r,1899764
22.5,23.0,154086.0,8.110796920038489,0.094518215,0.17431690645814674,508499,0.45545812282816683,0.05,0.11636329445164077,1.0,expRad_r,1899764
23.0,23.5,11954.0,0.6292360524780973,0.09709504999999999,0.16358949539066422,508499,0.09950855360580847,0.05,0.1003494159881423,1.0,expRad_r,1899764
23.5,24.0,986.0,0.05190118351542613,0.071295255,0.20944185187626774,508499,0.033628384716587446,0.05,0.07879490426900584,1.0,expRad_r,1899764
24.0,24.5,356.0,0.018739169707395233,0.07707307499999999,0.2662453391292135,508499,0.010816147131066137,0.05,0.06394011509090906,1.0,expRad_r,1899764
24.5,25.0,197.0,0.010369709079654104,0.114303,0.261442722893401,508499,0.003146515529037422,0.12318802,0.28209495875,1.0,expRad_r,1899764
25.0,25.5,247.0,0.013001614937434333,0.09155773,0.2539923698380567,508499,0.006096373837510005,0.05,0.11662208580645159,1.0,expRad_r,1899764
25.5,26.0,175.0,0.009211670502230804,0.1023353,0.37757722234285707,508499,0.009439546587112265,0.05,0.261182340625,1.0,expRad_r,1899764
26.0,26.5,71.0,0.003737306318047926,0.2862083,0.5083638177464789,508499,0.005309744955250649,0.1881525,0.40174792444444446,1.0,expRad_r,1899764
26.5,27.0,,,,,508499,0.0021632294262132275,0.9996955,0.9992601909090908,1.0,expRad_r,1899764
