mag_lo,mag_hi,n_full,frac_pool_pct_full,median_expAB_r_full,mean_expAB_r_full,n_re_cut,frac_pool_pct_re_cut,median_expAB_r_re_cut,mean_expAB_r_re_cut,re_min_arcsec,re_column,sample_mode,n_full_catalog
15.0,15.5,177.0,0.04070144455635426,0.5598797,0.5488556050847458,155017,0.07354032138410625,0.6484458,0.6529325508771929,1.0,expRad_r,strict,434874
15.5,16.0,165.0,0.03794202458643193,0.6777496,0.6421627357575757,155017,0.09353812807627551,0.7001837,0.6831346793103449,1.0,expRad_r,strict,434874
16.0,16.5,338.0,0.07772366248614541,0.6130255,0.6000729831360946,155017,0.2064289723062632,0.62816235,0.6165922028125,1.0,expRad_r,strict,434874
16.5,17.0,721.0,0.16579514985949953,0.6147454,0.6014822482662968,155017,0.4547888296122361,0.624393,0.6091721588652482,1.0,expRad_r,strict,434874
17.0,17.5,1387.0,0.3189429581901884,0.5809069,0.589859609444845,155017,0.8760329512247044,0.5889484,0.5935225213549338,1.0,expRad_r,strict,434874
17.5,18.0,2574.0,0.5918955835483382,0.58357015,0.5864806273504274,155017,1.630143790681022,0.5828582,0.5859493844479621,1.0,expRad_r,strict,434874
18.0,18.5,4137.0,0.9513100346307206,0.6354665,0.6180686367416002,155017,2.553268351213093,0.62742225,0.6129279255937342,1.0,expRad_r,strict,434874
18.5,19.0,7451.0,1.713369849657602,0.6451425,0.6270186543953832,155017,4.384035299354264,0.6294329000000001,0.6154453695261918,1.0,expRad_r,strict,434874
19.0,19.5,14014.0,3.2225426215409523,0.63815835,0.6225592152775796,155017,7.472728797486727,0.60744675,0.5999537569233425,1.0,expRad_r,strict,434874
19.5,20.0,24713.0,5.682795476390862,0.6327916,0.6183509738073079,155017,11.30843713915248,0.5888504,0.5832612070108385,1.0,expRad_r,strict,434874
20.0,20.5,40820.0,9.3866269310191,0.61327345,0.6029373875943166,155017,15.333157008586156,0.5540104,0.5562813808321764,1.0,expRad_r,strict,434874
20.5,21.0,62641.0,14.404402194658683,0.5814047,0.5780169042432273,155017,18.0735016159518,0.508646,0.5188943751972017,1.0,expRad_r,strict,434874
21.0,21.5,86355.0,19.85747595855351,0.5327902,0.5426955196410167,155017,19.255952572943613,0.45046664999999997,0.4728178767269681,1.0,expRad_r,strict,434874
21.5,22.0,97019.0,22.309680505157814,0.4841945,0.5060764925241447,155017,14.921589245050543,0.399652,0.4228884232631533,1.0,expRad_r,strict,434874
22.0,22.5,69541.0,15.991068677364018,0.4490658,0.4778571747127593,155017,3.1802963545933673,0.3226508,0.35290541985801216,1.0,expRad_r,strict,434874
22.5,23.0,20676.0,4.754480608176161,0.3999844,0.45165446299090733,155017,0.12385738338375792,0.31295795000000004,0.3501605458333333,1.0,expRad_r,strict,434874
23.0,23.5,1819.0,0.418282077107392,0.3501012,0.41748011643760313,155017,0.03160943638439655,0.3000027,0.3353513959183673,1.0,expRad_r,strict,434874
23.5,24.0,123.0,0.028284054691703805,0.4999623,0.5209210008130081,155017,0.0032254526922853625,0.2982466,0.31296858000000005,1.0,expRad_r,strict,434874
24.0,24.5,51.0,0.01172753487216987,0.7266112,0.6297401588235294,155017,,,,1.0,expRad_r,strict,434874
25.0,25.5,43.0,0.009887921558888322,0.7556618,0.6845264720930232,155017,,,,1.0,expRad_r,strict,434874
25.5,26.0,46.0,0.010577776551368902,0.99390785,0.8450838239130435,155017,0.004515633769199507,0.9984851,0.8976634428571428,1.0,expRad_r,strict,434874
26.0,26.5,,,,,155017,0.007095995923027797,0.9985032,0.847694990909091,1.0,expRad_r,strict,434874
26.5,27.0,,,,,155017,0.006450905384570725,0.9997462500000001,0.99922285,1.0,expRad_r,strict,434874
