mag_lo,mag_hi,n_full,frac_pool_pct_full,median_expAB_r_full,mean_expAB_r_full,n_re_cut,frac_pool_pct_re_cut,median_expAB_r_re_cut,mean_expAB_r_re_cut,re_min_arcsec,re_column,sample_mode,n_full_catalog
15.0,15.5,177,0.04070144455635426,0.5598797,0.5488556050847458,23366,0.4793289394847214,0.6504023000000001,0.6598694017857143,2.0,expRad_r,strict,434874
15.5,16.0,165,0.03794202458643193,0.6777496,0.6421627357575757,23366,0.6205597877257554,0.7001837,0.6831346793103449,2.0,expRad_r,strict,434874
16.0,16.5,338,0.07772366248614541,0.6130255,0.6000729831360946,23366,1.348112642300779,0.623908,0.614058453015873,2.0,expRad_r,strict,434874
16.5,17.0,721,0.16579514985949953,0.6147454,0.6014822482662968,23366,2.850295300864504,0.60734245,0.6007290163663663,2.0,expRad_r,strict,434874
17.0,17.5,1387,0.3189429581901884,0.5809069,0.589859609444845,23366,5.161345544808697,0.5605614,0.5738956087893864,2.0,expRad_r,strict,434874
17.5,18.0,2574,0.5918955835483382,0.58357015,0.5864806273504274,23366,8.48241033980998,0.5278164000000001,0.5510241075681129,2.0,expRad_r,strict,434874
18.0,18.5,4137,0.9513100346307206,0.6354665,0.6180686367416002,23366,9.984592998373705,0.5499855,0.5581737415773682,2.0,expRad_r,strict,434874
18.5,19.0,7451,1.713369849657602,0.6451425,0.6270186543953832,23366,12.175811007446718,0.51992,0.5403799669244288,2.0,expRad_r,strict,434874
19.0,19.5,14014,3.2225426215409523,0.63815835,0.6225592152775796,23366,13.2457416759394,0.494442,0.5128740726655896,2.0,expRad_r,strict,434874
19.5,20.0,24713,5.682795476390862,0.6327916,0.6183509738073079,23366,12.150132671402893,0.4500258,0.48077698749559705,2.0,expRad_r,strict,434874
20.0,20.5,40820,9.3866269310191,0.61327345,0.6029373875943166,23366,10.523838055294018,0.4294156,0.4591538863359089,2.0,expRad_r,strict,434874
20.5,21.0,62641,14.404402194658683,0.5814047,0.5780169042432273,23366,9.629376016434135,0.3980479,0.42306897177777775,2.0,expRad_r,strict,434874
21.0,21.5,86355,19.85747595855351,0.5327902,0.5426955196410167,23366,9.205683471711033,0.3369345,0.3695813060901906,2.0,expRad_r,strict,434874
21.5,22.0,97019,22.309680505157814,0.4841945,0.5060764925241447,23366,3.393820080458786,0.298995,0.3286102107187894,2.0,expRad_r,strict,434874
22.0,22.5,69541,15.991068677364018,0.4490658,0.4778571747127593,23366,0.5606436702901652,0.2755024,0.3074468923664122,2.0,expRad_r,strict,434874
22.5,23.0,20676,4.754480608176161,0.3999844,0.45165446299090733,23366,0.09843362150132672,0.27592,0.3024446652173913,2.0,expRad_r,strict,434874
23.0,23.5,1819,0.418282077107392,0.3501012,0.41748011643760313,23366,0.04279722673970727,0.2528661,0.27105606,2.0,expRad_r,strict,434874
23.5,24.0,123,0.028284054691703805,0.4999623,0.5209210008130081,23366,,,,2.0,expRad_r,strict,434874
24.0,24.5,51,0.01172753487216987,0.7266112,0.6297401588235294,23366,,,,2.0,expRad_r,strict,434874
25.0,25.5,43,0.009887921558888322,0.7556618,0.6845264720930232,23366,,,,2.0,expRad_r,strict,434874
25.5,26.0,46,0.010577776551368902,0.99390785,0.8450838239130435,23366,,,,2.0,expRad_r,strict,434874
